,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,22.0,27.5,,42.0,452.0,,,50.0,27.0,77.0,46.0,4.0,5.0,34.0,1.0,1.19,0.64,1.83,1.1,1.74
Aston Villa,25.0,27.4,,42.0,458.0,,,45.0,28.0,73.0,42.0,3.0,3.0,22.0,1.0,1.07,0.67,1.74,1.0,1.67
Blackburn,22.0,25.4,,42.0,481.0,,,63.0,42.0,105.0,60.0,3.0,4.0,29.0,0.0,1.5,1.0,2.5,1.43,2.43
Chelsea,25.0,25.7,,42.0,481.0,,,51.0,28.0,79.0,48.0,3.0,5.0,27.0,2.0,1.21,0.67,1.88,1.14,1.81
Coventry City,27.0,26.1,,42.0,466.0,,,43.0,25.0,68.0,40.0,3.0,5.0,14.0,0.0,1.02,0.6,1.62,0.95,1.55
Everton,22.0,27.6,,42.0,467.0,,,43.0,23.0,66.0,40.0,3.0,4.0,34.0,0.0,1.02,0.55,1.57,0.95,1.5
Ipswich Town,21.0,27.9,,42.0,441.0,,,31.0,19.0,50.0,29.0,2.0,3.0,24.0,0.0,0.74,0.45,1.19,0.69,1.14
Leeds United,24.0,26.3,,42.0,468.0,,,63.0,38.0,101.0,62.0,1.0,2.0,36.0,0.0,1.5,0.9,2.4,1.48,2.38
Liverpool,23.0,26.5,,42.0,465.0,,,54.0,35.0,89.0,49.0,5.0,7.0,31.0,1.0,1.29,0.83,2.12,1.17,2.0
Manchester City,31.0,26.0,,42.0,433.0,,,35.0,15.0,50.0,34.0,1.0,2.0,34.0,0.0,0.83,0.36,1.19,0.81,1.17
Manchester Utd,23.0,27.1,,42.0,468.0,,,79.0,55.0,134.0,76.0,3.0,3.0,31.0,2.0,1.88,1.31,3.19,1.81,3.12
Newcastle Utd,25.0,25.9,,42.0,440.0,,,80.0,50.0,130.0,71.0,9.0,10.0,21.0,1.0,1.9,1.19,3.1,1.69,2.88
Norwich City,24.0,27.1,,42.0,470.0,,,64.0,39.0,103.0,63.0,1.0,1.0,25.0,2.0,1.52,0.93,2.45,1.5,2.43
Oldham Athletic,27.0,26.2,,42.0,453.0,,,40.0,25.0,65.0,39.0,1.0,2.0,32.0,4.0,0.95,0.6,1.55,0.93,1.52
QPR,22.0,27.3,,42.0,461.0,,,60.0,37.0,97.0,55.0,5.0,6.0,27.0,3.0,1.43,0.88,2.31,1.31,2.19
Sheffield Utd,27.0,26.3,,42.0,447.0,,,41.0,26.0,67.0,41.0,0.0,0.0,38.0,4.0,0.98,0.62,1.6,0.98,1.6
Sheffield Weds,26.0,26.8,,42.0,450.0,,,71.0,47.0,118.0,69.0,2.0,3.0,21.0,2.0,1.69,1.12,2.81,1.64,2.76
Southampton,30.0,27.0,,42.0,438.0,,,50.0,30.0,80.0,43.0,7.0,7.0,40.0,1.0,1.19,0.71,1.9,1.02,1.74
Swindon Town,24.0,27.4,,42.0,464.0,,,45.0,28.0,73.0,38.0,7.0,8.0,38.0,1.0,1.07,0.67,1.74,0.9,1.57
Tottenham,30.0,25.3,,42.0,485.0,,,53.0,31.0,84.0,51.0,2.0,4.0,23.0,1.0,1.26,0.74,2.0,1.21,1.95
West Ham,24.0,28.4,,42.0,424.0,,,44.0,29.0,73.0,42.0,2.0,3.0,22.0,1.0,1.05,0.69,1.74,1.0,1.69
Wimbledon,24.0,26.4,,42.0,440.0,,,49.0,28.0,77.0,48.0,1.0,2.0,38.0,0.0,1.17,0.67,1.83,1.14,1.81
