,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,25.0,27.0,58.3,38.0,418.0,3420.0,38.0,62.0,53.0,115.0,61.0,1.0,2.0,0.0,0.0,1.63,1.39,3.03,1.61,3.0
Aston Villa,29.0,26.6,46.4,38.0,418.0,3420.0,38.0,24.0,19.0,43.0,22.0,2.0,2.0,0.0,0.0,0.63,0.5,1.13,0.58,1.08
Bournemouth,28.0,27.7,51.2,38.0,418.0,3420.0,38.0,43.0,28.0,71.0,40.0,3.0,4.0,0.0,0.0,1.13,0.74,1.87,1.05,1.79
Chelsea,28.0,26.8,56.2,38.0,418.0,3420.0,38.0,55.0,40.0,95.0,51.0,4.0,5.0,0.0,0.0,1.45,1.05,2.5,1.34,2.39
Crystal Palace,30.0,27.7,45.8,38.0,418.0,3420.0,38.0,38.0,21.0,59.0,34.0,4.0,5.0,0.0,0.0,1.0,0.55,1.55,0.89,1.45
Everton,31.0,26.5,51.9,38.0,418.0,3420.0,38.0,56.0,44.0,100.0,52.0,4.0,5.0,0.0,0.0,1.47,1.16,2.63,1.37,2.53
Leicester City,23.0,27.7,42.6,38.0,418.0,3420.0,38.0,68.0,43.0,111.0,58.0,10.0,13.0,0.0,0.0,1.79,1.13,2.92,1.53,2.66
Liverpool,34.0,25.2,57.2,38.0,418.0,3420.0,38.0,62.0,50.0,112.0,60.0,2.0,2.0,0.0,0.0,1.63,1.32,2.95,1.58,2.89
Manchester City,25.0,28.3,56.9,38.0,418.0,3420.0,38.0,71.0,53.0,124.0,66.0,5.0,8.0,0.0,0.0,1.87,1.39,3.26,1.74,3.13
Manchester Utd,33.0,25.6,58.5,38.0,418.0,3420.0,38.0,46.0,31.0,77.0,43.0,3.0,3.0,0.0,0.0,1.21,0.82,2.03,1.13,1.95
Newcastle Utd,31.0,25.4,46.6,38.0,418.0,3420.0,38.0,43.0,34.0,77.0,40.0,3.0,3.0,0.0,0.0,1.13,0.89,2.03,1.05,1.95
Norwich City,28.0,27.7,46.0,38.0,418.0,3420.0,38.0,38.0,27.0,65.0,37.0,1.0,1.0,0.0,0.0,1.0,0.71,1.71,0.97,1.68
Southampton,26.0,26.4,49.2,38.0,418.0,3420.0,38.0,58.0,45.0,103.0,55.0,3.0,4.0,0.0,0.0,1.53,1.18,2.71,1.45,2.63
Stoke City,27.0,27.4,49.7,38.0,418.0,3420.0,38.0,40.0,29.0,69.0,35.0,5.0,5.0,0.0,0.0,1.05,0.76,1.82,0.92,1.68
Sunderland,31.0,27.3,41.0,38.0,418.0,3420.0,38.0,44.0,30.0,74.0,41.0,3.0,3.0,0.0,0.0,1.16,0.79,1.95,1.08,1.87
Swansea City,27.0,27.6,52.5,38.0,418.0,3420.0,38.0,41.0,25.0,66.0,36.0,5.0,5.0,0.0,0.0,1.08,0.66,1.74,0.95,1.61
Tottenham,24.0,24.5,57.4,38.0,418.0,3420.0,38.0,68.0,50.0,118.0,63.0,5.0,5.0,0.0,0.0,1.79,1.32,3.11,1.66,2.97
Watford,25.0,28.2,45.1,38.0,418.0,3420.0,38.0,38.0,18.0,56.0,32.0,6.0,7.0,0.0,0.0,1.0,0.47,1.47,0.84,1.32
West Brom,28.0,29.1,39.8,38.0,418.0,3420.0,38.0,32.0,25.0,57.0,31.0,1.0,5.0,0.0,0.0,0.84,0.66,1.5,0.82,1.47
West Ham,28.0,26.6,48.4,38.0,418.0,3420.0,38.0,64.0,38.0,102.0,60.0,4.0,4.0,0.0,0.0,1.68,1.0,2.68,1.58,2.58
