,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,26.0,28.3,,38.0,418.0,,,58.0,42.0,100.0,56.0,2.0,4.0,71.0,7.0,1.53,1.11,2.63,1.47,2.58
Aston Villa,24.0,26.1,,38.0,436.0,,,50.0,32.0,82.0,48.0,2.0,4.0,60.0,2.0,1.32,0.84,2.16,1.26,2.11
Blackburn,30.0,25.5,,38.0,411.0,,,34.0,28.0,62.0,32.0,2.0,4.0,77.0,6.0,0.89,0.74,1.63,0.84,1.58
Charlton Ath,27.0,27.5,,38.0,418.0,,,39.0,24.0,63.0,35.0,4.0,6.0,59.0,3.0,1.03,0.63,1.66,0.92,1.55
Chelsea,26.0,28.5,,38.0,419.0,,,56.0,38.0,94.0,53.0,3.0,4.0,88.0,4.0,1.47,1.0,2.47,1.39,2.39
Coventry City,28.0,27.1,,38.0,416.0,,,39.0,26.0,65.0,37.0,2.0,2.0,70.0,1.0,1.03,0.68,1.71,0.97,1.66
Derby County,29.0,26.1,,38.0,417.0,,,40.0,26.0,66.0,36.0,4.0,6.0,76.0,1.0,1.05,0.68,1.74,0.95,1.63
Everton,34.0,25.2,,38.0,436.0,,,44.0,28.0,72.0,41.0,3.0,6.0,90.0,5.0,1.16,0.74,1.89,1.08,1.82
Leeds United,24.0,24.9,,38.0,424.0,,,61.0,38.0,99.0,59.0,2.0,3.0,79.0,1.0,1.61,1.0,2.61,1.55,2.55
Leicester City,24.0,27.4,,38.0,424.0,,,40.0,32.0,72.0,38.0,2.0,3.0,51.0,1.0,1.05,0.84,1.89,1.0,1.84
Liverpool,24.0,25.7,,38.0,412.0,,,68.0,43.0,111.0,61.0,7.0,7.0,67.0,3.0,1.79,1.13,2.92,1.61,2.74
Manchester Utd,23.0,26.5,,38.0,419.0,,,78.0,62.0,140.0,76.0,2.0,4.0,58.0,3.0,2.05,1.63,3.68,2.0,3.63
Middlesbrough,29.0,28.4,,38.0,417.0,,,47.0,30.0,77.0,46.0,1.0,1.0,55.0,4.0,1.24,0.79,2.03,1.21,2.0
Newcastle Utd,31.0,25.6,,38.0,399.0,,,47.0,26.0,73.0,41.0,6.0,7.0,79.0,2.0,1.24,0.68,1.92,1.08,1.76
Nott'ham Forest,32.0,27.1,,38.0,417.0,,,35.0,23.0,58.0,33.0,2.0,2.0,85.0,6.0,0.92,0.61,1.53,0.87,1.47
Sheffield Weds,30.0,27.6,,38.0,409.0,,,39.0,29.0,68.0,38.0,1.0,2.0,47.0,4.0,1.03,0.76,1.79,1.0,1.76
Southampton,30.0,27.7,,38.0,394.0,,,35.0,27.0,62.0,34.0,1.0,1.0,75.0,2.0,0.92,0.71,1.63,0.89,1.61
Tottenham,28.0,26.5,,38.0,424.0,,,48.0,33.0,81.0,46.0,2.0,3.0,68.0,5.0,1.26,0.87,2.13,1.21,2.08
West Ham,28.0,26.3,,38.0,417.0,,,48.0,32.0,80.0,47.0,1.0,1.0,80.0,4.0,1.26,0.84,2.11,1.24,2.08
Wimbledon,23.0,26.9,,38.0,418.0,,,40.0,33.0,73.0,39.0,1.0,1.0,57.0,1.0,1.05,0.87,1.92,1.03,1.89
