,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,27.0,26.8,,38.0,418.0,,,68.0,48.0,116.0,65.0,3.0,3.0,0.0,0.0,1.79,1.26,3.05,1.71,2.97
Aston Villa,26.0,24.6,,38.0,418.0,,,38.0,25.0,63.0,36.0,2.0,4.0,0.0,0.0,1.0,0.66,1.66,0.95,1.61
Cardiff City,32.0,25.4,,38.0,418.0,,,31.0,24.0,55.0,30.0,1.0,1.0,0.0,0.0,0.82,0.63,1.45,0.79,1.42
Chelsea,29.0,27.7,,38.0,418.0,,,69.0,39.0,108.0,64.0,5.0,7.0,0.0,0.0,1.82,1.03,2.84,1.68,2.71
Crystal Palace,31.0,28.1,,38.0,418.0,,,32.0,21.0,53.0,27.0,5.0,6.0,0.0,0.0,0.84,0.55,1.39,0.71,1.26
Everton,28.0,27.6,,38.0,418.0,,,58.0,42.0,100.0,55.0,3.0,3.0,0.0,0.0,1.53,1.11,2.63,1.45,2.55
Fulham,39.0,29.0,,38.0,418.0,,,38.0,28.0,66.0,36.0,2.0,3.0,0.0,0.0,1.0,0.74,1.74,0.95,1.68
Hull City,27.0,27.5,,38.0,418.0,,,35.0,21.0,56.0,33.0,2.0,3.0,0.0,0.0,0.92,0.55,1.47,0.87,1.42
Liverpool,25.0,25.7,,38.0,418.0,,,97.0,61.0,158.0,87.0,10.0,12.0,0.0,0.0,2.55,1.61,4.16,2.29,3.89
Manchester City,23.0,27.7,,38.0,418.0,,,97.0,63.0,160.0,91.0,6.0,7.0,0.0,0.0,2.55,1.66,4.21,2.39,4.05
Manchester Utd,30.0,26.7,,38.0,418.0,,,63.0,37.0,100.0,58.0,5.0,5.0,0.0,0.0,1.66,0.97,2.63,1.53,2.5
Newcastle Utd,26.0,26.4,,38.0,418.0,,,41.0,25.0,66.0,39.0,2.0,3.0,0.0,0.0,1.08,0.66,1.74,1.03,1.68
Norwich City,25.0,26.3,,38.0,418.0,,,28.0,18.0,46.0,27.0,1.0,2.0,0.0,0.0,0.74,0.47,1.21,0.71,1.18
Southampton,24.0,25.1,,38.0,418.0,,,52.0,37.0,89.0,49.0,3.0,3.0,0.0,0.0,1.37,0.97,2.34,1.29,2.26
Stoke City,26.0,27.3,,38.0,418.0,,,44.0,26.0,70.0,40.0,4.0,5.0,0.0,0.0,1.16,0.68,1.84,1.05,1.74
Sunderland,31.0,26.5,,38.0,418.0,,,41.0,24.0,65.0,35.0,6.0,6.0,0.0,0.0,1.08,0.63,1.71,0.92,1.55
Swansea City,27.0,26.5,,38.0,418.0,,,47.0,37.0,84.0,43.0,4.0,4.0,0.0,0.0,1.24,0.97,2.21,1.13,2.11
Tottenham,28.0,25.2,,38.0,418.0,,,50.0,33.0,83.0,45.0,5.0,6.0,0.0,0.0,1.32,0.87,2.18,1.18,2.05
West Brom,28.0,28.4,,38.0,418.0,,,41.0,27.0,68.0,39.0,2.0,2.0,0.0,0.0,1.08,0.71,1.79,1.03,1.74
West Ham,29.0,28.5,,38.0,418.0,,,36.0,22.0,58.0,34.0,2.0,2.0,0.0,0.0,0.95,0.58,1.53,0.89,1.47
