,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,26.0,28.2,,38.0,415.0,,,66.0,56.0,122.0,61.0,5.0,6.0,72.0,4.0,1.74,1.47,3.21,1.61,3.08
Aston Villa,21.0,25.8,,38.0,416.0,,,49.0,39.0,88.0,46.0,3.0,4.0,45.0,2.0,1.29,1.03,2.32,1.21,2.24
Barnsley,26.0,26.2,,38.0,387.0,,,37.0,18.0,55.0,34.0,3.0,5.0,68.0,5.0,0.97,0.47,1.45,0.89,1.37
Blackburn,23.0,26.9,,38.0,410.0,,,55.0,54.0,109.0,53.0,2.0,2.0,58.0,4.0,1.45,1.42,2.87,1.39,2.82
Bolton,28.0,28.0,,38.0,433.0,,,41.0,33.0,74.0,38.0,3.0,3.0,68.0,5.0,1.08,0.87,1.95,1.0,1.87
Chelsea,28.0,27.9,,38.0,416.0,,,67.0,66.0,133.0,61.0,6.0,6.0,68.0,3.0,1.76,1.74,3.5,1.61,3.34
Coventry City,24.0,27.2,,38.0,398.0,,,46.0,32.0,78.0,41.0,5.0,7.0,70.0,5.0,1.21,0.84,2.05,1.08,1.92
Crystal Palace,35.0,25.7,,38.0,389.0,,,35.0,27.0,62.0,34.0,1.0,2.0,72.0,3.0,0.92,0.71,1.63,0.89,1.61
Derby County,27.0,25.5,,38.0,416.0,,,52.0,36.0,88.0,47.0,5.0,6.0,80.0,2.0,1.37,0.95,2.32,1.24,2.18
Everton,33.0,25.8,,38.0,401.0,,,38.0,30.0,68.0,38.0,0.0,0.0,77.0,5.0,1.0,0.79,1.79,1.0,1.79
Leeds United,22.0,25.7,,38.0,418.0,,,52.0,43.0,95.0,51.0,1.0,2.0,76.0,5.0,1.37,1.13,2.5,1.34,2.47
Leicester City,22.0,26.6,,38.0,418.0,,,51.0,40.0,91.0,47.0,4.0,4.0,43.0,2.0,1.34,1.05,2.39,1.24,2.29
Liverpool,24.0,25.4,,38.0,416.0,,,68.0,57.0,125.0,64.0,4.0,5.0,52.0,2.0,1.79,1.5,3.29,1.68,3.18
Manchester Utd,29.0,26.3,,38.0,418.0,,,68.0,57.0,125.0,65.0,3.0,6.0,61.0,1.0,1.79,1.5,3.29,1.71,3.21
Newcastle Utd,26.0,27.2,,38.0,411.0,,,35.0,25.0,60.0,34.0,1.0,2.0,61.0,3.0,0.92,0.66,1.58,0.89,1.55
Sheffield Weds,33.0,27.7,,38.0,430.0,,,51.0,44.0,95.0,48.0,3.0,3.0,68.0,4.0,1.34,1.16,2.5,1.26,2.42
Southampton,30.0,27.6,,38.0,413.0,,,48.0,37.0,85.0,43.0,5.0,5.0,58.0,4.0,1.26,0.97,2.24,1.13,2.11
Tottenham,28.0,27.3,,38.0,415.0,,,44.0,39.0,83.0,44.0,0.0,2.0,56.0,2.0,1.16,1.03,2.18,1.16,2.18
West Ham,28.0,25.3,,38.0,413.0,,,53.0,42.0,95.0,52.0,1.0,1.0,62.0,5.0,1.39,1.11,2.5,1.37,2.47
Wimbledon,26.0,26.5,,38.0,429.0,,,32.0,29.0,61.0,31.0,1.0,1.0,56.0,2.0,0.84,0.76,1.61,0.82,1.58
