,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,28.0,28.3,,38.0,417.0,,,71.0,49.0,120.0,68.0,3.0,5.0,61.0,5.0,1.87,1.29,3.16,1.79,3.08
Aston Villa,25.0,26.6,,38.0,420.0,,,48.0,41.0,89.0,45.0,3.0,5.0,58.0,1.0,1.26,1.08,2.34,1.18,2.26
Bradford City,25.0,29.8,,38.0,418.0,,,37.0,21.0,58.0,32.0,5.0,5.0,49.0,1.0,0.97,0.55,1.53,0.84,1.39
Chelsea,27.0,28.9,,38.0,434.0,,,48.0,45.0,93.0,47.0,1.0,1.0,54.0,4.0,1.26,1.18,2.45,1.24,2.42
Coventry City,29.0,27.1,,38.0,412.0,,,46.0,32.0,78.0,41.0,5.0,5.0,49.0,1.0,1.21,0.84,2.05,1.08,1.92
Derby County,31.0,26.2,,38.0,418.0,,,42.0,28.0,70.0,40.0,2.0,4.0,84.0,4.0,1.11,0.74,1.84,1.05,1.79
Everton,28.0,27.8,,38.0,437.0,,,58.0,48.0,106.0,52.0,6.0,7.0,50.0,5.0,1.53,1.26,2.79,1.37,2.63
Leeds United,20.0,24.1,,38.0,417.0,,,57.0,36.0,93.0,53.0,4.0,6.0,72.0,3.0,1.5,0.95,2.45,1.39,2.34
Leicester City,26.0,27.8,,38.0,417.0,,,53.0,34.0,87.0,50.0,3.0,3.0,39.0,3.0,1.39,0.89,2.29,1.32,2.21
Liverpool,23.0,24.3,,38.0,418.0,,,50.0,30.0,80.0,47.0,3.0,5.0,55.0,4.0,1.32,0.79,2.11,1.24,2.03
Manchester Utd,29.0,26.8,,38.0,417.0,,,94.0,69.0,163.0,91.0,3.0,5.0,38.0,4.0,2.47,1.82,4.29,2.39,4.21
Middlesbrough,28.0,28.5,,38.0,418.0,,,44.0,26.0,70.0,38.0,6.0,9.0,75.0,3.0,1.16,0.68,1.84,1.0,1.68
Newcastle Utd,32.0,26.8,,38.0,418.0,,,60.0,43.0,103.0,54.0,6.0,6.0,43.0,1.0,1.58,1.13,2.71,1.42,2.55
Sheffield Weds,23.0,28.4,,38.0,399.0,,,34.0,24.0,58.0,31.0,3.0,4.0,40.0,1.0,0.89,0.63,1.53,0.82,1.45
Southampton,28.0,27.0,,38.0,402.0,,,42.0,32.0,74.0,41.0,1.0,1.0,62.0,5.0,1.11,0.84,1.95,1.08,1.92
Sunderland,27.0,26.9,,38.0,417.0,,,57.0,39.0,96.0,51.0,6.0,8.0,66.0,3.0,1.5,1.03,2.53,1.34,2.37
Tottenham,28.0,26.7,,38.0,418.0,,,55.0,40.0,95.0,54.0,1.0,1.0,75.0,1.0,1.45,1.05,2.5,1.42,2.47
Watford,31.0,26.2,,38.0,419.0,,,35.0,28.0,63.0,33.0,2.0,2.0,60.0,2.0,0.92,0.74,1.66,0.87,1.61
West Ham,28.0,26.8,,38.0,419.0,,,51.0,42.0,93.0,49.0,2.0,2.0,61.0,6.0,1.34,1.11,2.45,1.29,2.39
Wimbledon,26.0,26.7,,38.0,418.0,,,44.0,33.0,77.0,43.0,1.0,1.0,43.0,4.0,1.16,0.87,2.03,1.13,2.0
