,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Arsenal,28.0,26.7,58.1,38.0,418.0,3420.0,38.0,69.0,52.0,121.0,65.0,4.0,5.0,73.0,2.0,60.1,56.0,46.7,102.7,868.0,1874.0,1.82,1.37,3.18,1.71,3.08,1.58,1.23,2.81,1.47,2.7
Bournemouth,28.0,26.6,46.9,38.0,418.0,3420.0,38.0,55.0,43.0,98.0,48.0,7.0,9.0,60.0,1.0,53.3,46.2,38.8,85.0,738.0,1435.0,1.45,1.13,2.58,1.26,2.39,1.4,1.02,2.42,1.22,2.24
Brighton,21.0,27.4,42.4,38.0,418.0,3420.0,38.0,35.0,24.0,59.0,30.0,5.0,6.0,61.0,4.0,35.3,30.7,24.5,55.2,475.0,1150.0,0.92,0.63,1.55,0.79,1.42,0.93,0.64,1.57,0.81,1.45
Burnley,23.0,28.0,41.2,38.0,418.0,3420.0,38.0,43.0,32.0,75.0,41.0,2.0,2.0,75.0,1.0,44.4,42.8,31.2,74.0,421.0,1032.0,1.13,0.84,1.97,1.08,1.92,1.17,0.82,1.99,1.13,1.95
Cardiff City,25.0,27.7,35.4,38.0,418.0,3420.0,38.0,33.0,20.0,53.0,30.0,3.0,4.0,66.0,1.0,42.4,39.2,27.6,66.8,434.0,918.0,0.87,0.53,1.39,0.79,1.32,1.11,0.73,1.84,1.03,1.76
Chelsea,24.0,27.3,62.9,38.0,418.0,3420.0,38.0,61.0,52.0,113.0,56.0,5.0,5.0,49.0,0.0,58.6,54.6,44.9,99.6,1058.0,2155.0,1.61,1.37,2.97,1.47,2.84,1.54,1.18,2.72,1.44,2.62
Crystal Palace,26.0,27.4,45.2,38.0,418.0,3420.0,38.0,48.0,33.0,81.0,38.0,10.0,11.0,58.0,2.0,47.6,39.2,29.5,68.7,771.0,1458.0,1.26,0.87,2.13,1.0,1.87,1.25,0.78,2.03,1.03,1.81
Everton,23.0,25.7,51.5,38.0,418.0,3420.0,38.0,53.0,34.0,87.0,51.0,2.0,5.0,56.0,4.0,49.7,45.7,33.7,79.4,697.0,1581.0,1.39,0.89,2.29,1.34,2.24,1.31,0.89,2.19,1.2,2.09
Fulham,28.0,26.0,48.8,38.0,418.0,3420.0,38.0,33.0,24.0,57.0,31.0,2.0,3.0,70.0,2.0,41.3,39.0,30.0,69.0,628.0,1487.0,0.87,0.63,1.5,0.82,1.45,1.09,0.79,1.88,1.03,1.82
Huddersfield,31.0,26.2,47.2,38.0,418.0,3420.0,38.0,21.0,13.0,34.0,20.0,1.0,1.0,56.0,4.0,28.8,28.0,19.9,47.9,601.0,1248.0,0.55,0.34,0.89,0.53,0.87,0.76,0.52,1.28,0.74,1.26
