,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,26.0,25.6,,38.0,418.0,,,69.0,54.0,123.0,64.0,5.0,6.0,37.0,4.0,1.82,1.42,3.24,1.68,3.11
Aston Villa,28.0,24.1,,38.0,418.0,,,47.0,34.0,81.0,44.0,3.0,3.0,72.0,3.0,1.24,0.89,2.13,1.16,2.05
Chelsea,26.0,26.4,,38.0,418.0,,,71.0,50.0,121.0,62.0,9.0,11.0,51.0,3.0,1.87,1.32,3.18,1.63,2.95
Everton,23.0,28.8,,38.0,418.0,,,53.0,42.0,95.0,51.0,2.0,2.0,59.0,3.0,1.39,1.11,2.5,1.34,2.45
Fulham,29.0,30.4,,38.0,418.0,,,45.0,32.0,77.0,39.0,6.0,6.0,48.0,3.0,1.18,0.84,2.03,1.03,1.87
Liverpool,28.0,26.2,,38.0,418.0,,,67.0,47.0,114.0,62.0,5.0,6.0,54.0,2.0,1.76,1.24,3.0,1.63,2.87
Manchester City,25.0,26.7,,38.0,418.0,,,64.0,45.0,109.0,60.0,4.0,6.0,63.0,3.0,1.68,1.18,2.87,1.58,2.76
Manchester Utd,25.0,27.3,,38.0,418.0,,,80.0,63.0,143.0,76.0,4.0,7.0,57.0,1.0,2.11,1.66,3.76,2.0,3.66
Newcastle Utd,32.0,26.2,,38.0,418.0,,,43.0,22.0,65.0,39.0,4.0,5.0,71.0,4.0,1.13,0.58,1.71,1.03,1.61
Norwich City,27.0,26.7,,38.0,418.0,,,40.0,27.0,67.0,39.0,1.0,2.0,60.0,1.0,1.05,0.71,1.76,1.03,1.74
QPR,30.0,28.2,,38.0,418.0,,,29.0,22.0,51.0,28.0,1.0,4.0,59.0,3.0,0.76,0.58,1.34,0.74,1.32
Reading,28.0,27.2,,38.0,418.0,,,41.0,28.0,69.0,37.0,4.0,4.0,45.0,1.0,1.08,0.74,1.82,0.97,1.71
Southampton,25.0,25.3,,38.0,418.0,,,46.0,25.0,71.0,43.0,3.0,3.0,43.0,2.0,1.21,0.66,1.87,1.13,1.79
Stoke City,24.0,27.1,,38.0,418.0,,,33.0,23.0,56.0,30.0,3.0,5.0,76.0,4.0,0.87,0.61,1.47,0.79,1.39
Sunderland,29.0,26.2,,38.0,418.0,,,39.0,24.0,63.0,35.0,4.0,4.0,61.0,3.0,1.03,0.63,1.66,0.92,1.55
Swansea City,25.0,26.6,,38.0,418.0,,,47.0,32.0,79.0,47.0,0.0,0.0,57.0,2.0,1.24,0.84,2.08,1.24,2.08
Tottenham,28.0,26.3,,38.0,418.0,,,62.0,45.0,107.0,62.0,0.0,0.0,54.0,2.0,1.63,1.18,2.82,1.63,2.82
West Brom,25.0,27.6,,38.0,418.0,,,50.0,38.0,88.0,45.0,5.0,7.0,62.0,4.0,1.32,1.0,2.32,1.18,2.18
West Ham,26.0,28.0,,38.0,418.0,,,43.0,33.0,76.0,39.0,4.0,4.0,74.0,1.0,1.13,0.87,2.0,1.03,1.89
Wigan Athletic,28.0,27.7,,38.0,418.0,,,45.0,35.0,80.0,44.0,1.0,1.0,66.0,2.0,1.18,0.92,2.11,1.16,2.08
