,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,32.0,25.2,,38.0,418.0,,,73.0,57.0,130.0,71.0,2.0,3.0,64.0,4.0,1.92,1.5,3.42,1.87,3.37
Aston Villa,27.0,27.3,,38.0,418.0,,,37.0,26.0,63.0,34.0,3.0,3.0,69.0,2.0,0.97,0.68,1.66,0.89,1.58
Blackburn,31.0,25.5,,38.0,418.0,,,44.0,32.0,76.0,40.0,4.0,8.0,66.0,5.0,1.16,0.84,2.0,1.05,1.89
Bolton,30.0,27.4,,38.0,418.0,,,43.0,29.0,72.0,38.0,5.0,6.0,50.0,5.0,1.13,0.76,1.89,1.0,1.76
Chelsea,29.0,27.6,,38.0,418.0,,,63.0,45.0,108.0,59.0,4.0,5.0,74.0,4.0,1.66,1.18,2.84,1.55,2.74
Everton,29.0,28.6,,38.0,407.0,,,47.0,32.0,79.0,42.0,5.0,5.0,61.0,2.0,1.24,0.84,2.08,1.11,1.95
Fulham,28.0,29.6,,38.0,418.0,,,44.0,31.0,75.0,41.0,3.0,4.0,54.0,0.0,1.16,0.82,1.97,1.08,1.89
Liverpool,26.0,26.3,,38.0,418.0,,,42.0,23.0,65.0,41.0,1.0,4.0,52.0,5.0,1.11,0.61,1.71,1.08,1.68
Manchester City,24.0,25.8,,38.0,418.0,,,91.0,73.0,164.0,84.0,7.0,8.0,51.0,5.0,2.39,1.92,4.32,2.21,4.13
Manchester Utd,31.0,26.3,,38.0,418.0,,,87.0,69.0,156.0,78.0,9.0,11.0,51.0,1.0,2.29,1.82,4.11,2.05,3.87
Newcastle Utd,26.0,25.6,,38.0,418.0,,,51.0,36.0,87.0,49.0,2.0,3.0,65.0,2.0,1.34,0.95,2.29,1.29,2.24
Norwich City,27.0,25.8,,38.0,418.0,,,52.0,33.0,85.0,50.0,2.0,2.0,58.0,3.0,1.37,0.87,2.24,1.32,2.18
QPR,34.0,28.8,,38.0,418.0,,,41.0,25.0,66.0,39.0,2.0,2.0,53.0,9.0,1.08,0.66,1.74,1.03,1.68
Stoke City,23.0,27.9,,38.0,418.0,,,35.0,28.0,63.0,31.0,4.0,6.0,60.0,2.0,0.92,0.74,1.66,0.82,1.55
Sunderland,28.0,25.8,,38.0,418.0,,,43.0,25.0,68.0,42.0,1.0,2.0,58.0,4.0,1.13,0.66,1.79,1.11,1.76
Swansea City,25.0,25.4,,38.0,418.0,,,43.0,24.0,67.0,38.0,5.0,6.0,40.0,2.0,1.13,0.63,1.76,1.0,1.63
Tottenham,29.0,27.6,,38.0,418.0,,,66.0,48.0,114.0,62.0,4.0,5.0,43.0,3.0,1.74,1.26,3.0,1.63,2.89
West Brom,25.0,27.8,,38.0,418.0,,,44.0,30.0,74.0,43.0,1.0,2.0,47.0,1.0,1.16,0.79,1.95,1.13,1.92
Wigan Athletic,23.0,26.3,,38.0,418.0,,,41.0,22.0,63.0,36.0,5.0,7.0,67.0,3.0,1.08,0.58,1.66,0.95,1.53
Wolves,32.0,26.0,,38.0,418.0,,,40.0,25.0,65.0,37.0,3.0,4.0,64.0,4.0,1.05,0.66,1.71,0.97,1.63
