,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,25.0,28.8,,38.0,418.0,,,49.0,35.0,84.0,46.0,3.0,5.0,62.0,2.0,1.29,0.92,2.21,1.21,2.13
Aston Villa,24.0,25.3,,38.0,415.0,,,49.0,37.0,86.0,47.0,2.0,2.0,46.0,2.0,1.29,0.97,2.26,1.24,2.21
Blackburn,26.0,26.6,,38.0,427.0,,,60.0,45.0,105.0,57.0,3.0,3.0,66.0,4.0,1.58,1.18,2.76,1.5,2.68
Bolton,28.0,27.1,,38.0,418.0,,,39.0,27.0,66.0,36.0,3.0,3.0,64.0,3.0,1.03,0.71,1.74,0.95,1.66
Chelsea,25.0,27.5,,38.0,434.0,,,45.0,34.0,79.0,42.0,3.0,4.0,65.0,3.0,1.18,0.89,2.08,1.11,2.0
Coventry City,26.0,27.1,,38.0,422.0,,,42.0,31.0,73.0,41.0,1.0,2.0,62.0,3.0,1.11,0.82,1.92,1.08,1.89
Everton,24.0,27.7,,38.0,423.0,,,63.0,45.0,108.0,59.0,4.0,4.0,64.0,3.0,1.66,1.18,2.84,1.55,2.74
Leeds United,31.0,27.1,,38.0,403.0,,,38.0,28.0,66.0,36.0,2.0,3.0,59.0,4.0,1.0,0.74,1.74,0.95,1.68
Liverpool,19.0,25.7,,38.0,421.0,,,68.0,54.0,122.0,67.0,1.0,1.0,39.0,0.0,1.79,1.42,3.21,1.76,3.18
Manchester City,27.0,26.1,,38.0,386.0,,,33.0,26.0,59.0,32.0,1.0,2.0,67.0,6.0,0.87,0.68,1.55,0.84,1.53
Manchester Utd,23.0,25.5,,38.0,422.0,,,72.0,62.0,134.0,68.0,4.0,4.0,50.0,3.0,1.89,1.63,3.53,1.79,3.42
Middlesbrough,30.0,26.0,,38.0,418.0,,,34.0,27.0,61.0,31.0,3.0,4.0,72.0,3.0,0.89,0.71,1.61,0.82,1.53
Newcastle Utd,21.0,27.0,,38.0,401.0,,,68.0,54.0,122.0,65.0,3.0,4.0,47.0,1.0,1.79,1.42,3.21,1.71,3.13
Nott'ham Forest,22.0,26.0,,38.0,407.0,,,48.0,35.0,83.0,45.0,3.0,3.0,46.0,2.0,1.26,0.92,2.18,1.18,2.11
QPR,27.0,26.2,,38.0,419.0,,,37.0,33.0,70.0,37.0,0.0,1.0,75.0,4.0,0.97,0.87,1.84,0.97,1.84
Sheffield Weds,28.0,27.9,,38.0,401.0,,,48.0,37.0,85.0,44.0,4.0,4.0,37.0,1.0,1.26,0.97,2.24,1.16,2.13
Southampton,25.0,26.2,,38.0,417.0,,,33.0,21.0,54.0,29.0,4.0,4.0,62.0,2.0,0.87,0.55,1.42,0.76,1.32
Tottenham,23.0,27.4,,38.0,424.0,,,47.0,38.0,85.0,45.0,2.0,2.0,52.0,0.0,1.24,1.0,2.24,1.18,2.18
West Ham,31.0,28.2,,38.0,422.0,,,43.0,29.0,72.0,38.0,5.0,6.0,51.0,4.0,1.13,0.76,1.89,1.0,1.76
Wimbledon,30.0,27.0,,38.0,421.0,,,54.0,39.0,93.0,52.0,2.0,2.0,55.0,7.0,1.42,1.03,2.45,1.37,2.39
