,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,29.0,26.4,,42.0,462.0,,,40.0,34.0,74.0,40.0,0.0,0.0,34.0,1.0,0.95,0.81,1.76,0.95,1.76
Aston Villa,24.0,26.9,,42.0,462.0,,,56.0,41.0,97.0,54.0,2.0,3.0,23.0,0.0,1.33,0.98,2.31,1.29,2.26
Blackburn,24.0,26.0,,42.0,480.0,,,66.0,52.0,118.0,63.0,3.0,4.0,37.0,3.0,1.57,1.24,2.81,1.5,2.74
Chelsea,31.0,26.3,,42.0,452.0,,,50.0,40.0,90.0,49.0,1.0,1.0,41.0,2.0,1.19,0.95,2.14,1.17,2.12
Coventry City,29.0,26.4,,42.0,453.0,,,48.0,27.0,75.0,46.0,2.0,3.0,31.0,1.0,1.14,0.64,1.79,1.1,1.74
Crystal Palace,23.0,25.1,,42.0,457.0,,,45.0,30.0,75.0,45.0,0.0,1.0,27.0,3.0,1.07,0.71,1.79,1.07,1.79
Everton,26.0,27.9,,42.0,462.0,,,51.0,33.0,84.0,47.0,4.0,4.0,26.0,3.0,1.21,0.79,2.0,1.12,1.9
Ipswich Town,22.0,27.5,,42.0,462.0,,,50.0,29.0,79.0,46.0,4.0,5.0,31.0,1.0,1.19,0.69,1.88,1.1,1.79
Leeds United,30.0,27.0,,42.0,461.0,,,55.0,35.0,90.0,50.0,5.0,5.0,40.0,0.0,1.31,0.83,2.14,1.19,2.02
Liverpool,25.0,25.7,,42.0,462.0,,,61.0,45.0,106.0,53.0,8.0,9.0,26.0,3.0,1.45,1.07,2.52,1.26,2.33
Manchester City,23.0,26.3,,42.0,461.0,,,53.0,42.0,95.0,50.0,3.0,4.0,43.0,1.0,1.26,1.0,2.26,1.19,2.19
Manchester Utd,20.0,26.6,,42.0,461.0,,,66.0,35.0,101.0,64.0,2.0,2.0,28.0,0.0,1.57,0.83,2.4,1.52,2.36
Middlesbrough,26.0,26.5,,42.0,468.0,,,49.0,39.0,88.0,48.0,1.0,2.0,42.0,2.0,1.17,0.93,2.1,1.14,2.07
Norwich City,20.0,26.4,,42.0,455.0,,,58.0,43.0,101.0,55.0,3.0,4.0,19.0,0.0,1.38,1.02,2.4,1.31,2.33
Nott'ham Forest,23.0,25.1,,42.0,458.0,,,41.0,30.0,71.0,37.0,4.0,5.0,22.0,1.0,0.98,0.71,1.69,0.88,1.6
Oldham Athletic,24.0,25.5,,42.0,466.0,,,61.0,42.0,103.0,60.0,1.0,2.0,35.0,0.0,1.45,1.0,2.45,1.43,2.43
QPR,23.0,26.6,,42.0,455.0,,,61.0,45.0,106.0,58.0,3.0,4.0,30.0,0.0,1.45,1.07,2.52,1.38,2.45
Sheffield Utd,23.0,25.8,,42.0,440.0,,,50.0,36.0,86.0,49.0,1.0,2.0,53.0,4.0,1.19,0.86,2.05,1.17,2.02
Sheffield Weds,25.0,27.8,,42.0,463.0,,,54.0,40.0,94.0,51.0,3.0,3.0,31.0,1.0,1.29,0.95,2.24,1.21,2.17
Southampton,25.0,26.3,,42.0,455.0,,,54.0,38.0,92.0,52.0,2.0,2.0,51.0,3.0,1.29,0.9,2.19,1.24,2.14
Tottenham,31.0,24.9,,42.0,454.0,,,58.0,33.0,91.0,58.0,0.0,0.0,36.0,1.0,1.38,0.79,2.17,1.38,2.17
Wimbledon,27.0,25.9,,42.0,452.0,,,54.0,40.0,94.0,52.0,2.0,3.0,48.0,3.0,1.29,0.95,2.24,1.24,2.19
