,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,22.0,27.3,,38.0,419.0,,,69.0,52.0,121.0,62.0,7.0,7.0,51.0,3.0,1.82,1.37,3.18,1.63,3.0
Aston Villa,23.0,25.7,,38.0,418.0,,,48.0,34.0,82.0,44.0,4.0,5.0,52.0,3.0,1.26,0.89,2.16,1.16,2.05
Birmingham City,27.0,27.4,,38.0,428.0,,,43.0,29.0,72.0,39.0,4.0,5.0,45.0,5.0,1.13,0.76,1.89,1.03,1.79
Blackburn,28.0,28.2,,38.0,412.0,,,52.0,39.0,91.0,52.0,0.0,0.0,58.0,3.0,1.37,1.03,2.39,1.37,2.39
Bolton,24.0,28.5,,38.0,433.0,,,47.0,35.0,82.0,46.0,1.0,1.0,63.0,0.0,1.24,0.92,2.16,1.21,2.13
Charlton Ath,24.0,28.4,,38.0,406.0,,,50.0,29.0,79.0,44.0,6.0,8.0,35.0,3.0,1.32,0.76,2.08,1.16,1.92
Chelsea,27.0,25.9,,38.0,438.0,,,67.0,58.0,125.0,63.0,4.0,4.0,44.0,3.0,1.76,1.53,3.29,1.66,3.18
Everton,26.0,27.3,,38.0,414.0,,,42.0,31.0,73.0,41.0,1.0,1.0,53.0,3.0,1.11,0.82,1.92,1.08,1.89
Fulham,30.0,27.1,,38.0,421.0,,,52.0,32.0,84.0,50.0,2.0,3.0,59.0,3.0,1.37,0.84,2.21,1.32,2.16
Leeds United,29.0,25.2,,38.0,404.0,,,40.0,28.0,68.0,36.0,4.0,4.0,70.0,5.0,1.05,0.74,1.79,0.95,1.68
Leicester City,28.0,29.4,,38.0,391.0,,,45.0,37.0,82.0,43.0,2.0,3.0,58.0,8.0,1.18,0.97,2.16,1.13,2.11
Liverpool,25.0,26.0,,38.0,408.0,,,53.0,36.0,89.0,45.0,8.0,10.0,46.0,1.0,1.39,0.95,2.34,1.18,2.13
Manchester City,24.0,27.9,,38.0,418.0,,,52.0,37.0,89.0,48.0,4.0,4.0,46.0,3.0,1.37,0.97,2.34,1.26,2.24
Manchester Utd,22.0,25.8,,38.0,418.0,,,63.0,54.0,117.0,62.0,1.0,4.0,42.0,3.0,1.66,1.42,3.08,1.63,3.05
Middlesbrough,27.0,27.6,,38.0,418.0,,,42.0,28.0,70.0,39.0,3.0,5.0,52.0,1.0,1.11,0.74,1.84,1.03,1.76
Newcastle Utd,23.0,25.7,,38.0,429.0,,,53.0,33.0,86.0,46.0,7.0,10.0,47.0,3.0,1.39,0.87,2.26,1.21,2.08
Portsmouth,32.0,28.5,,38.0,433.0,,,49.0,31.0,80.0,46.0,3.0,3.0,60.0,3.0,1.29,0.82,2.11,1.21,2.03
Southampton,28.0,28.1,,38.0,403.0,,,43.0,27.0,70.0,41.0,2.0,2.0,51.0,3.0,1.13,0.71,1.84,1.08,1.79
Tottenham,28.0,26.2,,38.0,407.0,,,47.0,33.0,80.0,44.0,3.0,3.0,45.0,0.0,1.24,0.87,2.11,1.16,2.03
Wolves,27.0,29.6,,38.0,428.0,,,39.0,25.0,64.0,38.0,1.0,4.0,65.0,2.0,1.03,0.66,1.68,1.0,1.66
