,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,25.0,27.3,,38.0,431.0,,,79.0,54.0,133.0,73.0,6.0,7.0,77.0,6.0,2.08,1.42,3.5,1.92,3.34
Aston Villa,22.0,27.2,,38.0,410.0,,,44.0,38.0,82.0,42.0,2.0,2.0,41.0,2.0,1.16,1.0,2.16,1.11,2.11
Blackburn,25.0,27.2,,38.0,416.0,,,54.0,39.0,93.0,53.0,1.0,1.0,57.0,4.0,1.42,1.03,2.45,1.39,2.42
Bolton,30.0,28.5,,38.0,407.0,,,42.0,25.0,67.0,42.0,0.0,1.0,57.0,6.0,1.11,0.66,1.76,1.11,1.76
Charlton Ath,25.0,26.6,,38.0,418.0,,,36.0,25.0,61.0,36.0,0.0,1.0,63.0,3.0,0.95,0.66,1.61,0.95,1.61
Chelsea,25.0,26.8,,38.0,411.0,,,65.0,43.0,108.0,62.0,3.0,3.0,63.0,2.0,1.71,1.13,2.84,1.63,2.76
Derby County,32.0,26.1,,38.0,409.0,,,33.0,23.0,56.0,31.0,2.0,5.0,71.0,2.0,0.87,0.61,1.47,0.82,1.42
Everton,28.0,28.0,,38.0,401.0,,,44.0,31.0,75.0,41.0,3.0,3.0,58.0,4.0,1.16,0.82,1.97,1.08,1.89
Fulham,24.0,27.7,,38.0,415.0,,,35.0,28.0,63.0,34.0,1.0,3.0,53.0,1.0,0.92,0.74,1.66,0.89,1.63
Ipswich Town,26.0,27.2,,38.0,410.0,,,41.0,32.0,73.0,40.0,1.0,3.0,42.0,1.0,1.08,0.84,1.92,1.05,1.89
Leeds United,21.0,25.9,,38.0,433.0,,,54.0,46.0,100.0,53.0,1.0,2.0,70.0,5.0,1.42,1.21,2.63,1.39,2.61
Leicester City,33.0,27.3,,38.0,415.0,,,29.0,21.0,50.0,27.0,2.0,4.0,74.0,3.0,0.76,0.55,1.32,0.71,1.26
Liverpool,27.0,25.5,,38.0,418.0,,,63.0,51.0,114.0,62.0,1.0,3.0,45.0,2.0,1.66,1.34,3.0,1.63,2.97
Manchester Utd,28.0,27.5,,38.0,402.0,,,81.0,56.0,137.0,76.0,5.0,5.0,53.0,1.0,2.13,1.47,3.61,2.0,3.47
Middlesbrough,34.0,28.1,,38.0,409.0,,,33.0,21.0,54.0,31.0,2.0,3.0,54.0,7.0,0.87,0.55,1.42,0.82,1.37
Newcastle Utd,22.0,25.5,,38.0,390.0,,,72.0,53.0,125.0,67.0,5.0,7.0,48.0,2.0,1.89,1.39,3.29,1.76,3.16
Southampton,29.0,27.5,,38.0,390.0,,,42.0,30.0,72.0,38.0,4.0,4.0,33.0,3.0,1.11,0.79,1.89,1.0,1.79
Sunderland,25.0,26.6,,38.0,415.0,,,29.0,19.0,48.0,28.0,1.0,3.0,66.0,1.0,0.76,0.5,1.26,0.74,1.24
Tottenham,24.0,28.7,,38.0,411.0,,,48.0,33.0,81.0,45.0,3.0,3.0,59.0,4.0,1.26,0.87,2.13,1.18,2.05
West Ham,28.0,27.4,,38.0,419.0,,,48.0,34.0,82.0,44.0,4.0,5.0,67.0,3.0,1.26,0.89,2.16,1.16,2.05
