,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,28.0,29.3,,38.0,402.0,,,59.0,36.0,95.0,51.0,8.0,8.0,74.0,4.0,1.55,0.95,2.5,1.34,2.29
Aston Villa,21.0,25.4,,38.0,418.0,,,46.0,32.0,78.0,42.0,4.0,5.0,51.0,0.0,1.21,0.84,2.05,1.11,1.95
Blackburn,25.0,27.0,,38.0,422.0,,,42.0,36.0,78.0,40.0,2.0,3.0,72.0,1.0,1.11,0.95,2.05,1.05,2.0
Chelsea,30.0,28.1,,38.0,414.0,,,56.0,47.0,103.0,52.0,4.0,5.0,81.0,1.0,1.47,1.24,2.71,1.37,2.61
Coventry City,25.0,28.0,,38.0,411.0,,,36.0,29.0,65.0,33.0,3.0,3.0,64.0,4.0,0.95,0.76,1.71,0.87,1.63
Derby County,25.0,26.1,,38.0,414.0,,,42.0,34.0,76.0,39.0,3.0,4.0,60.0,1.0,1.11,0.89,2.0,1.03,1.92
Everton,26.0,27.1,,38.0,430.0,,,45.0,36.0,81.0,41.0,4.0,6.0,56.0,2.0,1.18,0.95,2.13,1.08,2.03
Leeds United,30.0,26.9,,38.0,403.0,,,27.0,22.0,49.0,27.0,0.0,1.0,89.0,1.0,0.71,0.58,1.29,0.71,1.29
Leicester City,24.0,26.4,,38.0,424.0,,,44.0,29.0,73.0,41.0,3.0,6.0,68.0,1.0,1.16,0.76,1.92,1.08,1.84
Liverpool,23.0,26.2,,38.0,412.0,,,58.0,48.0,106.0,56.0,2.0,3.0,51.0,1.0,1.53,1.26,2.79,1.47,2.74
Manchester Utd,23.0,25.8,,38.0,413.0,,,70.0,47.0,117.0,66.0,4.0,6.0,71.0,1.0,1.84,1.24,3.08,1.74,2.97
Middlesbrough,30.0,26.2,,38.0,403.0,,,50.0,29.0,79.0,45.0,5.0,8.0,90.0,3.0,1.32,0.76,2.08,1.18,1.95
Newcastle Utd,19.0,27.3,,38.0,400.0,,,72.0,48.0,120.0,67.0,5.0,7.0,74.0,1.0,1.89,1.26,3.16,1.76,3.03
Nott'ham Forest,29.0,27.9,,38.0,415.0,,,31.0,22.0,53.0,29.0,2.0,3.0,67.0,1.0,0.82,0.58,1.39,0.76,1.34
Sheffield Weds,24.0,26.6,,38.0,418.0,,,50.0,29.0,79.0,48.0,2.0,4.0,52.0,2.0,1.32,0.76,2.08,1.26,2.03
Southampton,31.0,26.0,,38.0,416.0,,,47.0,37.0,84.0,41.0,6.0,7.0,79.0,6.0,1.24,0.97,2.21,1.08,2.05
Sunderland,25.0,28.3,,38.0,369.0,,,32.0,22.0,54.0,28.0,4.0,6.0,50.0,5.0,0.84,0.58,1.42,0.74,1.32
Tottenham,26.0,26.7,,38.0,415.0,,,43.0,32.0,75.0,41.0,2.0,3.0,70.0,1.0,1.13,0.84,1.97,1.08,1.92
West Ham,31.0,27.9,,38.0,412.0,,,40.0,35.0,75.0,35.0,5.0,6.0,70.0,2.0,1.05,0.92,1.97,0.92,1.84
Wimbledon,24.0,26.6,,38.0,418.0,,,48.0,36.0,84.0,48.0,0.0,1.0,51.0,1.0,1.26,0.95,2.21,1.26,2.21
