,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,29.0,26.1,56.6,38.0,418.0,3420.0,38.0,69.0,47.0,116.0,63.0,6.0,7.0,0.0,0.0,1.82,1.24,3.05,1.66,2.89
Aston Villa,27.0,26.3,49.0,38.0,418.0,3420.0,38.0,31.0,23.0,54.0,30.0,1.0,1.0,0.0,0.0,0.82,0.61,1.42,0.79,1.39
Burnley,24.0,27.2,42.5,38.0,418.0,3420.0,38.0,27.0,22.0,49.0,26.0,1.0,2.0,0.0,0.0,0.71,0.58,1.29,0.68,1.26
Chelsea,25.0,27.0,55.9,38.0,418.0,3420.0,38.0,72.0,59.0,131.0,68.0,4.0,5.0,0.0,0.0,1.89,1.55,3.45,1.79,3.34
Crystal Palace,30.0,27.8,40.4,38.0,418.0,3420.0,38.0,46.0,27.0,73.0,41.0,5.0,7.0,0.0,0.0,1.21,0.71,1.92,1.08,1.79
Everton,28.0,27.9,54.7,38.0,418.0,3420.0,38.0,47.0,31.0,78.0,43.0,4.0,7.0,0.0,0.0,1.24,0.82,2.05,1.13,1.95
Hull City,29.0,27.4,44.2,38.0,418.0,3420.0,38.0,32.0,22.0,54.0,31.0,1.0,1.0,0.0,0.0,0.84,0.58,1.42,0.82,1.39
Leicester City,28.0,27.9,43.5,38.0,418.0,3420.0,38.0,45.0,29.0,74.0,42.0,3.0,3.0,0.0,0.0,1.18,0.76,1.95,1.11,1.87
Liverpool,25.0,25.2,55.8,38.0,418.0,3420.0,38.0,48.0,30.0,78.0,43.0,5.0,6.0,0.0,0.0,1.26,0.79,2.05,1.13,1.92
Manchester City,24.0,28.6,59.8,38.0,418.0,3420.0,38.0,82.0,61.0,143.0,75.0,7.0,8.0,0.0,0.0,2.16,1.61,3.76,1.97,3.58
Manchester Utd,33.0,26.0,61.2,38.0,418.0,3420.0,38.0,60.0,41.0,101.0,57.0,3.0,5.0,0.0,0.0,1.58,1.08,2.66,1.5,2.58
Newcastle Utd,27.0,25.9,47.7,38.0,418.0,3420.0,38.0,40.0,30.0,70.0,39.0,1.0,1.0,0.0,0.0,1.05,0.79,1.84,1.03,1.82
QPR,32.0,28.2,45.2,38.0,418.0,3420.0,38.0,39.0,29.0,68.0,36.0,3.0,5.0,0.0,0.0,1.03,0.76,1.79,0.95,1.71
Southampton,29.0,26.0,53.1,38.0,418.0,3420.0,38.0,49.0,32.0,81.0,47.0,2.0,3.0,0.0,0.0,1.29,0.84,2.13,1.24,2.08
Stoke City,25.0,27.4,50.4,38.0,418.0,3420.0,38.0,47.0,30.0,77.0,44.0,3.0,3.0,0.0,0.0,1.24,0.79,2.03,1.16,1.95
Sunderland,25.0,27.8,45.2,38.0,417.0,3420.0,38.0,30.0,20.0,50.0,26.0,4.0,4.0,0.0,0.0,0.79,0.53,1.32,0.68,1.21
Swansea City,27.0,26.6,50.1,38.0,418.0,3420.0,38.0,43.0,34.0,77.0,41.0,2.0,2.0,0.0,0.0,1.13,0.89,2.03,1.08,1.97
Tottenham,27.0,24.4,57.0,38.0,418.0,3420.0,38.0,56.0,40.0,96.0,53.0,3.0,5.0,0.0,0.0,1.47,1.05,2.53,1.39,2.45
West Brom,26.0,28.0,43.7,38.0,418.0,3420.0,38.0,37.0,29.0,66.0,33.0,4.0,5.0,0.0,0.0,0.97,0.76,1.74,0.87,1.63
West Ham,28.0,26.8,45.6,38.0,418.0,3420.0,38.0,43.0,34.0,77.0,42.0,1.0,2.0,0.0,0.0,1.13,0.89,2.03,1.11,2.0
