,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,27.0,24.6,,38.0,418.0,,,73.0,57.0,130.0,68.0,5.0,6.0,57.0,3.0,1.92,1.5,3.42,1.79,3.29
Aston Villa,22.0,25.5,,38.0,418.0,,,66.0,42.0,108.0,60.0,6.0,7.0,56.0,4.0,1.74,1.11,2.84,1.58,2.68
Birmingham City,28.0,25.3,,38.0,418.0,,,44.0,21.0,65.0,38.0,6.0,6.0,68.0,3.0,1.16,0.55,1.71,1.0,1.55
Blackburn,22.0,28.0,,38.0,418.0,,,50.0,32.0,82.0,45.0,5.0,6.0,74.0,6.0,1.32,0.84,2.16,1.18,2.03
Bolton,31.0,27.5,,38.0,417.0,,,34.0,22.0,56.0,34.0,0.0,1.0,76.0,0.0,0.89,0.58,1.47,0.89,1.47
Chelsea,27.0,27.0,,38.0,417.0,,,64.0,52.0,116.0,57.0,7.0,7.0,65.0,5.0,1.68,1.37,3.05,1.5,2.87
Derby County,36.0,27.6,,38.0,418.0,,,19.0,12.0,31.0,19.0,0.0,0.0,63.0,1.0,0.5,0.32,0.82,0.5,0.82
Everton,23.0,26.9,,38.0,420.0,,,53.0,30.0,83.0,52.0,1.0,1.0,40.0,3.0,1.39,0.79,2.18,1.37,2.16
Fulham,33.0,28.0,,38.0,418.0,,,37.0,17.0,54.0,35.0,2.0,3.0,60.0,6.0,0.97,0.45,1.42,0.92,1.37
Liverpool,25.0,26.2,,38.0,418.0,,,64.0,43.0,107.0,59.0,5.0,5.0,46.0,1.0,1.68,1.13,2.82,1.55,2.68
Manchester City,28.0,24.5,,38.0,418.0,,,42.0,30.0,72.0,40.0,2.0,2.0,51.0,4.0,1.11,0.79,1.89,1.05,1.84
Manchester Utd,25.0,26.7,,38.0,418.0,,,78.0,52.0,130.0,72.0,6.0,8.0,51.0,2.0,2.05,1.37,3.42,1.89,3.26
Middlesbrough,29.0,25.7,,38.0,416.0,,,43.0,27.0,70.0,41.0,2.0,2.0,86.0,2.0,1.13,0.71,1.84,1.08,1.79
Newcastle Utd,26.0,27.0,,38.0,419.0,,,43.0,27.0,70.0,39.0,4.0,4.0,66.0,1.0,1.13,0.71,1.84,1.03,1.74
Portsmouth,28.0,28.2,,38.0,419.0,,,46.0,32.0,78.0,42.0,4.0,7.0,58.0,3.0,1.21,0.84,2.05,1.11,1.95
Reading,26.0,27.6,,38.0,418.0,,,41.0,26.0,67.0,39.0,2.0,4.0,61.0,5.0,1.08,0.68,1.76,1.03,1.71
Sunderland,31.0,24.9,,38.0,418.0,,,36.0,21.0,57.0,35.0,1.0,2.0,67.0,4.0,0.95,0.55,1.5,0.92,1.47
Tottenham,30.0,25.5,,38.0,418.0,,,65.0,35.0,100.0,61.0,4.0,6.0,52.0,1.0,1.71,0.92,2.63,1.61,2.53
West Ham,28.0,26.5,,38.0,418.0,,,39.0,29.0,68.0,37.0,2.0,2.0,66.0,2.0,1.03,0.76,1.79,0.97,1.74
Wigan Athletic,27.0,27.7,,38.0,418.0,,,33.0,19.0,52.0,29.0,4.0,5.0,60.0,4.0,0.87,0.5,1.37,0.76,1.26
