,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,27.0,26.2,,38.0,418.0,,,66.0,46.0,112.0,62.0,4.0,7.0,55.0,2.0,1.74,1.21,2.95,1.63,2.84
Aston Villa,26.0,25.2,,38.0,416.0,,,41.0,35.0,76.0,40.0,1.0,4.0,63.0,2.0,1.08,0.92,2.0,1.05,1.97
Birmingham City,30.0,28.0,,38.0,417.0,,,26.0,19.0,45.0,24.0,2.0,2.0,53.0,7.0,0.68,0.5,1.18,0.63,1.13
Blackburn,23.0,27.9,,38.0,418.0,,,49.0,29.0,78.0,45.0,4.0,4.0,78.0,6.0,1.29,0.76,2.05,1.18,1.95
Bolton,24.0,28.0,,38.0,419.0,,,47.0,33.0,80.0,45.0,2.0,4.0,64.0,3.0,1.24,0.87,2.11,1.18,2.05
Charlton Ath,28.0,27.9,,38.0,422.0,,,41.0,29.0,70.0,37.0,4.0,4.0,44.0,2.0,1.08,0.76,1.84,0.97,1.74
Chelsea,25.0,25.9,,38.0,418.0,,,71.0,50.0,121.0,67.0,4.0,4.0,64.0,5.0,1.87,1.32,3.18,1.76,3.08
Everton,27.0,27.9,,38.0,422.0,,,32.0,25.0,57.0,31.0,1.0,3.0,66.0,7.0,0.84,0.66,1.5,0.82,1.47
Fulham,27.0,27.9,,38.0,417.0,,,47.0,35.0,82.0,43.0,4.0,4.0,65.0,2.0,1.24,0.92,2.16,1.13,2.05
Liverpool,22.0,26.3,,38.0,415.0,,,54.0,42.0,96.0,50.0,4.0,5.0,50.0,5.0,1.42,1.11,2.53,1.32,2.42
Manchester City,26.0,27.3,,38.0,418.0,,,42.0,31.0,73.0,41.0,1.0,2.0,70.0,4.0,1.11,0.82,1.92,1.08,1.89
Manchester Utd,26.0,26.4,,38.0,417.0,,,68.0,50.0,118.0,66.0,2.0,3.0,61.0,2.0,1.79,1.32,3.11,1.74,3.05
Middlesbrough,37.0,26.5,,38.0,413.0,,,48.0,34.0,82.0,43.0,5.0,5.0,54.0,3.0,1.26,0.89,2.16,1.13,2.03
Newcastle Utd,26.0,26.7,,38.0,414.0,,,45.0,31.0,76.0,40.0,5.0,5.0,64.0,6.0,1.18,0.82,2.0,1.05,1.87
Portsmouth,34.0,26.7,,38.0,419.0,,,36.0,22.0,58.0,34.0,2.0,2.0,55.0,1.0,0.95,0.58,1.53,0.89,1.47
Sunderland,27.0,24.8,,38.0,410.0,,,24.0,15.0,39.0,22.0,2.0,2.0,69.0,4.0,0.63,0.39,1.03,0.58,0.97
Tottenham,25.0,24.9,,38.0,414.0,,,52.0,38.0,90.0,48.0,4.0,6.0,51.0,5.0,1.37,1.0,2.37,1.26,2.26
West Brom,29.0,26.4,,38.0,418.0,,,31.0,18.0,49.0,30.0,1.0,2.0,47.0,2.0,0.82,0.47,1.29,0.79,1.26
West Ham,28.0,26.0,,38.0,415.0,,,48.0,29.0,77.0,45.0,3.0,5.0,50.0,2.0,1.26,0.76,2.03,1.18,1.95
Wigan Athletic,25.0,28.3,,38.0,420.0,,,44.0,30.0,74.0,43.0,1.0,1.0,54.0,4.0,1.16,0.79,1.95,1.13,1.92
