,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,28.0,24.1,,38.0,418.0,,,65.0,48.0,113.0,60.0,5.0,5.0,58.0,3.0,1.71,1.26,2.97,1.58,2.84
Aston Villa,21.0,27.1,,38.0,418.0,,,48.0,35.0,83.0,44.0,4.0,5.0,53.0,2.0,1.26,0.92,2.18,1.16,2.08
Blackburn,28.0,28.3,,38.0,418.0,,,40.0,28.0,68.0,36.0,4.0,7.0,73.0,4.0,1.05,0.74,1.79,0.95,1.68
Bolton,24.0,27.3,,38.0,418.0,,,40.0,28.0,68.0,40.0,0.0,1.0,62.0,1.0,1.05,0.74,1.79,1.05,1.79
Chelsea,29.0,27.5,,38.0,418.0,,,65.0,45.0,110.0,63.0,2.0,2.0,50.0,2.0,1.71,1.18,2.89,1.66,2.84
Everton,25.0,26.4,,38.0,417.0,,,54.0,38.0,92.0,50.0,4.0,5.0,49.0,1.0,1.42,1.0,2.42,1.32,2.32
Fulham,26.0,28.8,,38.0,418.0,,,39.0,24.0,63.0,34.0,5.0,5.0,40.0,1.0,1.03,0.63,1.66,0.89,1.53
Hull City,29.0,27.7,,38.0,418.0,,,35.0,17.0,52.0,32.0,3.0,3.0,70.0,3.0,0.92,0.45,1.37,0.84,1.29
Liverpool,23.0,26.5,,38.0,418.0,,,73.0,50.0,123.0,68.0,5.0,6.0,50.0,0.0,1.92,1.32,3.24,1.79,3.11
Manchester City,34.0,24.5,,38.0,418.0,,,56.0,35.0,91.0,50.0,6.0,7.0,49.0,4.0,1.47,0.92,2.39,1.32,2.24
Manchester Utd,33.0,27.1,,38.0,418.0,,,68.0,51.0,119.0,64.0,4.0,4.0,61.0,5.0,1.79,1.34,3.13,1.68,3.03
Middlesbrough,28.0,24.5,,38.0,418.0,,,26.0,17.0,43.0,25.0,1.0,3.0,54.0,3.0,0.68,0.45,1.13,0.66,1.11
Newcastle Utd,29.0,26.8,,38.0,417.0,,,39.0,23.0,62.0,35.0,4.0,5.0,57.0,8.0,1.03,0.61,1.63,0.92,1.53
Portsmouth,29.0,28.6,,38.0,417.0,,,36.0,25.0,61.0,34.0,2.0,3.0,57.0,5.0,0.95,0.66,1.61,0.89,1.55
Stoke City,29.0,28.5,,38.0,418.0,,,36.0,23.0,59.0,31.0,5.0,6.0,73.0,5.0,0.95,0.61,1.55,0.82,1.42
Sunderland,30.0,26.1,,38.0,418.0,,,32.0,19.0,51.0,31.0,1.0,1.0,69.0,1.0,0.84,0.5,1.34,0.82,1.32
Tottenham,29.0,24.9,,38.0,418.0,,,43.0,30.0,73.0,40.0,3.0,4.0,54.0,5.0,1.13,0.79,1.92,1.05,1.84
West Brom,30.0,25.2,,38.0,418.0,,,34.0,23.0,57.0,31.0,3.0,5.0,66.0,1.0,0.89,0.61,1.5,0.82,1.42
West Ham,30.0,26.6,,38.0,418.0,,,41.0,25.0,66.0,40.0,1.0,3.0,66.0,4.0,1.08,0.66,1.74,1.05,1.71
Wigan Athletic,29.0,26.5,,38.0,418.0,,,33.0,15.0,48.0,28.0,5.0,5.0,59.0,4.0,0.87,0.39,1.26,0.74,1.13
