,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,28.0,27.8,,38.0,418.0,,,84.0,66.0,150.0,79.0,5.0,6.0,47.0,2.0,2.21,1.74,3.95,2.08,3.82
Aston Villa,27.0,26.2,,38.0,418.0,,,42.0,29.0,71.0,39.0,3.0,4.0,58.0,4.0,1.11,0.76,1.87,1.03,1.79
Birmingham City,33.0,27.9,,38.0,418.0,,,40.0,26.0,66.0,36.0,4.0,5.0,66.0,3.0,1.05,0.68,1.74,0.95,1.63
Blackburn,28.0,27.7,,38.0,418.0,,,50.0,38.0,88.0,45.0,5.0,6.0,55.0,4.0,1.32,1.0,2.32,1.18,2.18
Bolton,27.0,29.1,,38.0,418.0,,,38.0,24.0,62.0,37.0,1.0,2.0,54.0,3.0,1.0,0.63,1.63,0.97,1.61
Charlton Ath,26.0,27.0,,38.0,420.0,,,43.0,24.0,67.0,39.0,4.0,5.0,47.0,1.0,1.13,0.63,1.76,1.03,1.66
Chelsea,23.0,27.8,,38.0,416.0,,,67.0,40.0,107.0,64.0,3.0,3.0,54.0,1.0,1.76,1.05,2.82,1.68,2.74
Everton,28.0,27.4,,38.0,392.0,,,48.0,32.0,80.0,44.0,4.0,4.0,39.0,5.0,1.26,0.84,2.11,1.16,2.0
Fulham,27.0,27.3,,38.0,417.0,,,38.0,23.0,61.0,32.0,6.0,7.0,46.0,6.0,1.0,0.61,1.61,0.84,1.45
Leeds United,29.0,25.8,,38.0,401.0,,,54.0,39.0,93.0,50.0,4.0,5.0,62.0,1.0,1.42,1.03,2.45,1.32,2.34
Liverpool,23.0,24.9,,38.0,418.0,,,61.0,49.0,110.0,57.0,4.0,6.0,35.0,1.0,1.61,1.29,2.89,1.5,2.79
Manchester City,26.0,27.8,,38.0,419.0,,,47.0,40.0,87.0,45.0,2.0,2.0,40.0,5.0,1.24,1.05,2.29,1.18,2.24
Manchester Utd,26.0,27.0,,38.0,418.0,,,73.0,56.0,129.0,64.0,9.0,9.0,39.0,1.0,1.92,1.47,3.39,1.68,3.16
Middlesbrough,29.0,26.4,,38.0,418.0,,,48.0,31.0,79.0,46.0,2.0,3.0,43.0,4.0,1.26,0.82,2.08,1.21,2.03
Newcastle Utd,25.0,24.9,,38.0,420.0,,,63.0,42.0,105.0,60.0,3.0,4.0,40.0,2.0,1.66,1.11,2.76,1.58,2.68
Southampton,25.0,27.2,,38.0,417.0,,,42.0,24.0,66.0,36.0,6.0,6.0,33.0,3.0,1.11,0.63,1.74,0.95,1.58
Sunderland,34.0,26.0,,38.0,413.0,,,21.0,16.0,37.0,20.0,1.0,3.0,47.0,0.0,0.55,0.42,0.97,0.53,0.95
Tottenham,25.0,28.1,,38.0,414.0,,,50.0,35.0,85.0,47.0,3.0,3.0,50.0,4.0,1.32,0.92,2.24,1.24,2.16
West Brom,23.0,27.2,,38.0,418.0,,,29.0,11.0,40.0,28.0,1.0,1.0,45.0,4.0,0.76,0.29,1.05,0.74,1.03
West Ham,24.0,27.3,,38.0,422.0,,,41.0,29.0,70.0,37.0,4.0,5.0,49.0,4.0,1.08,0.76,1.84,0.97,1.74
