,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,27.0,24.8,,38.0,418.0,,,70.0,51.0,121.0,66.0,4.0,7.0,65.0,6.0,1.84,1.34,3.18,1.74,3.08
Aston Villa,32.0,27.5,,38.0,418.0,,,45.0,32.0,77.0,41.0,4.0,6.0,70.0,2.0,1.18,0.84,2.03,1.08,1.92
Birmingham City,26.0,28.0,,38.0,418.0,,,37.0,23.0,60.0,35.0,2.0,2.0,56.0,3.0,0.97,0.61,1.58,0.92,1.53
Blackburn,29.0,27.8,,38.0,418.0,,,43.0,28.0,71.0,42.0,1.0,2.0,64.0,5.0,1.13,0.74,1.87,1.11,1.84
Blackpool,30.0,26.8,,38.0,418.0,,,54.0,29.0,83.0,47.0,7.0,8.0,47.0,2.0,1.42,0.76,2.18,1.24,2.0
Bolton,24.0,28.1,,38.0,418.0,,,50.0,34.0,84.0,46.0,4.0,5.0,66.0,5.0,1.32,0.89,2.21,1.21,2.11
Chelsea,24.0,28.2,,38.0,418.0,,,68.0,39.0,107.0,62.0,6.0,8.0,59.0,1.0,1.79,1.03,2.82,1.63,2.66
Everton,24.0,28.1,,38.0,418.0,,,50.0,33.0,83.0,47.0,3.0,4.0,56.0,5.0,1.32,0.87,2.18,1.24,2.11
Fulham,29.0,29.8,,38.0,418.0,,,48.0,32.0,80.0,46.0,2.0,3.0,52.0,1.0,1.26,0.84,2.11,1.21,2.05
Liverpool,30.0,26.9,,38.0,418.0,,,58.0,30.0,88.0,51.0,7.0,8.0,63.0,2.0,1.53,0.79,2.32,1.34,2.13
Manchester City,27.0,25.4,,38.0,418.0,,,56.0,35.0,91.0,48.0,8.0,9.0,71.0,5.0,1.47,0.92,2.39,1.26,2.18
Manchester Utd,29.0,28.3,,38.0,418.0,,,75.0,59.0,134.0,72.0,3.0,5.0,56.0,3.0,1.97,1.55,3.53,1.89,3.45
Newcastle Utd,30.0,26.3,,38.0,418.0,,,55.0,35.0,90.0,50.0,5.0,5.0,78.0,2.0,1.45,0.92,2.37,1.32,2.24
Stoke City,25.0,27.6,,38.0,418.0,,,44.0,28.0,72.0,41.0,3.0,3.0,69.0,2.0,1.16,0.74,1.89,1.08,1.82
Sunderland,31.0,25.0,,38.0,418.0,,,41.0,23.0,64.0,37.0,4.0,5.0,56.0,5.0,1.08,0.61,1.68,0.97,1.58
Tottenham,28.0,26.6,,38.0,418.0,,,54.0,34.0,88.0,49.0,5.0,5.0,50.0,2.0,1.42,0.89,2.32,1.29,2.18
West Brom,28.0,26.7,,38.0,418.0,,,52.0,37.0,89.0,48.0,4.0,6.0,51.0,7.0,1.37,0.97,2.34,1.26,2.24
West Ham,35.0,27.9,,38.0,418.0,,,41.0,21.0,62.0,36.0,5.0,6.0,58.0,1.0,1.08,0.55,1.63,0.95,1.5
Wigan Athletic,25.0,25.8,,38.0,418.0,,,37.0,20.0,57.0,35.0,2.0,3.0,67.0,4.0,0.97,0.53,1.5,0.92,1.45
Wolves,30.0,25.8,,38.0,418.0,,,45.0,29.0,74.0,42.0,3.0,3.0,62.0,2.0,1.18,0.76,1.95,1.11,1.87
