,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Arsenal,29.0,25.8,53.8,38.0,418.0,3420.0,38.0,56.0,35.0,91.0,53.0,3.0,3.0,88.0,5.0,47.0,44.6,31.4,76.1,815.0,1641.0,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2.0
Aston Villa,28.0,25.7,44.1,38.0,418.0,3420.0,38.0,40.0,32.0,72.0,39.0,1.0,3.0,70.0,1.0,44.3,41.8,34.2,76.0,639.0,1247.0,1.05,0.84,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2.0
Bournemouth,27.0,25.2,44.1,38.0,418.0,3420.0,38.0,38.0,24.0,62.0,34.0,4.0,4.0,78.0,3.0,44.8,41.7,30.6,72.3,601.0,1256.0,1.0,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9
Brighton,25.0,26.4,52.2,38.0,418.0,3420.0,38.0,35.0,24.0,59.0,34.0,1.0,2.0,59.0,2.0,45.4,43.8,31.6,75.4,669.0,1675.0,0.92,0.63,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99
Burnley,22.0,28.0,41.9,38.0,418.0,3420.0,38.0,41.0,30.0,71.0,38.0,3.0,3.0,67.0,0.0,47.4,45.3,32.4,77.7,437.0,890.0,1.08,0.79,1.87,1.0,1.79,1.25,0.85,2.1,1.19,2.04
Chelsea,27.0,25.5,60.4,38.0,418.0,3420.0,38.0,69.0,46.0,115.0,62.0,7.0,7.0,60.0,0.0,69.2,64.4,46.7,111.1,983.0,1897.0,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92
Crystal Palace,25.0,29.4,44.8,38.0,418.0,3420.0,38.0,29.0,20.0,49.0,26.0,3.0,3.0,62.0,2.0,35.8,33.6,26.0,59.5,596.0,1223.0,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57
Everton,24.0,25.5,49.0,38.0,418.0,3420.0,38.0,42.0,32.0,74.0,41.0,1.0,1.0,76.0,3.0,50.8,50.0,38.1,88.1,623.0,1430.0,1.11,0.84,1.95,1.08,1.92,1.34,1.0,2.34,1.32,2.32
Leicester City,24.0,26.1,57.1,38.0,418.0,3420.0,38.0,65.0,48.0,113.0,60.0,5.0,7.0,43.0,3.0,62.2,56.7,44.9,101.6,739.0,1612.0,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67
Liverpool,24.0,26.6,62.9,38.0,418.0,3420.0,38.0,83.0,69.0,152.0,78.0,5.0,5.0,38.0,1.0,68.9,65.0,53.0,118.0,967.0,1941.0,2.18,1.82,4.0,2.05,3.87,1.81,1.39,3.21,1.71,3.1
