,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,30.0,27.7,,42.0,471.0,,,54.0,41.0,95.0,51.0,3.0,4.0,60.0,4.0,1.29,0.98,2.26,1.21,2.19
Aston Villa,24.0,27.4,,42.0,423.0,,,48.0,39.0,87.0,47.0,1.0,1.0,59.0,3.0,1.14,0.93,2.07,1.12,2.05
Blackburn,21.0,25.5,,42.0,482.0,,,78.0,58.0,136.0,68.0,10.0,12.0,50.0,4.0,1.86,1.38,3.24,1.62,3.0
Chelsea,23.0,26.4,,42.0,456.0,,,47.0,39.0,86.0,46.0,1.0,2.0,56.0,3.0,1.12,0.93,2.05,1.1,2.02
Coventry City,28.0,27.8,,42.0,500.0,,,42.0,36.0,78.0,37.0,5.0,5.0,52.0,3.0,1.0,0.86,1.86,0.88,1.74
Crystal Palace,24.0,25.5,,42.0,436.0,,,33.0,22.0,55.0,32.0,1.0,3.0,56.0,1.0,0.79,0.52,1.31,0.76,1.29
Everton,26.0,27.0,,42.0,466.0,,,43.0,39.0,82.0,42.0,1.0,3.0,70.0,6.0,1.02,0.93,1.95,1.0,1.93
Ipswich Town,32.0,28.1,,42.0,405.0,,,27.0,21.0,48.0,24.0,3.0,3.0,51.0,2.0,0.64,0.5,1.14,0.57,1.07
Leeds United,20.0,26.8,,42.0,458.0,,,56.0,46.0,102.0,53.0,3.0,4.0,70.0,0.0,1.33,1.1,2.43,1.26,2.36
Leicester City,30.0,26.2,,42.0,467.0,,,46.0,27.0,73.0,46.0,0.0,1.0,62.0,8.0,1.1,0.64,1.74,1.1,1.74
Liverpool,21.0,25.4,,42.0,463.0,,,60.0,46.0,106.0,55.0,5.0,6.0,43.0,1.0,1.43,1.1,2.52,1.31,2.4
Manchester City,26.0,26.8,,42.0,459.0,,,53.0,46.0,99.0,52.0,1.0,2.0,62.0,5.0,1.26,1.1,2.36,1.24,2.33
Manchester Utd,24.0,26.8,,42.0,460.0,,,76.0,58.0,134.0,72.0,4.0,4.0,59.0,3.0,1.81,1.38,3.19,1.71,3.1
Newcastle Utd,22.0,26.4,,42.0,463.0,,,66.0,54.0,120.0,62.0,4.0,5.0,48.0,4.0,1.57,1.29,2.86,1.48,2.76
Norwich City,24.0,25.8,,42.0,445.0,,,31.0,27.0,58.0,29.0,2.0,3.0,68.0,1.0,0.74,0.64,1.38,0.69,1.33
Nott'ham Forest,20.0,25.7,,42.0,462.0,,,71.0,68.0,139.0,66.0,5.0,6.0,58.0,1.0,1.69,1.62,3.31,1.57,3.19
QPR,22.0,26.8,,42.0,461.0,,,60.0,47.0,107.0,60.0,0.0,1.0,70.0,4.0,1.43,1.12,2.55,1.43,2.55
Sheffield Weds,24.0,26.8,,42.0,463.0,,,48.0,34.0,82.0,47.0,1.0,2.0,54.0,2.0,1.14,0.81,1.95,1.12,1.93
Southampton,26.0,25.6,,42.0,441.0,,,61.0,36.0,97.0,58.0,3.0,3.0,70.0,0.0,1.45,0.86,2.31,1.38,2.24
Tottenham,24.0,26.0,,42.0,458.0,,,62.0,49.0,111.0,60.0,2.0,3.0,46.0,2.0,1.48,1.17,2.64,1.43,2.6
West Ham,26.0,28.0,,42.0,461.0,,,44.0,32.0,76.0,39.0,5.0,5.0,66.0,4.0,1.05,0.76,1.81,0.93,1.69
Wimbledon,25.0,26.7,,42.0,414.0,,,40.0,34.0,74.0,37.0,3.0,4.0,70.0,6.0,0.95,0.81,1.76,0.88,1.69
