,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Arsenal,29.0,25.9,53.5,38.0,418.0,3420.0,38.0,53.0,38.0,91.0,47.0,6.0,6.0,49.0,5.0,51.8,47.0,35.1,82.1,758.0,1760.0,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16
Aston Villa,24.0,25.2,48.5,38.0,418.0,3420.0,38.0,52.0,38.0,90.0,47.0,5.0,6.0,71.0,4.0,52.5,47.9,37.4,85.3,629.0,1420.0,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25
Brighton,27.0,25.8,51.1,38.0,418.0,3420.0,38.0,39.0,24.0,63.0,33.0,6.0,9.0,49.0,6.0,50.9,43.8,33.2,77.0,685.0,1516.0,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03
Burnley,25.0,28.3,42.1,38.0,418.0,3420.0,38.0,32.0,20.0,52.0,29.0,3.0,3.0,48.0,0.0,39.3,36.9,27.7,64.6,389.0,1012.0,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7
Chelsea,27.0,26.0,60.9,38.0,418.0,3420.0,38.0,56.0,38.0,94.0,48.0,8.0,10.0,51.0,3.0,62.4,54.5,41.5,96.1,895.0,1798.0,1.47,1.0,2.47,1.26,2.26,1.64,1.09,2.74,1.44,2.53
Crystal Palace,24.0,29.1,40.6,38.0,418.0,3420.0,38.0,39.0,29.0,68.0,36.0,3.0,4.0,56.0,2.0,34.1,31.0,23.6,54.6,526.0,1132.0,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44
Everton,29.0,26.3,46.4,38.0,418.0,3420.0,38.0,45.0,32.0,77.0,41.0,4.0,5.0,59.0,2.0,45.7,41.9,30.7,72.6,604.0,1184.0,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91
Fulham,28.0,25.2,49.7,38.0,418.0,3420.0,38.0,26.0,18.0,44.0,23.0,3.0,6.0,67.0,3.0,40.5,35.9,26.3,62.2,727.0,1354.0,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64
Leeds United,23.0,26.1,57.3,38.0,418.0,3420.0,38.0,60.0,45.0,105.0,56.0,4.0,4.0,61.0,1.0,55.6,52.5,41.9,94.3,811.0,1633.0,1.58,1.18,2.76,1.47,2.66,1.46,1.1,2.57,1.38,2.48
Leicester City,27.0,26.5,54.3,38.0,418.0,3420.0,38.0,64.0,45.0,109.0,54.0,10.0,12.0,61.0,0.0,55.8,46.3,33.7,80.1,666.0,1464.0,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11
Liverpool,28.0,26.8,62.1,38.0,418.0,3420.0,38.0,65.0,43.0,108.0,59.0,6.0,6.0,40.0,0.0,67.5,62.9,48.3,111.2,886.0,2057.0,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.66,2.93
Manchester City,24.0,26.1,63.5,38.0,418.0,3420.0,38.0,82.0,55.0,137.0,77.0,5.0,9.0,46.0,2.0,68.2,61.2,45.4,106.6,1096.0,2051.0,2.16,1.45,3.61,2.03,3.47,1.8,1.19,2.99,1.61,2.81
Manchester Utd,29.0,25.6,55.7,38.0,418.0,3420.0,38.0,70.0,51.0,121.0,60.0,10.0,11.0,64.0,1.0,60.1,51.4,41.6,93.1,877.0,1832.0,1.84,1.34,3.18,1.58,2.92,1.58,1.1,2.68,1.35,2.45
Newcastle Utd,27.0,27.1,38.8,38.0,418.0,3420.0,38.0,44.0,26.0,70.0,38.0,6.0,7.0,65.0,3.0,43.4,37.8,29.0,66.8,467.0,903.0,1.16,0.68,1.84,1.0,1.68,1.14,0.76,1.91,1.0,1.76
