,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,30.0,25.3,,38.0,418.0,,,79.0,53.0,132.0,76.0,3.0,4.0,56.0,1.0,2.08,1.39,3.47,2.0,3.39
Aston Villa,23.0,27.9,,38.0,418.0,,,48.0,34.0,82.0,43.0,5.0,8.0,58.0,2.0,1.26,0.89,2.16,1.13,2.03
Birmingham City,25.0,26.8,,38.0,418.0,,,36.0,22.0,58.0,34.0,2.0,4.0,73.0,1.0,0.95,0.58,1.53,0.89,1.47
Blackburn,28.0,27.3,,38.0,417.0,,,38.0,22.0,60.0,35.0,3.0,3.0,57.0,2.0,1.0,0.58,1.58,0.92,1.5
Bolton,25.0,27.4,,38.0,418.0,,,42.0,24.0,66.0,38.0,4.0,4.0,72.0,5.0,1.11,0.63,1.74,1.0,1.63
Burnley,27.0,27.9,,38.0,418.0,,,42.0,25.0,67.0,36.0,6.0,6.0,55.0,2.0,1.11,0.66,1.76,0.95,1.61
Chelsea,30.0,28.7,,38.0,418.0,,,99.0,64.0,163.0,88.0,11.0,12.0,54.0,5.0,2.61,1.68,4.29,2.32,4.0
Everton,28.0,27.4,,38.0,418.0,,,56.0,33.0,89.0,51.0,5.0,6.0,57.0,2.0,1.47,0.87,2.34,1.34,2.21
Fulham,29.0,29.2,,38.0,418.0,,,38.0,21.0,59.0,34.0,4.0,4.0,46.0,1.0,1.0,0.55,1.55,0.89,1.45
Hull City,30.0,27.7,,38.0,418.0,,,33.0,16.0,49.0,27.0,6.0,8.0,63.0,6.0,0.87,0.42,1.29,0.71,1.13
Liverpool,30.0,26.3,,38.0,418.0,,,58.0,37.0,95.0,55.0,3.0,3.0,55.0,5.0,1.53,0.97,2.5,1.45,2.42
Manchester City,31.0,27.0,,38.0,418.0,,,73.0,48.0,121.0,68.0,5.0,5.0,49.0,2.0,1.92,1.26,3.18,1.79,3.05
Manchester Utd,30.0,27.8,,38.0,418.0,,,74.0,48.0,122.0,68.0,6.0,8.0,48.0,4.0,1.95,1.26,3.21,1.79,3.05
Portsmouth,33.0,28.2,,38.0,418.0,,,34.0,19.0,53.0,31.0,3.0,6.0,68.0,5.0,0.89,0.5,1.39,0.82,1.32
Stoke City,23.0,28.5,,38.0,418.0,,,32.0,23.0,55.0,30.0,2.0,2.0,62.0,5.0,0.84,0.61,1.45,0.79,1.39
Sunderland,28.0,25.4,,38.0,418.0,,,45.0,28.0,73.0,39.0,6.0,9.0,78.0,9.0,1.18,0.74,1.92,1.03,1.76
Tottenham,30.0,25.4,,38.0,418.0,,,66.0,45.0,111.0,64.0,2.0,3.0,57.0,1.0,1.74,1.18,2.92,1.68,2.87
West Ham,30.0,26.0,,38.0,418.0,,,46.0,27.0,73.0,39.0,7.0,9.0,63.0,3.0,1.21,0.71,1.92,1.03,1.74
Wigan Athletic,27.0,26.3,,38.0,418.0,,,36.0,21.0,57.0,35.0,1.0,2.0,63.0,3.0,0.95,0.55,1.5,0.92,1.47
Wolves,29.0,25.9,,38.0,418.0,,,28.0,15.0,43.0,26.0,2.0,2.0,61.0,4.0,0.74,0.39,1.13,0.68,1.08
