,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,25.0,25.1,,38.0,417.0,,,60.0,48.0,108.0,50.0,10.0,11.0,51.0,3.0,1.58,1.26,2.84,1.32,2.58
Aston Villa,30.0,25.5,,38.0,436.0,,,45.0,31.0,76.0,39.0,6.0,8.0,47.0,1.0,1.18,0.82,2.0,1.03,1.84
Blackburn,28.0,28.2,,38.0,399.0,,,49.0,33.0,82.0,44.0,5.0,7.0,81.0,8.0,1.29,0.87,2.16,1.16,2.03
Bolton,23.0,28.2,,38.0,423.0,,,45.0,35.0,80.0,39.0,6.0,7.0,84.0,4.0,1.18,0.92,2.11,1.03,1.95
Charlton Ath,29.0,27.1,,38.0,429.0,,,32.0,22.0,54.0,28.0,4.0,4.0,60.0,4.0,0.84,0.58,1.42,0.74,1.32
Chelsea,26.0,26.7,,38.0,418.0,,,58.0,49.0,107.0,55.0,3.0,4.0,65.0,4.0,1.53,1.29,2.82,1.45,2.74
Everton,25.0,26.9,,38.0,411.0,,,50.0,35.0,85.0,42.0,8.0,8.0,70.0,2.0,1.32,0.92,2.24,1.11,2.03
Fulham,24.0,28.2,,38.0,424.0,,,36.0,27.0,63.0,33.0,3.0,3.0,60.0,3.0,0.95,0.71,1.66,0.87,1.58
Liverpool,28.0,26.1,,38.0,419.0,,,56.0,44.0,100.0,50.0,6.0,7.0,43.0,0.0,1.47,1.16,2.63,1.32,2.47
Manchester City,28.0,26.0,,38.0,394.0,,,28.0,21.0,49.0,26.0,2.0,4.0,58.0,4.0,0.74,0.55,1.29,0.68,1.24
Manchester Utd,25.0,27.3,,38.0,418.0,,,80.0,60.0,140.0,75.0,5.0,6.0,58.0,1.0,2.11,1.58,3.68,1.97,3.55
Middlesbrough,27.0,25.4,,38.0,418.0,,,43.0,33.0,76.0,39.0,4.0,5.0,65.0,2.0,1.13,0.87,2.0,1.03,1.89
Newcastle Utd,29.0,26.1,,38.0,418.0,,,38.0,26.0,64.0,33.0,5.0,5.0,69.0,1.0,1.0,0.68,1.68,0.87,1.55
Portsmouth,22.0,28.4,,38.0,405.0,,,40.0,31.0,71.0,38.0,2.0,3.0,51.0,1.0,1.05,0.82,1.87,1.0,1.82
Reading,23.0,26.9,,38.0,418.0,,,48.0,38.0,86.0,45.0,3.0,3.0,41.0,3.0,1.26,1.0,2.26,1.18,2.18
Sheffield Utd,32.0,26.0,,38.0,408.0,,,31.0,21.0,52.0,29.0,2.0,4.0,71.0,2.0,0.82,0.55,1.37,0.76,1.32
Tottenham,26.0,25.1,,38.0,418.0,,,56.0,37.0,93.0,51.0,5.0,5.0,51.0,4.0,1.47,0.97,2.45,1.34,2.32
Watford,32.0,25.2,,38.0,390.0,,,24.0,18.0,42.0,21.0,3.0,3.0,48.0,2.0,0.63,0.47,1.11,0.55,1.03
West Ham,29.0,25.6,,38.0,442.0,,,35.0,26.0,61.0,34.0,1.0,3.0,86.0,2.0,0.92,0.68,1.61,0.89,1.58
Wigan Athletic,29.0,27.7,,38.0,415.0,,,37.0,24.0,61.0,34.0,3.0,6.0,81.0,3.0,0.97,0.63,1.61,0.89,1.53
