,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,29.0,26.9,58.9,38.0,418.0,3420.0,38.0,73.0,55.0,128.0,69.0,4.0,6.0,0.0,0.0,1.92,1.45,3.37,1.82,3.26
Bournemouth,27.0,27.0,51.5,38.0,418.0,3420.0,38.0,53.0,33.0,86.0,46.0,7.0,10.0,0.0,2.0,1.39,0.87,2.26,1.21,2.08
Burnley,27.0,27.7,40.3,38.0,418.0,3420.0,38.0,39.0,24.0,63.0,33.0,6.0,6.0,0.0,1.0,1.03,0.63,1.66,0.87,1.5
Chelsea,24.0,27.2,55.1,38.0,418.0,3420.0,38.0,83.0,53.0,136.0,81.0,2.0,4.0,0.0,0.0,2.18,1.39,3.58,2.13,3.53
Crystal Palace,31.0,27.7,45.4,38.0,418.0,3420.0,38.0,48.0,32.0,80.0,44.0,4.0,7.0,0.0,0.0,1.26,0.84,2.11,1.16,2.0
Everton,27.0,27.5,52.1,38.0,418.0,3420.0,38.0,58.0,45.0,103.0,55.0,3.0,4.0,0.0,1.0,1.53,1.18,2.71,1.45,2.63
Hull City,28.0,27.4,45.9,38.0,418.0,3420.0,38.0,36.0,24.0,60.0,33.0,3.0,3.0,0.0,0.0,0.95,0.63,1.58,0.87,1.5
Leicester City,25.0,27.8,41.9,38.0,418.0,3420.0,38.0,46.0,32.0,78.0,42.0,4.0,6.0,0.0,0.0,1.21,0.84,2.05,1.11,1.95
Liverpool,23.0,26.1,62.0,38.0,418.0,3420.0,38.0,77.0,52.0,129.0,70.0,7.0,8.0,0.0,0.0,2.03,1.37,3.39,1.84,3.21
Manchester City,25.0,28.5,65.0,38.0,418.0,3420.0,38.0,75.0,54.0,129.0,68.0,7.0,9.0,0.0,0.0,1.97,1.42,3.39,1.79,3.21
Manchester Utd,31.0,26.7,56.5,38.0,418.0,3420.0,38.0,54.0,37.0,91.0,51.0,3.0,4.0,0.0,1.0,1.42,0.97,2.39,1.34,2.32
Middlesbrough,27.0,27.3,47.3,38.0,418.0,3420.0,38.0,26.0,22.0,48.0,24.0,2.0,2.0,0.0,1.0,0.68,0.58,1.26,0.63,1.21
Southampton,26.0,26.0,54.4,38.0,418.0,3420.0,38.0,39.0,27.0,66.0,36.0,3.0,6.0,0.0,1.0,1.03,0.71,1.74,0.95,1.66
Stoke City,26.0,28.7,46.3,38.0,418.0,3420.0,38.0,37.0,24.0,61.0,33.0,4.0,6.0,0.0,1.0,0.97,0.63,1.61,0.87,1.5
Sunderland,31.0,26.8,39.7,38.0,418.0,3420.0,38.0,28.0,11.0,39.0,23.0,5.0,5.0,0.0,3.0,0.74,0.29,1.03,0.61,0.89
Swansea City,27.0,27.4,47.9,38.0,418.0,3420.0,38.0,45.0,31.0,76.0,42.0,3.0,3.0,0.0,0.0,1.18,0.82,2.0,1.11,1.92
Tottenham,24.0,25.3,60.5,38.0,418.0,3420.0,38.0,84.0,59.0,143.0,77.0,7.0,9.0,0.0,0.0,2.21,1.55,3.76,2.03,3.58
Watford,33.0,29.0,46.1,38.0,418.0,3420.0,38.0,39.0,27.0,66.0,36.0,3.0,3.0,0.0,3.0,1.03,0.71,1.74,0.95,1.66
West Brom,23.0,29.4,37.3,38.0,418.0,3420.0,38.0,43.0,33.0,76.0,42.0,1.0,1.0,0.0,0.0,1.13,0.87,2.0,1.11,1.97
West Ham,29.0,27.1,47.1,38.0,418.0,3420.0,38.0,46.0,28.0,74.0,43.0,3.0,4.0,0.0,4.0,1.21,0.74,1.95,1.13,1.87
