,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,25.0,26.2,,38.0,417.0,,,86.0,68.0,154.0,83.0,3.0,4.0,46.0,1.0,2.26,1.79,4.05,2.18,3.97
Aston Villa,22.0,25.7,,38.0,421.0,,,43.0,34.0,77.0,40.0,3.0,6.0,55.0,2.0,1.13,0.89,2.03,1.05,1.95
Birmingham City,26.0,27.9,,38.0,417.0,,,37.0,24.0,61.0,35.0,2.0,2.0,62.0,3.0,0.97,0.63,1.61,0.92,1.55
Blackburn,31.0,27.8,,38.0,414.0,,,31.0,24.0,55.0,29.0,2.0,3.0,73.0,5.0,0.82,0.63,1.45,0.76,1.39
Bolton,25.0,28.6,,38.0,418.0,,,49.0,33.0,82.0,44.0,5.0,6.0,58.0,2.0,1.29,0.87,2.16,1.16,2.03
Charlton Ath,21.0,28.0,,38.0,414.0,,,41.0,28.0,69.0,41.0,0.0,0.0,38.0,4.0,1.08,0.74,1.82,1.08,1.82
Chelsea,30.0,25.2,,38.0,422.0,,,71.0,58.0,129.0,66.0,5.0,6.0,49.0,0.0,1.87,1.53,3.39,1.74,3.26
Crystal Palace,27.0,25.7,,38.0,418.0,,,43.0,26.0,69.0,33.0,10.0,12.0,58.0,3.0,1.13,0.68,1.82,0.87,1.55
Everton,22.0,28.5,,38.0,414.0,,,45.0,34.0,79.0,43.0,2.0,3.0,56.0,4.0,1.18,0.89,2.08,1.13,2.03
Fulham,24.0,27.7,,38.0,418.0,,,52.0,39.0,91.0,50.0,2.0,4.0,56.0,7.0,1.37,1.03,2.39,1.32,2.34
Liverpool,28.0,26.2,,38.0,414.0,,,49.0,42.0,91.0,46.0,3.0,5.0,46.0,2.0,1.29,1.11,2.39,1.21,2.32
Manchester City,25.0,27.3,,38.0,418.0,,,45.0,33.0,78.0,40.0,5.0,6.0,44.0,3.0,1.18,0.87,2.05,1.05,1.92
Manchester Utd,24.0,26.1,,38.0,416.0,,,57.0,45.0,102.0,54.0,3.0,4.0,56.0,5.0,1.5,1.18,2.68,1.42,2.61
Middlesbrough,27.0,28.4,,38.0,418.0,,,49.0,39.0,88.0,48.0,1.0,1.0,54.0,2.0,1.29,1.03,2.32,1.26,2.29
Newcastle Utd,27.0,25.9,,38.0,435.0,,,44.0,32.0,76.0,41.0,3.0,3.0,63.0,5.0,1.16,0.84,2.0,1.08,1.92
Norwich City,25.0,27.6,,38.0,422.0,,,41.0,29.0,70.0,38.0,3.0,4.0,36.0,2.0,1.08,0.76,1.84,1.0,1.76
Portsmouth,26.0,27.6,,38.0,386.0,,,41.0,30.0,71.0,35.0,6.0,6.0,52.0,2.0,1.08,0.79,1.87,0.92,1.71
Southampton,35.0,28.4,,38.0,415.0,,,44.0,30.0,74.0,41.0,3.0,3.0,45.0,2.0,1.16,0.79,1.95,1.08,1.87
Tottenham,28.0,24.7,,38.0,412.0,,,47.0,32.0,79.0,46.0,1.0,1.0,55.0,1.0,1.24,0.84,2.08,1.21,2.05
West Brom,27.0,27.1,,38.0,422.0,,,34.0,25.0,59.0,32.0,2.0,3.0,41.0,5.0,0.89,0.66,1.55,0.84,1.5
