,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
10,DJkzLsoMx74,Daily Mail,Top 10 SCARIEST ghost encounters!,2019-02-23T12:00:01Z,24,"We've searched far and wide, in the spookiest corners of the internet to bring you the ULTIMATE TOP 10 SCARIEST GHOST ENCOUNTERS! 

Don't forget to hit the like button, smash subscribe and drop a spicy comment below to let us know, which video was your favorite! 

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: http://snapchat.com/discover/Daily-Ma...
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
 
Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",8609386,63101,,2312,PT4M57S
11,HlGSzn7TZKw,Daily Mail,Fun Royal Family facts you probably don’t know about | Part 2 | #Shorts,2021-09-10T15:38:25Z,24,"#Royals #QueenElizabeth #Royalsfacts #RoyalFamily #RoyalFamilyfacts #Shorts

Fascinating Royal Family trivia never ends and in Part 2 of Royals facts you probably don't know about you'll learn all about Queen Elizabeth's travel arrangements and just how much toothpaste Prince Charles likes on his toothbrush in the morning. 

Part 1: https://www.youtube.com/watch?v=xnwsyAhDGKE

Tell us what you think in the comments!",7731435,388132,,1866,PT58S
12,FDOuvwP7j6Q,Daily Mail,Stomach-churning moment enormous pimple popped,2018-07-30T12:05:52Z,24,"WARNING: GRAPHIC CONTENT Dermatologist Phan Ho Hoa My, from Bac Lieu, Vietnam, gently pop the pimple, which was lying next to the unnamed patient's ear, only for it to rush out in a steady stream, with the doctor squealing in disgust. The procedure then carried on for more than a minute, with the medic being forced to use a needle to burst the blemish, causing a mixture of pus and blood to rush out.

Original Article: http://www.dailymail.co.uk/health/article-6006511/Stomach-churning-footage-shows-pus-firing-patients-bulbous-spot.html
Original Video: http://www.dailymail.co.uk/video/health/video-1735846/Video-Stomach-churning-moment-enormous-zit-popped.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",7348786,15391,,808,PT1M29S
13,G38ZC8nh_wk,Daily Mail,Royal family seen gathered in 1984 for Prince Harry's christening,2018-05-22T11:28:52Z,22,"It was the historic room that set the backdrop for the official wedding photographs of Prince Harry and Meghan after their stunning wedding ceremony on Saturday. But it was not the first time Windsor Castle's Green Drawing Room has played a part in history. The grand reception room - one of three in the sprawling estate - was painstakingly renovated back to its former glory after a devastating fire in 1992. Adorable footage obtained by MailOnline shows the Royal family celebrating Prince Harry's christening in the room, back in 1984. In the film, the Queen Mother cradles baby Harry while Prince William runs rings around other members of the family in a playful display until he is scooped up by his father Prince Charles.

Original Article: http://www.dailymail.co.uk/news/article-5756881/The-history-Windsor-Castles-iconic-Green-Drawing-Room.html
Original Video: http://www.dailymail.co.uk/video/news/video-1693786/Video-Royal-family-seen-gathered-1984-Prince-Harrys-christening.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",6283080,32595,,1274,PT1M52S
14,_2DhevsoFUI,Daily Mail,Body paint trick: Can people tell this woman is almost nude from the waist up?,2017-01-24T11:01:31Z,24,"Can you tell this woman almost naked from the waist up? A brave model walked down a busy high street in body paint to see if anyone would notice she was topless. Body paint artist Sarah Ashleigh spent two hours painting the fake top on Kelly Klein for the MailOnline experiment. The partially naked woman was then sent for a stroll down London's Kensington High Street to see how passers-by would react to her unusual outfit. Kelly's attire - or lack of - attracted far more attention than the spray-on jeans she sported for a similar test last month.

Read more: http://www.dailymail.co.uk/femail/article-4150084/Model-struts-high-street-spray-painted-top.html#ixzz4Wfvibmne 

Follow us: @MailOnline on Twitter | DailyMail on Facebook",5702007,8196,,538,PT1M54S
15,xnwsyAhDGKE,Daily Mail,Crazy facts you probably didn’t know about the Royal Family #Shorts | Part 1,2021-07-22T17:40:15Z,24,"#Royals #QueenElizabeth #Royalsfacts #RoyalFamily #RoyalFamilyfacts

Being a Royal isn't easy. Not only are you in the public spotlight, but there's a wealth of traditions and rules to follow - some of which date back centuries. From the do's and don'ts of meeting the Royal Family, to the privileges only the Queen enjoys - and  Prince Charles' fastidious morning routine, here are 20 things you might not know about the British Royals.",5414646,298245,,1439,PT59S
16,9Kkns8RCs-w,Daily Mail,Missing Titanic submarine: Five things that may have gone wrong,2023-06-21T17:10:46Z,25,"*UPDATE: Since this video was published, the US Coastguard announced debris from the submarine has been found near the wreck of the Titanic. Experts believe it suffered a catastophic implosion.*

Missing Titanic submarine: Five things that may have gone wrong. It is another mystery of the deep.
 
As hopes fade for the five wealthy Titanic tourists who vanished while exploring the wreck aboard a mini submarine – one question keeps being asked.
 
What happened?
 
It is possible that no one will ever know after the sub, called Titan, suddenly went silent hundreds of miles off the coast of Canada and around 13,000ft underwater beside the Titanic.
 
On board were five men including a British billionaire, one of Pakistan’s richest men and his son, a famed French explorer, and the CEO of the company running the dive.
 
But submarine experts agree that five possible accidents are the most likely cause.

#titanic #titanicsub #titanicsubmarine #oceangate #newfoundland #titan


Daily Mail Website: https://www.dailymail.co.uk
Daily Mail Facebook: https://facebook.com/dailymail
Daily Mail IG: https://instagram.com/dailymail
Daily Mail Snap: https://snapchat.com/discover/Daily-Ma...
Daily Mail Twitter: https://twitter.com/MailOnline

Daily Mail Pinterest: https://pinterest.co.uk/dailymail
 
Get the free Daily Mail mobile app: https://dailymail.co.uk/mobile",5182001,48445,,11560,PT8M11S
17,IsfhugQh4Oc,Daily Mail,Gross moment a 25-year-old cyst is popped and oozes pus,2018-08-10T15:06:55Z,22,"In the gruesome two minute-long clip, an endless stream of pus poured out of the huge lump on Dave Andrew's back. Mr Andrew, from Bristol, denied he was in much pain.

Original Article: http://www.dailymail.co.uk/health/article-6047637/Endless-stream-cottage-cheese-like-pus-pours-abscess.html
Original Video: http://www.dailymail.co.uk/video/news/video-1742786/Video-Gross-moment-25-year-old-cyst-popped-oozes-pus.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",5163957,13856,,1435,PT1M59S
18,2Ro2FH2MSA0,Daily Mail,Suge Knight gives a 'death stare' after 28 year prison sentence,2018-10-08T14:33:16Z,24,"The fallen rap mogul was formally sentenced Thursday in Los Angeles after having pleaded no contest to voluntary manslaughter last month. Knight killed Terry Carter and injured Cle 'Bone' Sloan when he rammed into them with his Ford pickup outside a burger drive-thru in south Los Angeles in January 2015 after an argument on the set of a commercial for the film Straight Outta Compton turned violent. Carter's family delivered victim impact statements in court Thursday before Knight was sentenced.

Original Article: http://www.dailymail.co.uk/news/article-6241175/Suge-Knight-sentenced-28-years-killing-man-truck-filming-Straight-Outta-Compton.html
Original Video: http://www.dailymail.co.uk/video/news/video-1776176/Video-Suge-Knight-sentence-28-years-prison.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",4707819,31964,,7738,PT2M39S
19,DgbN6uc2JaY,Daily Mail,Prince George is very happy with his sticker on trip to Fairford - Daily Mail,2018-03-09T15:42:23Z,26,"Prince George stole the show in as he joined his parents at RAF Fairford in Gloucestershire for the Royal International Air Tattoo. However shortly after his arrival, the youngster could be seen in tears as he clutched his mother's hand. This year's air show includes special celebrations to mark the 75th anniversary of the RAF Air Cadets. William and Kate, who took over as Honorary Air Commandant of the Air Cadets in December, will meet members of the organisation at the show.

Original Article: http://www.dailymail.co.uk/femail/article-3679511/Prince-George-accompanies-Duke-Duchess-Cambridge-Royal-International-Air-Tattoo.html
Original Video: http://www.dailymail.co.uk/video/femail/video-1306643/Prince-George-happy-sticker-trip-Fairford.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail/posts

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",4462498,17817,,552,PT2M7S
