,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Jimu Wuqian Nian: Jimu Chunqiu 2nd Season,57,Finished Airing,Unknown,Kids,Unknown,TV,0,#21987,#17001,N/A,65,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2019,13 min. per ep.,?,"None found, add some"
1,Jimu Xiao Zhandui,50,Finished Airing,Unknown,Kids,"Fantasy,",TV,0,#24469,#17002,N/A,37,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2012 to ?,20 min. per ep.,?,"None found, add some"
2,Jimu Zhi Dou Lei Ren Shu,52,Finished Airing,Anthropomorphic,Kids,"Fantasy,",TV,0,#23912,#17003,N/A,41,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2011 to ?,12 min. per ep.,?,"None found, add some"
3,Jin Erhuan He Yin Chutou,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21371,#17004,N/A,76,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1956,30 min.,Unknown,Shanghai Animation Film Studio
4,Jin Huli He Fen Fenghuang,30,Finished Airing,Unknown,Kids,Unknown,TV,0,#21474,#17005,N/A,74,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2010 to ?,5 min. per ep.,?,"None found, add some"
5,Jin Ken Mamoru-kun to Ayumi-chan Sekai wo Shiawase ni,1,Finished Airing,Unknown,Kids,"Fantasy,",OVA,0,#19429,#17006,N/A,175,"Character designs by Takashi Yanase, creator of Anpanman, this official Ministry of Justice commissioned anime teachers children about how to peruse happiness for themselves and others through truth.",2005,15 min.,Unknown,"None found, add some"
6,Jin Luohao,52,Finished Airing,Unknown,Kids,"Fantasy,",TV,0,#24271,#17007,N/A,39,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2012 to ?,15 min. per ep.,?,"None found, add some"
7,Jin Mu Shui Huo Tu,40,Finished Airing,Unknown,Kids,Unknown,TV,0,#21172,#17008,N/A,81,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2014 to ?,15 min. per ep.,?,"None found, add some"
8,Jin Pingguo,60,Finished Airing,Unknown,Kids,Unknown,TV,0,#24060,#17009,N/A,40,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2011 to ?,8 min. per ep.,?,"None found, add some"
9,Jin Se De Da Yan,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21641,#17010,N/A,71,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1976,43 min.,Unknown,Shanghai Animation Film Studio
10,Jin Se De Hai Luo,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21451,#17011,N/A,75,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1963,36 min.,Unknown,Shanghai Animation Film Studio
11,Jin Tong Wang Shijie,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#24328,#17012,N/A,38,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2012 to ?,15 min. per ep.,?,"None found, add some"
12,Jinbi Guo Youji,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21898,#17013,N/A,67,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1988,19 min.,Unknown,Shanghai Animation Film Studio
