,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Mamimume★Mogacho,13,Finished Airing,Unknown,Kids,Unknown,TV,1,#15413,#18001,N/A,458,"The wild Mogacho creates havoc on Puri Puri Island. It's a fun-filled show about his adventures with his delightful friends.

(Source: CDJapan)","Jul 1, 2001 to Sep 23, 2001",25 min. per ep.,Summer 2001,"None found, add some"
1,Man Chong Ji,26,Finished Airing,Anthropomorphic,Kids,"Fantasy,",TV,0,#23688,#18002,N/A,43,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2017 to ?,13 min. per ep.,?,"None found, add some"
2,Man Jie Guoxue Xilie: Chengyu Gushi,85,Finished Airing,Unknown,Kids,Unknown,TV,0,#24490,#18003,N/A,37,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,11 min. per ep.,?,"None found, add some"
3,Man Jie Guoxue Xilie: Yuyan Gushi,145,Finished Airing,Unknown,Kids,Unknown,TV,0,#24359,#18004,N/A,38,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,12 min. per ep.,?,"None found, add some"
4,Man Shu Lan Liuliu,24,Finished Airing,Anthropomorphic,Kids,"Fantasy,",ONA,0,#23749,#18005,N/A,42,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jan 30, 2019 to ?",3 min. per ep.,Unknown,"None found, add some"
5,Man with a Mission Animated Short Movie,1,Finished Airing,Music,Unknown,"Comedy,",ONA,0,#17492,#18006,N/A,288,"A short preview for the Man with a Mission The Animation web series. The video introduces the story and band members, who are dressed as famous pop culture characters.","Mar 25, 2019",2 min.,Unknown,"None found, add some"
6,Man Youqu,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#22069,#18007,N/A,64,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2019,5 min. per ep.,?,"None found, add some"
7,Manabu no Natsuyasumi,1,Finished Airing,Unknown,Kids,"Fantasy,",OVA,0,#17959,#18008,N/A,260,"Released by JCI (Junior Chamber International) Japan to promote self awareness and appreciation of ""Japan's soul"".

Manubu's mother leaves him with his uncle, grandmother and niece Kiyomi to spend his summer vacation.
Him being a real city brat he has no real appreciation for nature and the outdoors and the values of life. He will soon learn differently...

(Source: AniDB)",2005,24 min.,Unknown,"None found, add some"
8,Mandalaya no Ryouta: Kukidani Onsen Enshou Soudou Tan,2,Finished Airing,Unknown,Seinen,"Comedy,Ecchi,",OVA,0,#16289,#18009,N/A,379,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Sep 25, 1989",23 min. per ep.,Unknown,Takahashi Studio
9,Mandamgangho,1,Finished Airing,Unknown,Unknown,"Comedy,",Movie,0,#19649,#18010,N/A,162,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Mar 22, 2017",1 hr. 13 min.,Unknown,"None found, add some"
