,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Mamimume★Mogacho,13,Finished Airing,Unknown,Kids,Unknown,TV,1,#15413,#18001,,458,"The wild Mogacho creates havoc on Puri Puri Island. It's a fun-filled show about his adventures with his delightful friends.

(Source: CDJapan)","Jul 1, 2001 to Sep 23, 2001",25 min. per ep.,Summer 2001,"None found, add some"
1,Man Chong Ji,26,Finished Airing,Anthropomorphic,Kids,"Fantasy,",TV,0,#23688,#18002,,43,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2017 to ?,13 min. per ep.,?,"None found, add some"
2,Man Jie Guoxue Xilie: Chengyu Gushi,85,Finished Airing,Unknown,Kids,Unknown,TV,0,#24490,#18003,,37,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,11 min. per ep.,?,"None found, add some"
3,Man Jie Guoxue Xilie: Yuyan Gushi,145,Finished Airing,Unknown,Kids,Unknown,TV,0,#24359,#18004,,38,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,12 min. per ep.,?,"None found, add some"
4,Man Shu Lan Liuliu,24,Finished Airing,Anthropomorphic,Kids,"Fantasy,",ONA,0,#23749,#18005,,42,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jan 30, 2019 to ?",3 min. per ep.,Unknown,"None found, add some"
5,Man with a Mission Animated Short Movie,1,Finished Airing,Music,Unknown,"Comedy,",ONA,0,#17492,#18006,,288,"A short preview for the Man with a Mission The Animation web series. The video introduces the story and band members, who are dressed as famous pop culture characters.","Mar 25, 2019",2 min.,Unknown,"None found, add some"
6,Man Youqu,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#22069,#18007,,64,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2019,5 min. per ep.,?,"None found, add some"
7,Manabu no Natsuyasumi,1,Finished Airing,Unknown,Kids,"Fantasy,",OVA,0,#17959,#18008,,260,"Released by JCI (Junior Chamber International) Japan to promote self awareness and appreciation of ""Japan's soul"".

Manubu's mother leaves him with his uncle, grandmother and niece Kiyomi to spend his summer vacation.
Him being a real city brat he has no real appreciation for nature and the outdoors and the values of life. He will soon learn differently...

(Source: AniDB)",2005,24 min.,Unknown,"None found, add some"
8,Mandalaya no Ryouta: Kukidani Onsen Enshou Soudou Tan,2,Finished Airing,Unknown,Seinen,"Comedy,Ecchi,",OVA,0,#16289,#18009,,379,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Sep 25, 1989",23 min. per ep.,Unknown,Takahashi Studio
9,Mandamgangho,1,Finished Airing,Unknown,Unknown,"Comedy,",Movie,0,#19649,#18010,,162,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Mar 22, 2017",1 hr. 13 min.,Unknown,"None found, add some"
10,Mang Nu Yu Huli,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21204,#18011,,80,"It is a legend that baby foxes in forest can heal blind persons by licking their eyes. A blind girl looks for baby foxes for help.

(Source: IMBD)",1982,20 min.,Unknown,Shanghai Animation Film Studio
11,Manga Furusato Mukashibanashi,26,Finished Airing,Unknown,Kids,"Adventure,Fantasy,",TV,0,#17632,#18012,,280,"Folktales from Japan. Each episode was composed of two stories. The focus of the anime was to showcase folktales from different prefectures. 

The original airing only reached 18 episodes (36 stories) before stopping, the show was rebroadcast at a later date and the final 8 episodes (16 stories) were shown. The anime was family oriented and funded by the Seibu Department Store chain with a ""Seibu Family Gekijou"" subtitle on each ep, perhaps to mirror the highly successful ""Calpis Family Gekijou"" adoring the World Masterpiece Theater anime program. ","Aug 6, 1976 to Dec 24, 1976",25 min. per ep.,Summer 1976,"None found, add some"
12,Manga Hana no Kakarichou,1,Finished Airing,Unknown,Seinen,"Comedy,fe,",Movie,0,#17098,#18013,,320,Based on the comedy manga by Sonoyama Shunji.,"Nov 28, 1981",1 hr.,Unknown,"None found, add some"
13,Manga Ijin Monogatari,46,Finished Airing,Historical,Unknown,Unknown,TV,1,#14997,#18014,,506,"From Genghis Khan to Thomas Edison, each episode in this series focuses on the life and achievement of two of history's greatest and most important persons.

(Source: ANN)","Nov 18, 1977 to Sep 29, 1978",25 min. per ep.,Fall 1977,"None found, add some"
14,Manga Jinbutsushi,365,Finished Airing,Historical,Unknown,Unknown,TV,1,#15738,#18015,,428,"A short documentary series. Each 5 minute episode aired Monday through Saturday.

(Source: AniDB)","Aug 1, 1970 to Sep 30, 1971",5 min. per ep.,Summer 1970,"None found, add some"
15,Manga Kodomo Bunko,51,Finished Airing,Unknown,Kids,"Drama,Fantasy,",TV,0,#15930,#18016,,407,"A collection of children's stories and tales from traditional Japanese folklore.

(Source: AniDB)","Oct 6, 1978 to Sep 28, 1979",25 min. per ep.,Fall 1978,"None found, add some"
16,Manga Kotowaja Jiten,88,Finished Airing,Historical,Unknown,"Comedy,",TV,1,#16371,#18017,,372,"An educational anime, each episode contains three short stories.

(Source: AniDB)","Oct 11, 1980 to Jun 13, 1982",25 min. per ep.,Fall 1980,Tsuchida Productions
17,Manga Naruhodo Monogatari,102,Finished Airing,Educational,Kids,"Adventure,",TV,1,#16105,#18018,,393,"No synopsis has been added for this series yet.

Click here to update this information.","Apr 5, 1986 to Mar 26, 1988",25 min. per ep.,Spring 1986,"None found, add some"
18,Manga Nihon Emaki,46,Finished Airing,Historical,Unknown,Unknown,TV,0,#14855,#18019,,524,"Animated adaptations of traditional and historical Japanese stories. Each episode features 2 different stories. 

(Source: AniDB)","Oct 5, 1977 to Sep 27, 1978",25 min. per ep.,Fall 1977,"None found, add some"
19,Manga Nihon Keizai Nyuumon,25,Finished Airing,Unknown,Seinen,"Drama,fe,",TV,0,#14657,#18020,,554,"Depiction of Japan's economy, based on Shoutarou Ishinomori's epynomous manga.","Oct 13, 1987 to Mar 29, 1988",25 min. per ep.,Fall 1987,Knack Productions
20,Manga Nihonshi,52,Finished Airing,Historical,Unknown,Unknown,TV,0,#14230,#18021,,625,Animated History of Japan.,"Mar 4, 1983 to Aug 4, 1984",24 min. per ep.,Spring 1983,"None found, add some"
21,Manga Nihonshi (NHK Han),40,Finished Airing,Historical,Unknown,Unknown,TV,3,#14743,#18022,,539,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Apr 6, 1992 to Mar 8, 1993",20 min. per ep.,Spring 1992,"None found, add some"
22,Manhua Tianxia,54,Finished Airing,Unknown,Kids,"Comedy,",TV,0,#24080,#18023,,40,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,11 min. per ep.,?,"None found, add some"
23,Manichi ga Tsurai Kimochi Wakarimasu ka: Yurusenai! Net Ijime,1,Finished Airing,Unknown,Kids,Unknown,OVA,0,#20162,#18024,,131,An educational film about cyberbullying among children. How the words said online or in mobile messages can affect a child which can lead to self harm and suicide.,2014,18 min.,Unknown,"None found, add some"
24,Mannaka no Rikkun@Kin Tele,12,Finished Airing,Unknown,Seinen,"Comedy,",TV,0,#15518,#18025,,448,"The ""home comedy"" centers on the mischievous boy Rikkun and his eccentric family.

(Source: ANN)","Jan 9, 2019 to Mar 27, 2019",5 min. per ep.,Winter 2019,Sakura Create
25,Manul no Yuube,Unknown,Currently Airing,Unknown,Unknown,"fe,",TV,1,#14808,#18026,,530,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).","Nov 11, 2018 to ?",1 min.,Fall 2018,"None found, add some"
