,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Tenchi Muyou!,26,Finished Airing,Unknown,Unknown,"Comedy,Romance,Sci-Fi,",TV,607,#2293,#2001,7.42,"77,226","Tenchi Masaki's life changes forever when the ship of an infamous space pirate, Ryouko Hakubi, is shot down and crashes near his family's temple. Little did Tenchi know that by saving Ryouko, he would spark a series of events that would lead alien women from all walks of life to inhabit his home. This includes the delicate Princess Aeka of Jurai and her playful younger sister Princess Sasami; the scatterbrained first-class detective Mihoshi Kuramitsu and her more capable partner Kiyone Makibi; and the eccentric, mad scientist Washuu Hakubi.

The six women do their best to adapt to their new lives, but their more advanced and exotic lifestyle does not mesh well with the simplistic customs on Earth. As a result, they just end up making a mess and causing trouble for poor Tenchi. Though the girls are a pain, Tenchi begins to form a close relationship with each of them, and through their bond, he begins to gain a better understanding of his role in the universe.

[Written by MAL Rewrite]","Apr 2, 1995 to Sep 24, 1995",23 min. per ep.,Spring 1995,AIC
1,Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,1,Finished Airing,School,Shounen,"Sports,",Movie,14,#5855,#2002,7.42,"10,963","Following the Nationals, Seishun Academy receives an invitation to participate in a junior tennis tournament at Wimbledon. In England, Ryouma Echizen and his teammates are joined by their rivals from Hyoutei Academy, Shitenhouji Middle School, and Rikkai University-Affiliated Middle School, who have also been invited to this special event. One evening before the start of the tournament, some of the players are attacked by a group of thugs, leaving them hospitalized with injuries. The only evidence distinguishing the assailants is a silver ring that each member wears on their hand and that their leader's name is Keith.

In an effort to stop the gang, the middle school students convene to discuss their options but are interrupted by Ling Xiu, the person who saved Ryouma the night before. Xiu identifies himself as a former member of Clack—a band of tennis players banned from official competition due to their violent playstyles and conduct. The students are warned to stay out of the affairs of Clack as they cannot hope to win against their tennis style.

Frustrated by the situation, Ryouma sneaks out with Xiu to confront Keith and the other members of Clack with the intent to take them down single-handedly. Knowing Xiu's true objective, Ryouma is now more determined than ever to defeat Keith to save the latter from himself.

[Written by MAL Rewrite]","Sep 3, 2011",1 hr. 27 min.,Unknown,"Production I.G,       M.S.C"
2,Tetsuwan Birdy Decode,13,Finished Airing,Unknown,Seinen,"Action,Comedy,Sci-Fi,",TV,386,#2027,#2003,7.42,"93,905","While pursuing an alien fugitive, Birdy Cephon Altera—a bombastic police officer from the Space Federation—finds herself on Earth. Her target, Geega, has disguised himself as a human and assimilated into the fashion industry, so Birdy follows suit and joins a modeling agency, taking on the identity ""Shion Arita."" Her position as a rising model has her posing for photo shoots by day and chasing intergalactic criminals by night.

Meanwhile, Tsutomu Senkawa, an average high school student, explores an abandoned building with his friend, and coincidentally, Birdy has tracked down Geega to the same building. Senkawa briefly witnesses the battle before being seized as a hostage by Geega. However, Birdy, oblivious, attacks Geega and accidentally kills Senkawa. Distraught, she quickly decides to save him by integrating his consciousness into her body.

Now, Birdy and Senkawa must not only cohabitate the same body, but also balance Senkawa's high school life, Shion Arita's modeling career, and Birdy's increasingly dangerous job as a Federation officer.

[Written by MAL Rewrite]","Jul 5, 2008 to Sep 27, 2008",24 min. per ep.,Summer 2008,A-1 Pictures
3,Time Travel Tondekeman!,39,Finished Airing,Unknown,Kids,"Action,Adventure,Comedy,",TV,17,#10219,#2004,7.42,"2,346","The series starts when Hayato, a soccer enthusiast, and his girlfriend Yumi, an aspiring musician, went to a visit to Dr. Leonard's lab. They accidentally activated the Tondekeman, a funny talking kettle who transported them many centuries in the past. 

In Baghdad, Hayato and Yumi gets reunited but they got separated from Tondekeman. They meet Aladdin, Prince Dandarn and Princess Shalala. They also meet the cunning Abdullah who is always ready to kidnap the princess so that he could marry the princess to his master. 

Our heroes get to go to different places and times and meet several historical and literary figures as they follow Abdullah as he escapes through time to abduct the princess. 

Hayato and Yumi are stuck in the past until they get Tondekeman from the possession of Abdullah. 

(Source: Wikipedia)","Oct 19, 1989 to Aug 26, 1990",23 min. per ep.,Fall 1989,Ashi Productions
4,Toaru Majutsu no Index Movie: Endymion no Kiseki,1,Finished Airing,Super Power,Unknown,"Action,Fantasy,Sci-Fi,",Movie,181,#1620,#2005,7.42,"128,939","In the scientifically advanced Academy City, a miracle is about to occur: the completion of the world's first space elevator, ""Endymion."" Meanwhile, a certain high school student, Touma Kamijou, and his companion Index are going about their daily lives when they encounter and befriend Arisa Meigo, a cheerful and ambitious singer. When strange occurrences begin taking place throughout the city, they lead to the discovery of an intricate plot surrounding Arisa and Endymion. Things only get more complicated when the Stiyl Magnus appears, signifying that the magical world is somehow involved too...

[Written by MAL Rewrite]","Feb 23, 2013",1 hr. 30 min.,Unknown,J.C.Staff
5,Tobe! Isami,50,Finished Airing,Unknown,Unknown,"Action,Adventure,Comedy,Romance,",TV,12,#10105,#2006,7.42,"2,438","Isami Hanaoka is just a fifth grader who happens to be a descendant of the Shinsengumi. Together with fellow descendants and classmates Soushi Yukimi and Toshi Tsukikage, she discovers in the basement of her home, strange artifacts left behind by their ancestors as well as a message urging them to ""Fight the evil Kurotengu organization.""  

(Source: ANN)","Apr 8, 1995 to Mar 30, 1996",25 min. per ep.,Spring 1995,Group TAC
6,Towa no Quon 3: Mugen no Renza,1,Finished Airing,Unknown,Unknown,"Action,Sci-Fi,Supernatural,",Movie,16,#3493,#2007,7.42,"36,466",The story follows a boy named Quon and others who suddenly wake up with supernatural powers.,"Aug 13, 2011",48 min.,Unknown,Bones
7,Tropical-Rouge! Precure,46,Finished Airing,Mahou Shoujo,Unknown,"Action,Fantasy,",TV,128,#5781,#2008,7.42,"11,327","It's an exciting day for fashionable teenager Manatsu Natsumi, who is moving into the big city for the first time. Upon arriving, Manatsu is immediately charmed by the city's spectacles. However, things take an unbelievable turn when she encounters Laura—a real-life mermaid!

Laura is searching for the Precure, a group of radiant warriors who may have the key to rescuing Grand Ocean, Laura's home. This duty soon falls upon Manatsu, whose unwavering determination causes her to awaken as one of the Precure: the vivid Cure Summer. As new friends join the team, Manatsu needs to adapt to her hectic, new life while protecting humanity's liveliness from oceanic invaders! With each battle more difficult than the last, the girls must discover what is truly valuable to them.

[Written by MAL Rewrite]","Feb 28, 2021 to Jan 30, 2022",24 min. per ep.,Winter 2021,Toei Animation
8,Urusei Yatsura Movie 5: Kanketsu-hen,1,Finished Airing,Unknown,Shounen,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi,",Movie,19,#6693,#2009,7.42,"7,946","The Urusei Yatsura story comes to a climax in this animated retelling of the final Manga story (although not the final movie). Lupa, yet another one of Lum's fiancés, arrives on the scene, and Lum and Ataru have to repeat their game of tag in order to prevent the Earth from being destroyed.

All Ataru has to do to win is say ""I love you"" the three words he has steadfastly refused to say to Lum. Will he admit his true feelings and save the Earth? Or will his pride doom it to destruction?

(Source: AniDB)","Feb 6, 1988",1 hr. 25 min.,Unknown,Magic Bus
9,Yowamushi Pedal: Re:Road,1,Finished Airing,Racing,Shounen,"Sports,",Movie,8,#5911,#2010,7.42,"10,705","The movie will compile the episodes from the second season of the anime, and will also have new cuts of animation.

(Source: ANN)","Jun 12, 2015",1 hr. 29 min.,Unknown,TMS Entertainment
