,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Nae Chingu Ubisonyeon,28,Finished Airing,School,Kids,"Comedy,",TV,0,#23112,#18501,N/A,49,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Dec 18, 2003 to ?",7 min. per ep.,?,"None found, add some"
1,Nae Ireumeun Dokgotak,1,Finished Airing,Team Sports,Unknown,"Sports,",Movie,1,#17041,#18502,N/A,323,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 15, 1984",1 hr. 12 min.,Unknown,"None found, add some"
2,Nae Salang Ddung,52,Finished Airing,Unknown,Kids,"Comedy,Fantasy,",TV,0,#21767,#18503,N/A,67,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 3, 2012 to Jan 29, 2013",13 min. per ep.,Summer 2012,"None found, add some"
3,Nae Salang Ddung 2nd Season,52,Finished Airing,School,Kids,"Comedy,Fantasy,",TV,0,#22777,#18504,N/A,53,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,11 min. per ep.,?,"None found, add some"
4,Naechingu Macada,52,Finished Airing,Anthropomorphic,Kids,"Fantasy,",TV,0,#22357,#18505,N/A,59,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Dec 19, 2016 to Jun 26, 2017",1 min. per ep.,Winter 2017,"None found, add some"
5,Naeil-eun Eonjena Puleum,26,Finished Airing,School,Unknown,"Drama,",TV,0,#23113,#18506,N/A,49,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Nov 3, 2016 to ?",25 min. per ep.,?,"None found, add some"
6,Naeil-eun Pyeongbeomhae Jilgeoya,1,Finished Airing,Unknown,Unknown,"Romance,Sci-Fi,",Special,1,#17115,#18507,N/A,319,"A special included on Indie Anibox: Selma Danbaekjil Coffee's DVD release. It was meant to be the ""making-of"" extra of Watashi no Coffee Samurai but is an early pilot with a different story (the idea of a mechanized girl and transforming guy vs. a mechanized transforming guy and normal girl). Director Jang Hyeong-yoon stewed on this early creation for over half a decade before the original idea was re-worked again into a feature film Ulibyeol Ilhowa Eollugso.

In the special, the girl is mechanized and fights kaijuu with her giant flying bird. The guy is a musician who confesses his feelings. When the girl runs away after his kiss (worried that her line of work may bring him danger if she reciprocated), he turns into a milk cow out of shock. They reconcile in the end. ","Jun 20, 2008",4 min.,Unknown,"None found, add some"
7,Naeireun Woldeukeop,1,Finished Airing,Team Sports,Unknown,"Sports,",Special,0,#22008,#18508,N/A,65,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1996,1 hr. 13 min.,Unknown,"None found, add some"
8,Naengjang-go Nala Cocomong,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#18646,#18509,N/A,219,"The cold air from the air circulation duct in the refrigerator turned the vegetables into animals: The pea pig brothers Dookong, Saekong, Naekong, mushroom-radish Hippo Doori, carrot-donkey Kaero, and cucumber-alligator Agle. They travel to Refrigerator Land (Cutie Land) through the air duct. They fall on egg-rabbit Aromi's flower garden! The animals help to fix and reorganize Aromi's flower garden which was damaged because of them.

They meet sausage-monkey Cocomong and set to learn about friendship, compassion, and responsibility together through playing.

(Source: Official YouTube Channel)","Mar 5, 2008 to Aug 27, 2008",12 min. per ep.,Spring 2008,Olive Studio
9,Naga Hamaraja,1,Finished Airing,Music,Unknown,Unknown,Special,1,#18883,#18510,N/A,205,A short film made for the Nagahama wedding ceremony.,2016,1 min.,Unknown,"None found, add some"
