,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Mori no Ongakutai,1,Finished Airing,Unknown,Kids,"Fantasy,",Movie,0,#17956,#18401,N/A,260,"A puppet animation adaptation of the Grimm fairy-tale ""Town Musicians of Bremen"".",1960,13 min.,Unknown,Gakken Eigakyoku
1,Mori no Ratio,Unknown,Currently Airing,Unknown,Kids,"Adventure,Fantasy,",TV,2,#14791,#18402,N/A,532,Stop-motion anime about a girl named Ratio who lives in a forest with her icy monsters and creatures. Every day she goes out explores new things.,"Mar 26, 2010 to ?",5 min.,Spring 2010,"None found, add some"
2,Mori no Senshi Bonolon,26,Finished Airing,Unknown,Kids,"Adventure,Fantasy,",TV,0,#17419,#18403,N/A,294,"Bonolon is touted as the warrior who comes from the forest of the great oaks. Despite his huge body size and outwardly orange appearance, Bonolon is only a child of 9 years old. 

However, notwithstanding his tender age, Bonolon possess a strong sense of justice and strives to become a reliable man. The tears of those people who are depressed or troubled will flow through the roots of the great oaks and communicates their feelings to Bonolon. Bonolon will then appear from the great oaks and help the people solve their problems as well as grant their wishes.

(Source: ANN)","Nov 5, 2007 to May 17, 2008",5 min. per ep.,Fall 2007,Four Some
3,Mori no Yakyuudan,1,Finished Airing,Unknown,Unknown,"Sports,",Movie,0,#21297,#18404,N/A,78,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Nov 16, 1934",8 min.,Unknown,"None found, add some"
4,Morizo to Kikkoro,52,Finished Airing,Unknown,Kids,Unknown,TV,0,#17781,#18405,N/A,271,"Morizo and Kikkoro are the official mascot characters of EXPO 2004 Aichi, Japan. They are fairies of forest, they teach us the strength and beauty of nature that we tend to forget. The EXPO will be held on Kasho Forest in Seto, where Morizo and Kikkoro, the fairies of forest, are living. Morizo is an old and knowledgeable creature that has been living for thousands years. Kikkoro was a child of forest born little before, and he likes Kikkoro very much He is curious about everything he sees, and his daily lives are full of wonders.

(Source: AnimeNfo)","Apr 3, 2004 to Sep 24, 2004",5 min. per ep.,Spring 2004,"None found, add some"
5,Mortal Portal Radio,6,Finished Airing,Space,Unknown,"Comedy,Sci-Fi,",ONA,0,#22736,#18406,N/A,53,"This program is a story in different dimension about the struggles of m-flo who are researching the wormhole at the Global Astro Kombinat.

(Source: YouTube)","Jul 25, 2019 to Feb 20, 2020",2 min. per ep.,Unknown,"None found, add some"
6,Moshi Juexing: Ruqin,13,Finished Airing,Unknown,Unknown,"Action,Sci-Fi,",ONA,0,#17979,#18407,N/A,259,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"May 24, 2018 to Aug 9, 2018",15 min. per ep.,Unknown,"None found, add some"
7,Moshi Juexing: Ruqin 2nd Season,13,Finished Airing,Unknown,Unknown,"Action,Sci-Fi,",ONA,0,#18870,#18408,N/A,205,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 11, 2019 to Oct 3, 2019",19 min. per ep.,Unknown,"None found, add some"
8,Moshi Juexing: Suyuan,26,Finished Airing,Unknown,Unknown,"Action,Sci-Fi,",ONA,0,#16545,#18409,N/A,357,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Dec 22, 2020 to Jul 6, 2021",23 min. per ep.,Unknown,"None found, add some"
9,Moshi Meta: Moshi Joshikousei ga Metaverse de Miko ni Nattara,1,Finished Airing,Unknown,Unknown,"Sci-Fi,",ONA,1,#20712,#18410,N/A,99,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Mar 31, 2023",8 min.,Unknown,Studio Elle
10,"Moshi, Ginkou ga Nakatta-ra?: Mahoutsukai Sally no Ginkou Nyuumon",1,Finished Airing,Unknown,Kids,Unknown,OVA,0,#19408,#18411,N/A,176,An educational film starring the Mahoutsukai Sally cast about the purpose of banks commissioned by the Japanese Bankers Association. The scenario is all banks get magic-ed away and the repercussions it has on daily life.,Feb 1995,17 min.,Unknown,"None found, add some"
11,"Moshimoshi, Terumi desu.",30,Finished Airing,Unknown,Seinen,"fe,",ONA,0,#14431,#18412,N/A,592,"The story depicts the everyday life of Terumi-san, who dislikes the internet and works at a telephone company called Moshimoshi Dou, and middle school student Rintarou, who is in love with her.

(Source: MAL News)","Jun 8, 2018 to Aug 24, 2018",1 min. per ep.,Unknown,"None found, add some"
12,Mother Teresa,1,Finished Airing,Historical,Kids,"Drama,",OVA,2,#18413,#18413,N/A,235,A biographical anime about Mother Teresa.,2000,20 min.,Unknown,"None found, add some"
13,Mottainai,1,Finished Airing,Unknown,Kids,Unknown,OVA,0,#20408,#18414,N/A,118,An educational anime about environmental waste aimed at promoting recycling to children.,2005,22 min.,Unknown,"None found, add some"
14,Mottainai Baasan,4,Finished Airing,Unknown,Unknown,"fe,",ONA,0,#18563,#18415,N/A,225,"In the books, the titular Grandma seeks to explore the true meaning of the Japanese phrase ""mottainai"" after her son asked her what it meant and she couldn't answer. ""Mottainai"" is a commonly used exclamation that roughly translates to ""what a waste!"", expressing regret over wastefulness. The Grandma seeks to explore the meaning and importance of ""mottainai"" in the story.

(Source: Anime News Network)","Jun 4, 2020 to Jun 25, 2020",6 min. per ep.,Unknown,LIDENFILMS
15,Motto Shitte Fukushima!,84,Finished Airing,Music,Unknown,"fe,",ONA,0,#19702,#18416,N/A,160,"Tourism promotional videos for the Fukushima Prefecture. It features an Akabeko (a legendary red cow from the Aizu region, and mascot of the Fukushima Prefecture) spouting a 6-second fact about the area in a pun-rhyming-poem style. At the start of every year new batches of episodes are released on the official YouTube channel of Fukushima Prefecture. In 2019, 25 eps were released and for 2020, 59 eps were released.","Feb 18, 2019 to Jan 17, 2020",6 sec. per ep.,Unknown,"None found, add some"
16,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,25,Finished Airing,Unknown,Kids,"Adventure,Comedy,",TV,2,#14517,#18417,N/A,575,Sequel to Motto! Majime ni Fumajime Kaiketsu Zorori,"Apr 2, 2021 to Oct 22, 2021",24 min. per ep.,Spring 2021,"Ajia-do,       Bandai Namco Pictures"
17,Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season,25,Finished Airing,Unknown,Kids,"Adventure,Comedy,",TV,0,#15100,#18418,N/A,494,Third season of Motto! Majime ni Fumajime Kaiketsu Zorori.,"Apr 6, 2022 to Sep 21, 2022",24 min. per ep.,Spring 2022,"Ajia-do,       Bandai Namco Pictures"
18,Moudouken Quill no Isshou,1,Finished Airing,Pets,Unknown,"Drama,",OVA,0,#18132,#18419,N/A,250,"A biographical anime about Quill, a real life guide dog.","Mar 13, 2004",25 min.,Unknown,"None found, add some"
19,Mouretsu 50 Ototarou,6,Finished Airing,Parody,Unknown,"Comedy,",ONA,0,#19000,#18420,N/A,199,A short web series to celebrate the 50th anniversary of Akatsuka Fujio's  gag manga Mouretsu Atarou. The episodes were posted to the official Akatsuka Fujio website and Twitter account.,"Dec 20, 2016 to Feb 9, 2017",1 min. per ep.,Unknown,"None found, add some"
