,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Sukeban Deka,2,Finished Airing,Unknown,Shoujo,"Action,Drama,",OVA,14,#7148,#7001,6.39,"6,695","Having spent time at a juvenile corrections facility, teenage delinquent Saki Asamiya is given a chance to redeem herself and delay her mother's possible death sentence by working as an undercover cop. Armed with nothing but a special yo-yo, Saki's assignment is to return to her high school and investigate on the corruption and mysterious deaths among the students. But in order to find the answers to the condition of her school, she must confront the wealthy and powerful Mizuchi sisters, who moved in and have taken control after her previous expulsion. 

(Source: ANN)","Apr 21, 1991 to Jul 21, 1991",47 min. per ep.,Unknown,SIDO LIMITED
1,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Seton Tankentai! Sumidagawa no Chikai - Omoide no Shiroi Kujira wo Sagase!,2,Finished Airing,Unknown,Shounen,"Comedy,",Special,1,#14518,#7002,6.38,575,"The two-part Kochikame special, wherein Ryoutsu helps a zoologist friend capture a real white whale.","Aug 5, 2007 to Aug 12, 2007",20 min. per ep.,Unknown,Gallop
2,Koisuru Shirokuma Tokubetsu-ban,3,Finished Airing,Anthropomorphic,Josei,"Comedy,",ONA,2,#11500,#7003,6.38,"1,505","Shochiku began streaming a new short for the for the ""petit anime"" of Koisuru Shirokuma. The new short, titled ""Hyouheki Don"" (Ice Wall Slam), is a web-only exclusive, and cannot be seen in theaters unlike the other shorts. 

The short begins with Seal attempting to escape the sleeping Polar Bear, still fearing that Polar Bear will eat him. But before Seal can get far, Polar Bear wakes up and runs to him. Seal pleads to Polar Bear not to eat him, but Polar Bear instead performs a kabe-don on Seal with a nearby ice wall. 

(Source: ANN)","Nov 1, 2017 to Jan 31, 2018",1 min. per ep.,Unknown,"None found, add some"
3,Komatta Jiisan,13,Finished Airing,Unknown,Unknown,"Comedy,Romance,fe,",TV,6,#8420,#7004,6.38,"4,443","The comedy centers on an old man who pulls stereotypical ikemen (handsome man) actions on similarly old women and makes their hearts flutter. 

(Source: ANN)","Apr 8, 2020 to Jul 1, 2020",1 min. per ep.,Spring 2020,Kachidoki Studio
4,Kuiba III: Zhanshen Jue Qi,1,Finished Airing,Unknown,Kids,"Adventure,Fantasy,",Movie,0,#14460,#7005,6.38,587,"Before he can get close to the real enemy, Manji faces challenges from two powerful opponents : Da Cang - a master of using body pulse, and Hai Wen Xiang - a sea witch who is extremely loyal to Kuiba. When Manji is unwillingly engaged in an intense battle with Hai Wen Xiang. Kuiba reveals its mysterious appearance.

(Source: IMDB)","Aug 14, 2014",1 hr. 20 min.,Unknown,"None found, add some"
5,Legend of Regios,3,Finished Airing,Unknown,Unknown,Unknown,Special,8,#5992,#7006,6.38,"10,371","Legend of Regios was originally the English speaking cut-scenes on TV, that the characters in the Chrome Shelled Regios series were watching.

This special (which has been included with the DVD release of Chrome Shelled Regios) has reorganized the scenes, extended some, and has been re-dubbed completely in Japanese.  It's a side story within the Chrome Shelled Regios series.","Mar 27, 2009 to May 29, 2009",8 min. per ep.,Unknown,Zexcs
6,Ling Yu 5th Season,12,Finished Airing,Unknown,Unknown,"Fantasy,",ONA,1,#11368,#7007,6.38,"1,580",No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 20, 2017 to Oct 5, 2017",13 min. per ep.,Unknown,Haoliners Animation League
7,Little Lulu to Chicchai Nakama,26,Finished Airing,Unknown,Kids,"Comedy,fe,",TV,1,#12775,#7008,6.38,977,"The adventures of Little Lulu and her friends. The series is based on the famous character from comic strips and comic books.

(Source: AniDB)","Oct 3, 1976 to Apr 3, 1977",25 min. per ep.,Fall 1976,Nippon Animation
8,Maetel Legend,2,Finished Airing,Space,Unknown,"Drama,Sci-Fi,",OVA,4,#8444,#7009,6.38,"4,408","The artificial sun that lights the frozen planet La Metalle is dying, threatening to extinguish what little life is left there. Queen La Andromeda Prometheum decides that the only way for her people to survive is for them to submit to Hardgear's transformation process, which will turn everyone's body into machines. The Queen's daughters, Emeraldas and Maetel, refuse to submit to this process, and fight to stay human. 

(Source: ANN)","Dec 13, 2000 to Mar 7, 2001",45 min. per ep.,Unknown,Vega Entertainment
9,Mahou no Mako-chan,48,Finished Airing,Unknown,Shoujo,"Fantasy,Romance,",TV,3,#10817,#7010,6.38,"1,947","Mako is a young siren and daughter to the King of the Sea. In a stormy day she rescues the young sport Akira from a wrecked ship, but ends up falling in love with him. So, with help from the Witch of the Sea, she's transformed into a human, and becomes a highschool student who helps everyone with her strong sense of love and justice and her magical pendant, the ""Tear of the Mermaid.""

(Source: ANN)","Nov 2, 1970 to Sep 27, 1971",24 min. per ep.,Fall 1970,Toei Animation
