,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Secret Journey,2,Finished Airing,Unknown,Unknown,"Comedy,Fantasy,Supernatural,Hentai,",OVA,46,#6430,N/A,6.21,"8,710","Genjo Sanzo is on a journey, he has to travel to India to retrieve the holy sutras. Along the way, he happens to free Goku, a sex-addicted monkey sealed by Buddha. Together they travel to the west.

Based on ""Journey to the West"".

(Source: MU)","Jan 29, 2016 to Apr 1, 2016",20 min. per ep.,Unknown,Studio 9 Maiami
1,Shin Hitou Meguri,2,Finished Airing,Unknown,Unknown,"Hentai,",OVA,7,#6916,N/A,6.21,"7,260","Based on the erotic game Shin Hitou Meguri by Potage.

An undercover detective steps in, to infiltrate a shady inn, and destroy a sex trafficking ring.","Aug 30, 2013 to Aug 26, 2016",30 min. per ep.,Unknown,PoRO
2,Kizuna,2,Finished Airing,Unknown,Unknown,"ve,Drama,Erotica,",OVA,20,#5753,N/A,6.20,"11,465","Young kendo prodigy Ranmaru Samejima captures the attention of Kei Enjoji, the illegitimate son of a yakuza boss. Kei, determined to form a bond with Ranmaru, cultivates a friendship built on trust and sacrifice, which soon turns into love. After saving Kei from a yakuza hit-and-run attack, Ranmaru is forced to give up kendo forever, and the two are left with only their faith in one another. Vowing to support each other far from the world of the yakuza, the two begin living together as a couple. 

However, when a mysterious figure from the pair's past returns in pursuit of Ranmaru, they are thrust back into the world they fought so hard to leave—and their love may not be strong enough to survive it.

[Written by MAL Rewrite]
","Aug 12, 1994 to Sep 29, 1995",27 min. per ep.,Unknown,SIDO LIMITED
3,Last Waltz: Hakudaku Mamire no Natsu Gasshuku,2,Finished Airing,Unknown,Unknown,"Hentai,",OVA,19,#7502,N/A,6.20,"5,947","It was just supposed to be a summer training.... Yuki is a caretaker of the baseball club. She and other members stay at a training camp on the isolated island now. But one day, a civil war breaks out. Male teachers leave the island to see what's going on. However, they never come back. Several days later, they know that their ship is wrecked. Nothing to drink.... Nothing to eat.... They gradually lose their self-control....

(Source: ErogeShop)","Apr 30, 2010 to Oct 29, 2010",29 min. per ep.,Unknown,Suzuki Mirano
4,Makai Tenshi Djibril 3,2,Finished Airing,Unknown,Unknown,"Fantasy,Supernatural,Hentai,",OVA,14,#7889,N/A,6.20,"5,284","Naoto lives a peaceful life after he saved Rika. But one day, the Misty May suddenly appears and Hikari is abducted by her. They are depressed because they can do nothing.... When he has a bath at night, a girl, Nagi, suddenly appears in front of him. Actually, Nagi is an android. One the next day, the Misty May appears again. Rika has a battle against her and Naoto makes up his mind to have sex with Nagi to save Rika...?

(Source: Himeya Shop)","Sep 25, 2009 to Feb 19, 2010",28 min. per ep.,Unknown,Studio Soul
5,Manin Densha,3,Finished Airing,Unknown,Unknown,"Hentai,",OVA,20,#7057,N/A,6.20,"6,906","While riding the train, some girls get into trouble.","May 27, 2005 to Apr 24, 2009",27 min. per ep.,Unknown,Suzuki Mirano
6,Menhera Ayuri no Yamanai Onedari: Headphone wa Hazusenai,2,Finished Airing,Unknown,Unknown,"Hentai,",OVA,3,#7813,N/A,6.20,"5,410",Based on the game by Grand Cru bourgeois. ,"Jun 30, 2017 to Aug 25, 2017",17 min. per ep.,Unknown,Collaboration Works
7,Otome Juurin Yuugi: Maiden Infringement Play,2,Finished Airing,Unknown,Unknown,"Hentai,",OVA,16,#7821,N/A,6.20,"5,399","Kurata Ibuki and Miyauchi Akira are two very attractive virgin girls. Happily thinking they just won a prize at a summer resort for week, turns out to be a trick from some upper-class students at their school. The mastermind behind this whole ""abduction"" now have a whole week to train them to sex slaves. Will he successfully turn them to the dark side or will they struggle to the end and prevail?","Aug 27, 2010 to Nov 26, 2010",29 min. per ep.,Unknown,Suzuki Mirano
8,Pet Life,1,Finished Airing,Unknown,Unknown,"Hentai,",OVA,14,#7048,N/A,6.20,"6,922",No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Dec 16, 2011",25 min.,Unknown,Kantou Douga Kai
9,Samurai Hormone The Animation,1,Finished Airing,Unknown,Unknown,"Hentai,",OVA,8,#8899,N/A,6.20,"3,706","Based on the adult game by Clam Chowder.

Shizume, a kunoichi of the Fuuma clan, fails in her first attempt to retrieve an important scroll from Horimon Juurou and gets disciplined by her father and brother. Will her next attempt succeed or will Horimon prove to be too much for her? Meanwhile, Horimon is also being pursued by Kojuurouta, wanting revenge for him apparently killing her father and stealing the scroll. Will she be resistent to his charms?

(Source: BakaBT)","Oct 3, 2014",23 min.,Unknown,Anime Antenna Iinkai
