,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,"Mirai e no Niji: Boku no Ojisan wa, Hansen-byou",1,Finished Airing,Unknown,Kids,"Drama,",OVA,0,#19435,#18301,N/A,174,"An educational film out leprosy. As of 2009, there are 2,600 people with leprosy in Japan--all of whom are living in sanatoriums and hospitals. The story follows two kids going to visit their uncle who lives in a sanatorium.",2005,30 min.,Unknown,Magic Bus
1,Mirai e no Tegami: Kono Michi no Tochuu kara,2,Finished Airing,Music,Unknown,"Drama,",ONA,0,#16686,#18302,N/A,349,"Gainax's Fukushima-based animation studio is working on a project for Fukushima Prefecture which will highlight the area's recovery efforts since the 2011 Touhoku earthquake and tsunami and the disaster at the Fukushima Daiichi Nuclear Power Plant. 

(Source: Crunchyroll)","Feb 15, 2016 to Mar 6, 2017",15 min. per ep.,Unknown,Gaina
2,Mirai Kara no Message,1,Finished Airing,Unknown,Kids,"Drama,",OVA,0,#19494,#18303,N/A,171,An educational film about adoption discrimination in Japan. How those who are adopted are seen as rejects of society and the public koseki allows for companies to see the family tree of applicants and not hire/fire employees based on the fact that they're adopted.,1989,25 min.,Unknown,"None found, add some"
3,Mirai ni Mukete: Bousai wo Kangaeru,1,Finished Airing,Educational,Unknown,"Drama,",Movie,0,#17017,#18304,N/A,325,"The Tohoku Regional Development Association is developing an anime to raise earthquake awareness. The anime will illustrate lessons learned from the March 11, 2011 Tohoku (Northeastern Japan) earthquake and tsunami, and emphasize the importance of constant preparedness and disaster prevention and readiness. 

The anime will be 60 minutes long and will have two parts titled ""Sonaeru"" (Prepare) and ""Manabu"" (Learn), focusing on true stories from Iwate prefecture's Fudai village and Kamaishi City. 

""Sonaeru"" is set during the 1970s to 1980s, and focuses on the story of Kotoku Wamura, the mayor of the village Fudai at the time, as he attempts to persuade the village assembly that his proposed floodgate and seawall project is not useless. He remembers the 1896 and 1933 Sanriku earthquakes and tsunamis in proposing the project. The 15.5-meter (51-foot) floodgate — the highest in the Tohoku region — ends up sparing Fudai the damage that the 2011 tsunami subjected other coastal towns. 

""Manabu"" centers on elementary school children in Kamaishi City during the 2011 disaster, illustrating their lessons learned in disaster readiness to head to higher ground. The story will show ""Tsunami Tendenko,"" a local custom telling people to individually seek higher ground on their own initiative, in a lesson that the children would teach their parents. 

(Source: ANN)","Sep 7, 2016",1 hr.,Unknown,"None found, add some"
4,Mirai Shouboushi Kyuuta,1,Finished Airing,Unknown,Kids,Unknown,OVA,0,#20397,#18305,N/A,118,"An educational fire safety anime starring Tokyo's fire fighter mascot, Kyuuta. An English version of the video is available at the Tokyo Fire Department museum.",2002,12 min.,Unknown,"None found, add some"
5,Miraijin Go Home,8,Finished Airing,Unknown,Unknown,"Sci-Fi,",ONA,0,#18215,#18306,N/A,245,"A person from the future visits a girl on her 16th birthday and asks for her hand in marriage because in the future, the female population has decreased to minimal numbers.","Sep 1, 2016 to Nov 10, 2018",3 min. per ep.,Unknown,"None found, add some"
6,Mirror,1,Finished Airing,Unknown,Unknown,"rde,",Movie,0,#20165,#18307,N/A,131,"The theme in this animation is doppelganger. This is story of one man and myself. Their memory, dream and hallucination are talked about in turn and their past and future go to gradually mix.",2012,5 min.,Unknown,"None found, add some"
7,Misultamheomdae,52,Finished Airing,Mahou Shoujo,Kids,"Fantasy,",TV,0,#21389,#18308,N/A,76,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Aug 29, 2011 to Dec 12, 2013",11 min. per ep.,Summer 2011,"None found, add some"
8,Mizu no Oto,1,Finished Airing,Music,Unknown,"rde,",Movie,0,#21725,#18309,N/A,70,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1980,3 min.,Unknown,"None found, add some"
9,Mizu no Sei: Kappa Hyakuzu,1,Finished Airing,Unknown,Unknown,"ning,Fantasy,",Movie,0,#21570,#18310,N/A,72,"The existence of Kappa, water imps, has long been believed in Japan. It was said that they lived in rivers and lakes. In fact, there were people who saw them. You can find Kappa as a subject in paintings, sculptures and stories. In the 20th century, Japan has become a highly industrialized country. Reclaimed lakes, rivers with concreted banks, large quantities of chemicals for the fields. Fish, insects, birds and animals lost their home. So did Kappa. This film depicts the waterside scene in Japan when Kappa lived vividly. We might have a chance to see them if we could prevent the further environmental pollution and make it easier for the other creatures to live.

(Source: ASIFA-Japan)",1998,13 min.,Unknown,"None found, add some"
