,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Tenka Touitsu Koi no Ran: Shutsujin! Saika 4-nin Shuu,4,Finished Airing,Unknown,Unknown,"Drama,Romance,",ONA,1,#14408,#13001,N/A,596,"15th Century Japan is ravaged by constant wars, as the lords of the realm seek to rule the land. Having lost your father in battle, you are working in the restaurant he left your mother and little brother...when an evil magistrate sends your little brother away...to become a poison taster! To save his life, you disguise yourself as a boy and go to the castle in his place...but what awaits you there is so much more!

""I'll show you all...my divine rule!""

In the Sengoku era...love is the most dangerous battle of all! 

(Source: Voltage)","May 28, 2018 to Jun 26, 2018",Unknown,Unknown,UWAN Pictures
1,Tenka wo Mezashita Sannin no Bushou,1,Finished Airing,Unknown,Kids,"Drama,",OVA,0,#18510,#13002,N/A,229,"An educational anime about the 3 major warlords in the Sengoku era. Oda Nobunaga, Toyotomi Hideyoshi, and Tokugawa Ieyasu.",2004,23 min.,Unknown,"None found, add some"
2,Tenki ni Naare,1,Finished Airing,Unknown,Kids,"Drama,",OVA,0,#19027,#13003,N/A,197,An educational anime about the 1960's adult literacy movement especially amongst what was the female buraku people in Japan which paved way for truly free state education in Japan.,1995,41 min.,Unknown,"None found, add some"
3,Tenkousei wa Kounin Kaikeishi!,1,Finished Airing,School,Unknown,"fe,",OVA,2,#17685,#13004,N/A,278,A video produced for middle and high school students showcasing the role of CPAs and the importance of audits. The anime aims to make accounting an attractive occupation.,Mar 2013,17 min.,Unknown,TYO Animations
4,Tenma no Torayan,1,Finished Airing,Historical,Unknown,"ning,",Movie,0,#20730,#13005,N/A,99,A short puppet animation directed by Takeo Nakamura.,1971,17 min.,Unknown,"None found, add some"
5,Tensai Bakabon Pilot,1,Finished Airing,Unknown,Unknown,"Comedy,fe,",Special,0,#20532,#13006,N/A,110,"Pilot episode of Tensai Bakabon, released on DVD.","Jan 26, 2007",14 min.,Unknown,"None found, add some"
6,Tensai Bakavon: Yomigaeru Flanders no Inu,1,Finished Airing,Parody,Unknown,"Comedy,",Movie,0,#16179,#13007,N/A,388,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"May 23, 2015",1 hr. 25 min.,Unknown,DLE
7,Tensai Eri-chan Kingyo wo Tabeta,1,Finished Airing,Unknown,Kids,"Comedy,fe,",Movie,0,#18491,#13008,N/A,230,Based on a same name children's fantasy picture book by Takeshita Ryuunosuke.,"Apr 26, 1997",1 hr.,Unknown,"None found, add some"
8,Tensai? Dr. Hamax,12,Finished Airing,Unknown,Unknown,"Comedy,",TV,0,#16981,#13009,N/A,327,"No synopsis has been added for this series yet.

Click here to update this information.","Oct 6, 2007 to Dec 22, 2007",23 min. per ep.,Fall 2007,Trans Arts
9,Tensei Mae no Ryouma to Tabuchi,20,Finished Airing,Workplace,Unknown,"Comedy,",ONA,0,#21665,#13010,N/A,72,A series of shorts showcasing the office life of Ryouma before reincarnation with his co-worker Tabuchi.,"Sep 5, 2020 to Jan 30, 2021",1 min. per ep.,Unknown,AQUA ARIS
