,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Fen Mo Baobei,13,Finished Airing,Unknown,Kids,Unknown,TV,0,#24244,#16001,N/A,39,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jun 11, 2015 to ?",15 min. per ep.,?,"None found, add some"
1,Fendou Ba! Songshu Xiao Jian,20,Finished Airing,Unknown,Kids,Unknown,TV,0,#23845,#16002,N/A,42,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Feb 2015 to ?,5 min. per ep.,?,"None found, add some"
2,Fendou Ji,20,Finished Airing,Workplace,Unknown,"Comedy,",TV,0,#22825,#16003,N/A,52,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2017 to ?,5 min. per ep.,?,"None found, add some"
3,Feng Feng Nongchang,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#24453,#16004,N/A,37,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2014 to ?,13 min. per ep.,?,"None found, add some"
4,Feng Feng Nongchang: Fei Chong Dou Dou,26,Finished Airing,Anthropomorphic,Kids,"Fantasy,",TV,0,#24245,#16005,N/A,39,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,12 min. per ep.,?,"None found, add some"
5,Feng Hua Xianzi Waizhuan,58,Finished Airing,Unknown,Unknown,"Comedy,Fantasy,",TV,0,#22946,#16006,N/A,51,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Oct 2010 to ?,10 min. per ep.,?,"None found, add some"
6,Feng Ling Yu Xiu 2nd Season,12,Currently Airing,Martial Arts,Unknown,"Action,Adventure,",ONA,10,#14171,#16007,N/A,634,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 2, 2023 to ?",24 min. per ep.,Unknown,Sunflowers
7,Feng Shen Bang Chuanqi,100,Finished Airing,Unknown,Unknown,"Action,Fantasy,",TV,0,#20068,#16008,N/A,136,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 5, 1999 to 2000",11 min. per ep.,?,"None found, add some"
8,Feng Shen Chuanqi,1,Finished Airing,Historical,Unknown,"Fantasy,",ONA,0,#22493,#16009,N/A,57,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Nov 20, 2019",1 hr. 32 min.,Unknown,"None found, add some"
9,Feng Shen Chuanqi: Qu Mo Yingxiong,1,Finished Airing,Unknown,Unknown,"Fantasy,",Movie,0,#22826,#16010,N/A,52,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Oct 19, 2012",1 hr. 33 min.,Unknown,"None found, add some"
10,Feng Sheng Shui Qi: 24 Jieqi de Gushi,24,Finished Airing,Anthropomorphic,Kids,"Fantasy,",ONA,0,#24039,#16011,N/A,40,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2017 to ?,12 min. per ep.,Unknown,"None found, add some"
