,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Kemono no Souja Erin Recaps,10,Finished Airing,Historical,Unknown,"Adventure,Drama,Fantasy,fe,",TV,5,#9922,#5001,6.77,"2,600",Summarized version of the 50-episode TV series. Includes all the highlights.,"Jan 9, 2010 to Mar 13, 2010",20 min. per ep.,Winter 2010,Production I.G
1,Kitaku-bu Katsudou Kiroku,12,Finished Airing,School,Unknown,"Comedy,fe,",TV,117,#2949,#5002,6.77,"49,848","When a friend asks Natsuki what high school club she's going to join, she cheerfully responds ""the go-home club"" (meaning, she's not going to join any of them). However, she soon realizes that this club actually exists at her high school, and she's just expressed interest in joining it! Before she knows it, she ends up as one of the two new members of ""the go-home club,"" which is a small group of eccentric school girls. One of the girls likes fighting bears, while another is ridiculously rich. But what exactly constitutes the activities of ""the go-home club""?

(Source: MangaHelpers)","Jul 5, 2013 to Oct 11, 2013",23 min. per ep.,Summer 2013,Nomad
2,Kogepan,10,Finished Airing,Unknown,Unknown,"Comedy,Gourmet,",TV,35,#7328,#5003,6.77,"6,309","An accident in the bakery's oven caused a piece of bread to stay in the oven for way too long. Thus Kogepan was born - a piece of burnt bread, having no chance to be sold.

(Source: ANN)","Nov 5, 2001 to Nov 16, 2001",4 min. per ep.,Fall 2001,Pierrot
3,Lupin III: Touhou Kenbunroku - Another Page,1,Finished Airing,Adult Cast,Seinen,"Action,Adventure,Comedy,Mystery,",Special,0,#8043,#5004,6.77,"5,039","Lupin has become a suspect in the murder of a professor named Theo Argent. The professor had just discovered the missing page of Marco Polo's Record of Observations of the East travel journal. As Lupin is being pursued by the police, he ends up getting unlikely help from the granddaughter of Theo Argent, Lisa. 

(Source: ANN) ","Nov 2, 2012",1 hr. 30 min.,Unknown,TMS Entertainment
4,Macross Δ Movie: Gekijou no Walküre,1,Finished Airing,Unknown,Unknown,"Action,Sci-Fi,",Movie,28,#6226,#5005,6.77,"9,474","The movie recompiles scenes from the Macross Δ television anime with new scenes to tell a different story.

(Source: AniDB)","Feb 9, 2018",1 hr. 59 min.,Unknown,Satelight
5,Marulk-chan no Nichijou,4,Finished Airing,Unknown,Unknown,"Adventure,Fantasy,",Movie,12,#4261,#5006,6.77,"24,006",Shorts played before Made in Abyss Movie 3: Fukaki Tamashii no Reimei in Japan's theatrical screenings.,"Jan 17, 2020 to Feb 7, 2020",3 min. per ep.,Unknown,Kinema Citrus
6,Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,1,Finished Airing,Unknown,Shoujo,"Fantasy,Mystery,",OVA,3,#7494,#5007,6.77,"5,955","Bundled with the limited edition 12th manga volume.

Miyako Arata is newly assigned to the Shinjuku Ward Nocturnal Community Relations Division. Each of Tokyo's 23 wards has one such department, established to mitigate paranormal and occult-related events. Arata's special skill is the understanding of non-human speech, and the story begins with him encountering a youkai at Shinjuku Imperial Gardens who refers to him as the legendary Heian-era exorcist, Abe no Seimei.

(Source: Mayonaka No Occult Wikia)","Nov 22, 2019",25 min.,Unknown,LIDENFILMS
7,Mecha-ude,1,Finished Airing,Mecha,Unknown,"Action,Sci-Fi,",ONA,45,#4953,#5008,6.77,"16,831","Long ago, alien lifeforms came to Earth, fusing with people on the planet. Due to their appearance, they were dubbed ""Mecha-ude,"" as when fused, they bore a striking resemblance to mechanized limbs.

Through an involuntary partnership, average middle schooler Hikaru Amatsuga works alongside the Mecha-ude Arma, who is an extremely rare and special existence. To protect Arma, the resistance group ARMS assigns the dual Mecha-ude user Aki Murasame to follow him wherever he goes. However, she is also looking for a mysterious Snake-Type Mecha-ude wielder, who has put many of her comrades in a critical state.

Behind the scenes, an organization known as the Kagami Group is searching for the mythical ""Trigger Arm,"" a Mecha-ude said to grant unlimited power. When Aki's life is threatened by this group, Hikaru must team up with Arma to find the courage to fight back and, along the way, learn that his life will never be ordinary again.

[Written by MAL Rewrite]
","Sep 30, 2018",25 min.,Unknown,TriF Studio
8,Montana Jones,52,Finished Airing,Historical,Unknown,"Adventure,Comedy,Mystery,",TV,5,#10837,#5009,6.77,"1,936","Boston, 1930: Montana Jones and his cousin professor Alfred Jones travel around the world to search lost treasures in order to bring them to museums. Alfred's mentor professor Gerrit helps them by sending LPs with information. On one trip they meet Melissa, a wealthy reporter, who speaks nearly all languages. She accompanies the two on their trips. Their opponent is Lord Zero, a rich, bizarre art lover and master thief. Lord Zero has two henchmen: Slim and Slam. There is also the inventor Dr. Nitro, who invents strange engines, which to help finding treasures.

(Source: Wikipedia)","Apr 2, 1994 to Apr 8, 1995",23 min. per ep.,Spring 1994,Studio Junio
9,Munto,1,Finished Airing,Unknown,Unknown,"Fantasy,Romance,",OVA,48,#4603,#5010,6.77,"20,171","Above Earth, invisible to humans, float the Heavens—a collection of floating island kingdoms supported by the magic of their godlike inhabitants. The mysterious power source known as Akuto enables this magic to exist, but this is quickly running out. In response to this energy crisis, most of the kingdoms in the Heavens agree to use the minimum amount of Akuto required to sustain themselves, except for the Magical Kingdom. The leader of this kingdom, the Magical King Munto, believes that Akuto can be replenished if he travels to Earth and meets a mysterious girl shown to him by a seer. While Munto sets off on the dangerous journey, the other kingdoms attempt to destroy the Magical Kingdom and acquire the remaining Akuto for themselves.

On Earth, Yumemi Hidaka is dealing with her own problems. She can see floating islands in the sky that nobody else can. While her best friend Ichiko Ono believes her, Yumemi wonders if she is going insane. When Munto suddenly appears before her, Yumemi dismisses him as a mere delusion. She is more concerned about her 13-year-old friend Suzume Imamura, who is attempting to elope with her delinquent boyfriend. As the Magical Kingdom nears the point where it will fall from the sky, Munto's quest to save both the Heavens and Earth grows increasingly desperate.

[Written by MAL Rewrite]
","Mar 18, 2003",54 min.,Unknown,Kyoto Animation
