,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Mi Feng Yu Qiu Yin,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21343,#18201,N/A,77,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1959,18 min.,Unknown,"None found, add some"
1,Mi Le He Ben Ben,52,Finished Airing,Unknown,Kids,"Fantasy,",TV,0,#24495,#18202,N/A,37,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2019 to ?,11 min. per ep.,?,"None found, add some"
2,Mi Le Mi Ke: Shenqi Haitun Dao,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#21763,#18203,N/A,69,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2016 to ?,13 min. per ep.,?,"None found, add some"
3,Mi Le Mi Ke: Shenqi Haitun Dao 2nd Season,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#21909,#18204,N/A,67,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2016 to ?,13 min. per ep.,?,"None found, add some"
4,Mi Nuo de Zhong Er Qingchun,9,Finished Airing,Unknown,Kids,"Comedy,",ONA,0,#23561,#18205,N/A,44,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Sep 30, 2016 to Nov 25, 2016",2 min. per ep.,Unknown,"None found, add some"
5,Mianfen Zhen de Jieri,26,Finished Airing,Unknown,Kids,"Fantasy,",TV,0,#23562,#18206,N/A,44,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2008 to ?,12 min. per ep.,?,"None found, add some"
6,Mianhua Tang He Yunduo Mama,240,Finished Airing,Unknown,Kids,"Comedy,",TV,0,#22619,#18207,N/A,55,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Oct 28, 2016 to ?",10 min. per ep.,?,"None found, add some"
7,Mianhua Tang He Yunduo Mama: Chaoji Xiao Mihua,1,Finished Airing,Unknown,Kids,"Comedy,",Movie,0,#22070,#18208,N/A,64,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Feb 14, 2018",43 min.,Unknown,"None found, add some"
8,Mianhua Tang He Yunduo Mama: Fu Shu Song Ji,1,Finished Airing,Unknown,Kids,"Comedy,",Movie,0,#21546,#18209,N/A,73,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jan 23, 2020",47 min.,Unknown,"None found, add some"
9,Mianhua Tang He Yunduo Mama: Meimeng Cheng Zhen,1,Finished Airing,Unknown,Kids,"Comedy,",Movie,0,#22239,#18210,N/A,61,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Feb 3, 2019",51 min.,Unknown,"None found, add some"
10,Mianju Zhanshen,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#22656,#18211,N/A,54,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"May 25, 2015 to Jul 2015",19 min. per ep.,Spring 2015,"None found, add some"
11,Mianju Zhanshi,26,Finished Airing,Unknown,Kids,Unknown,TV,0,#24370,#18212,N/A,38,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,25 min. per ep.,?,"None found, add some"
12,Miao Qiansui de Chengnian Li,7,Finished Airing,Unknown,Unknown,"Adventure,",ONA,0,#16760,#18213,N/A,344,"Sanwei Mountain is home to an ancient civilization, where Miao Qiansui and her sister Nuluo live. Miao Qiansui is an innocent little girl, full of curiosity about the outside world. In her memory, there has always been a mysterious place called Moon Lake. But is the Moon Lake real? Can she go to Moon Lake smoothly?

(Source: bilibili, translated)","Aug 6, 2020 to Aug 12, 2020",2 min. per ep.,Unknown,Ten Tails Animation
13,Miao Wu Shi Shui Jiao De?,1,Finished Airing,Unknown,Kids,Unknown,Movie,0,#21142,#18214,N/A,81,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1979,10 min.,Unknown,Shanghai Animation Film Studio
14,Miao Xiansheng,1,Finished Airing,Unknown,Unknown,"Adventure,Drama,Fantasy,",Movie,0,#13011,#18215,N/A,911,"Adapted from a short tale from self-made animator Bu Sifan, writer and director of Dahufa, the feature introduces a fictional golden-colored flower, which possesses the magical ability to debauch humans who get too close to it.

As the flower only chooses kindhearted people as hosts, a group of martial artists who want to eradicate the plants face a dilemma: Should one kill good people for rescuing men from sin?

(Source: China Daily)","Jul 31, 2020",1 hr. 28 min.,Unknown,Guton Animation Studio
15,Miao Xiansheng: Huo Ze Kui Xiao Ren Chuan,5,Finished Airing,Unknown,Unknown,"Drama,Fantasy,",ONA,0,#20016,#18216,N/A,139,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Aug 9, 2014 to ?",5 min. per ep.,Unknown,"None found, add some"
16,Miao Xiansheng: Yan Luo Dadao,1,Finished Airing,Unknown,Unknown,"Fantasy,",ONA,0,#20396,#18217,N/A,118,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2014,8 min.,Unknown,"None found, add some"
17,Miao Xingren,24,Finished Airing,Anthropomorphic,Kids,Unknown,TV,0,#24576,#18218,N/A,36,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,7 min. per ep.,?,"None found, add some"
18,Miaomiao Ruci Yaorao,20,Finished Airing,Pets,Unknown,"Comedy,",ONA,0,#23695,#18219,N/A,43,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Sep 19, 2022 to Nov 26, 2022",2 min. per ep.,Unknown,"None found, add some"
19,Micchan,1,Finished Airing,Unknown,Unknown,"fe,",Movie,0,#24087,#18220,N/A,40,"In a world where it has become quite difficult for people to see each other in real life, the virtual SNS ""Virtuapia"" is becoming the standard for social interaction. Akane, a fourth year university student, meets up with her childhood friend and best friend, Micchan, who has been absent from Virtuapia for a long time…

(Source: Official Site)",2021,21 min.,Unknown,"None found, add some"
20,Micchiri Wanko! Animation,24,Finished Airing,Unknown,Kids,"Comedy,",TV,1,#13360,#18221,N/A,823,Spin-off of Micchiri Neko.,"Apr 1, 2020 to Sep 9, 2020",1 min. per ep.,Spring 2020,Charaction
21,Michiru Rescue!,1,Finished Airing,Unknown,Unknown,Unknown,ONA,1,#14649,#18222,N/A,556," Four glowing orbs of different color fly through space, chasing after a dark red orb. After a fierce battle, only the blue orb falls to earth, into the room where Michiru is sleeping. But the dark red orb also appears on earth. The orb changes shape into the form of a boy, and starts to illegally raise Mejiro birds. Later, Michiru is at a flea market in a park, when a large flock of Mejiro birds cover the sky, and start attacking people. The yellow, silver, and purple orbs show up and almost manage to calm down the Mejiro, but violence is about to break out again. At that moment, Michiru hears a voice inside her head asking her to save the Mejiro.

(Source: ANN)","Mar 27, 2020",Unknown,Unknown,Yumeta Company
