,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
30,私は最強,ウタの歌 ONE PIECE FILM RED,https://open.spotify.com/album/5WStsinR0ZOQRoCI6rQPZA,Ado,70,2022-08-09,https://open.spotify.com/track/5YQNjKZofFhlBCIzTVY6rW,257079,False
31,ブルーベリー・ナイツ,hope,https://open.spotify.com/album/5kArccOTc9R98l8GF1D0bF,Macaroni Empitsu,69,2020-04-01,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm,244869,False
32,もう一度,もう一度,https://open.spotify.com/album/1DceuvwdLYSdS4V50pg2ey,Tani Yuuki,70,2022-09-21,https://open.spotify.com/track/1RChlirFdgtS1ZPH45dJX0,250766,False
33,踊り子,踊り子,https://open.spotify.com/album/4p30PkTJXqj3Sa58xkDpPM,Vaundy,75,2021-11-17,https://open.spotify.com/track/4xk70Qur2QeRmWIzWPC63V,230109,False
34,恋人ごっこ,hope,https://open.spotify.com/album/5kArccOTc9R98l8GF1D0bF,Macaroni Empitsu,69,2020-04-01,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO,200219,False
35,不可幸力,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,71,2020-05-27,https://open.spotify.com/track/57MvUwzIzRJ0r21rnNU1s1,200243,False
36,セブンティーン,セブンティーン,https://open.spotify.com/album/2XGJwl5zpqPTmtLAPy2rr6,YOASOBI,72,2023-03-27,https://open.spotify.com/track/1TXhBe3DnaOFc7onTbEoiB,199585,False
37,日常革命,ワンダーランドに愛情を!,https://open.spotify.com/album/52s8JzniZA0dZA1D6sQOih,neguse.,69,2022-09-14,https://open.spotify.com/track/1Ej4gvxiMMXtD8uDnADCTT,273160,False
38,夜に駆ける,THE BOOK,https://open.spotify.com/album/1xhO0GSoezdPJcSuNe1ySv,YOASOBI,79,2021-01-06,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,258838,False
39,シャッター,壱,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,Yuuri,69,2022-01-12,https://open.spotify.com/track/19mjCzLuMHZ0Tyn3eI85bo,248946,False
40,ビリミリオン,ビリミリオン,https://open.spotify.com/album/3dsbKkYZTyhuN3W3aSBHcu,Yuuri,68,2023-01-19,https://open.spotify.com/track/7KExqPOvjFzAI4d49mQxt9,226627,False
41,死ぬのがいいわ,HELP EVER HURT NEVER,https://open.spotify.com/album/03QiFOKDh6xMiSTkOnsmMG,Fujii Kaze,69,2020-05-20,https://open.spotify.com/track/0HYAsQwJIO6FLqpyTeD3l6,185573,False
42,いつか,カントリーロード,https://open.spotify.com/album/4mlpCoeuWxeKEWuKnDUJ5y,Saucy Dog,69,2017-05-24,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT,274871,False
43,ねぇ,ねぇ,https://open.spotify.com/album/0LA32zD1z0qow1CiuBXTlR,YOAKE,68,2022-04-29,https://open.spotify.com/track/4OL2UHjasZp21Z1c2htqPj,200701,False
44,心得,心得,https://open.spotify.com/album/6vVdLDovF993mCA4dBayHz,Uru,69,2023-05-01,https://open.spotify.com/track/2hPBIYQeqpbQWSMAM9ln1w,219309,False
45,Tokimeki,Tokimeki,https://open.spotify.com/album/3Cx94e8flSlI3WE5pGrQNx,Vaundy,69,2021-09-22,https://open.spotify.com/track/18gB0d6DaRPvrQBbl7WEuk,212000,False
46,恋風邪にのせて,恋風邪にのせて,https://open.spotify.com/album/1Qkyl4it7jUIvXWOWD2k8g,Vaundy,69,2022-03-07,https://open.spotify.com/track/5PeXak0Ox3JmH2oor0qnGt,255914,False
47,第ゼロ感,第ゼロ感,https://open.spotify.com/album/7hUGSAApToftQu366lqPVf,10-FEET,68,2022-11-08,https://open.spotify.com/track/3GGOKTfxgyluPvAFnB30zE,287991,False
48,Idol,Idol,https://open.spotify.com/album/2t5eAUqMwN0Kb2JGTxW2w0,YOASOBI,74,2023-05-26,https://open.spotify.com/track/1zVsw1SqQKgtzE4aqmE8nE,213233,False
