,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
44,Joanna Wang,44,165009,https://open.spotify.com/artist/1km0aro5NJuoX5dE0Mub5C,"['chinese audiophile', 'chinese jazz', 'mandopop', 'taiwan singer-songwriter']",Wild World - Acoustic Version,为爱做的一切,56,2011-09-23,225053,False,https://open.spotify.com/album/019FOSKZXxS56quC2Wmb1K,https://open.spotify.com/track/0ZWSpn7UgqAp4exbKEUD5g
45,赵乃吉,46,13004,https://open.spotify.com/artist/3f4WIRKQFOQoKisLVwepp0,['chinese viral pop'],曾经你说,曾经你说,62,2021-06-21,254819,False,https://open.spotify.com/album/1M44pyFh7BptbWeqqEFVmo,https://open.spotify.com/track/5QQyJc2UfaRgEQ6oefVXzJ
46,安溥,46,55037,https://open.spotify.com/artist/7m3hJRouj4fFil1ksJDx0I,"['chinese indie', 'taiwan pop', 'taiwan singer-songwriter']",最好的時光,9522,66,2022-10-14,235716,False,https://open.spotify.com/album/3B7O6oexiw9IFi3OAsWerb,https://open.spotify.com/track/0eFRk9wgFPxg6iXhDjvGAo
47,deca joins,43,167788,https://open.spotify.com/artist/5wbF4yfjaOjTSkrnucKA77,"['chinese indie', 'taiwan indie']",海浪,Go Slow,51,2018-11-14,322333,False,https://open.spotify.com/album/3dsjH0D0Co0X7oii3a7FO8,https://open.spotify.com/track/5EpLeWSwqOG0mZW0R4WdKQ
48,Leah Dou,40,66896,https://open.spotify.com/artist/7mShFo2eYgVBQFZBCilhtl,"['chinese indie', 'chinese indie pop']",Monday,春遊,51,2023-04-24,265506,False,https://open.spotify.com/album/5jDPqG78AQo13DOTc6S5a2,https://open.spotify.com/track/7ygsMXwbqdrrlfyPsRDcXz
49,那英,43,180850,https://open.spotify.com/artist/35ig3ZjuqVyGeovLsj4xNm,"['classic mandopop', 'mainland chinese pop', 'mandopop']",夢一場,乾脆,59,1999-07-07,232333,False,https://open.spotify.com/album/5Z7Xo3HNCAuGsCV7TDZz8d,https://open.spotify.com/track/5EIfRhrHwSCa4rhA4jXyES
50,Tsai Chin,42,115729,https://open.spotify.com/artist/0hXEo26JJ0u5lD763cTvRW,"['c-pop', 'chinese audiophile', 'classic mandopop', 'taiwan campus folk']",明天會更好,明天會更好,52,1985-10-25,320720,False,https://open.spotify.com/album/4uV2SfVqzQ9iq9h8w9L5a2,https://open.spotify.com/track/5bcbAT32LJS87hklgOxUqM
51,李浩瑋 Howard Lee,49,42405,https://open.spotify.com/artist/7EkkWNWPiWFQ0rA9IEmMXs,"['chinese r&b', 'taiwan hip hop']",真心話,真心話,63,2023-06-19,243726,False,https://open.spotify.com/album/51ahX8bWPEVIbsOz3Q7EsD,https://open.spotify.com/track/5GmnGrReneQorGsGtY4nt0
52,Xian Zi,46,34898,https://open.spotify.com/artist/2CBuGdj5Nmgx1VfrgLnGoJ,"['mainland chinese pop', 'mandopop']",不得不愛,高手,62,2005-07-08,281413,False,https://open.spotify.com/album/2BH0E9RymXvSKzFr0mgXE7,https://open.spotify.com/track/3TYzES2lL8BTPE4uudj0Hj
53,Gordon Flanders,32,7093,https://open.spotify.com/artist/2yMjXqAPoOehNikcWBRdfD,['chinese r&b'],FIRST CLASS (feat. The Crane),FIRST CLASS (feat. The Crane),48,2023-07-06,184512,False,https://open.spotify.com/album/02xnWnxfcuIKgAXpj1qsx9,https://open.spotify.com/track/3ksUlJXEkMyLt7Tm4sC2aq
54,王以太,45,52680,https://open.spotify.com/artist/3FpGegUfBRYiws8Ww49Y1j,"['chinese hip hop', 'chinese melodic rap']",危险派对,危险派对,60,2021-11-12,180571,False,https://open.spotify.com/album/26hUz0YpKpt5hSUFyxYSeP,https://open.spotify.com/track/1Rirmp1EfrUgWb4M4Urb07
55,戴羽彤,45,20295,https://open.spotify.com/artist/31A89YVMYZPUVXstvCDLqK,['chinese viral pop'],来迟,来迟,60,2021-04-14,233575,False,https://open.spotify.com/album/4nP0Jz4VBclxCqAKB6KSZm,https://open.spotify.com/track/5bhHRGoY7kCAztNSDx74cs
56,時代少年團,40,91357,https://open.spotify.com/artist/6I36DXLxkJxYeq82tDH4zz,['chinese idol pop'],渐暖,渐暖,47,2022-03-01,190390,False,https://open.spotify.com/album/1o2NQjq0Cux4JSwxhd4JQd,https://open.spotify.com/track/3BR2pyEvbTwVhE0qpGEMaX
57,Zhao Lei,42,80337,https://open.spotify.com/artist/2KwZ9xnULczo0Z7Y7Bp57R,['chinese minyao'],我记得,署前街少年,56,2022-08-29,329891,False,https://open.spotify.com/album/02ISmkRck5zSGqHkeTfCqu,https://open.spotify.com/track/6uX9sbf45j372gZzZjiWm9
58,黄霄雲,46,21873,https://open.spotify.com/artist/4vcc1VAbvzJjbMTsPYL6OU,['chinese viral pop'],星辰大海,星辰大海,63,2021-01-15,207857,False,https://open.spotify.com/album/6TMqv3zCwNxM8JbNeUpk4P,https://open.spotify.com/track/47O6EPP78iQOOma2OVsYwS
59,七叔(叶泽浩),44,10728,https://open.spotify.com/artist/1OyML8UXqmlHP7JHexdJVl,['chinese viral pop'],半生雪,半生雪,60,2021-03-09,176842,False,https://open.spotify.com/album/7umjuv5J6mo52Gs8Y5ubcv,https://open.spotify.com/track/78bqfALvRPcASKzAYOpo7z
60,梦然,46,53837,https://open.spotify.com/artist/6taSlFSqCqAEUHOliFyHt7,"['chinese viral pop', 'mainland chinese pop']",是你,是你,64,2022-07-25,223029,False,https://open.spotify.com/album/0kISv4hrq3wQASGCbQIBtr,https://open.spotify.com/track/7gYKASXibOLyet8JTBJOO2
61,Jane Zhang,45,75319,https://open.spotify.com/artist/7qJmFr579WC8MMGj4PiWdu,['mainland chinese pop'],潮光(《逆水寒》五周年推廣曲),潮光,51,2023-06-13,214010,False,https://open.spotify.com/album/2rxrXojvyNnKmZY3UAOVla,https://open.spotify.com/track/3LsHqNi3DK2i8K8RBkK7GQ
62,Gummy B,49,23493,https://open.spotify.com/artist/041GibkKYtPdNlIAqxs1gs,['chinese melodic rap'],石橋,安泰,62,2022-03-30,220499,False,https://open.spotify.com/album/3HA5af27JDxCKKncQpdNLY,https://open.spotify.com/track/1GSaEKLXJMbgS25vLiC1or
63,Higher Brothers,52,284714,https://open.spotify.com/artist/07ZhipyrvoyNoJejeyM0PQ,['chinese hip hop'],Midsummer Madness,Head In The Clouds,70,2018-07-20,280841,True,https://open.spotify.com/album/6YFBWwUDdot8IjBZSYOacB,https://open.spotify.com/track/6TodWdTSDfzwgYynTZSvJn
64,海来阿木,43,14255,https://open.spotify.com/artist/1rnGRBv0NEz1JQySsVhxY4,['chinese viral pop'],五十年以后,五十年以后,55,2021-08-17,310218,False,https://open.spotify.com/album/7btIrnGhAFfLfgKhQvXYdg,https://open.spotify.com/track/0kgs92vcvTsH2zwabta6Ts
65,王琪,38,13272,https://open.spotify.com/artist/4FMqZQDGilAPWxBvTYHMXD,['chinese manyao'],可可托海的牧羊人,可可托海的牧羊人,54,2020-05-23,340311,False,https://open.spotify.com/album/0BcmQuD9UbWuG3PZsHkY5l,https://open.spotify.com/track/7pIeRvkhs7RYr8aw8DtT4x
66,Lang Lang,59,240669,https://open.spotify.com/artist/1YZhNFBxkEB5UKTgMDvot4,"['chinese classical performance', 'chinese classical piano', 'classical performance', 'classical piano']","The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",Piano Book (Encore Edition),60,2019-11-15,139306,False,https://open.spotify.com/album/2lAoaPfFfBkOQPTcLBZ6pI,https://open.spotify.com/track/211zXouX3GROvKvaoasR6V
67,棉子,43,8577,https://open.spotify.com/artist/6Y4Ur76H9vh8gw4QADaUKp,['chinese viral pop'],勇气,勇气,66,2020-03-22,241711,False,https://open.spotify.com/album/0CVoVI7UnycE7lcKcKqoeU,https://open.spotify.com/track/5rY7xc2h5Imj6iFn97h8Qj
68,A Si,43,47972,https://open.spotify.com/artist/4yamiVzQPYBb02ceSu0jaI,"['chinese minyao', 'taiwan indie', 'taiwan pop']",热爱105°C的你,热爱105°C的你,58,2019-07-04,195328,False,https://open.spotify.com/album/2KSk7OlWpkp6oiKXJyq4kB,https://open.spotify.com/track/5RKWxItZvYY9wtKJuy2Hb7
69,Hua Chen Yu,42,159224,https://open.spotify.com/artist/7v7bP8NfcMYh4sDADEAy6Z,['chinese hip hop'],好想愛這個世界啊,新世界,57,2020-04-08,258834,False,https://open.spotify.com/album/5k5Rk6VmBvgKHia91bJFNN,https://open.spotify.com/track/4ypoimFPt0SuieiBFWXCqH
70,Kelly Yu,42,150611,https://open.spotify.com/artist/5R56NYbLCC2HpOwlYBnmeN,"['mainland chinese pop', 'mandopop']",體面,尚未界定,61,2018-11-06,282770,False,https://open.spotify.com/album/3Izw8Ec6jQUYjSDUifh7XO,https://open.spotify.com/track/7oOfvZDUqhiJd9OC2Tq8Nh
71,LÜCY,41,36598,https://open.spotify.com/artist/6opBMmpW2ODmI9iPF2btzD,['chinese indie'],電線桿上的鳥,LÜCY,43,2022-06-12,235280,False,https://open.spotify.com/album/5GLdc5aIjdvyO0U1U9sJKX,https://open.spotify.com/track/5qwczaEoBqJG2S5T2LqZKk
72,罗言,46,1145,https://open.spotify.com/artist/34j9L1hyeq9JDSwUTgBhoE,['chinese talent show'],Distance - R3HAB Remix,Distance (R3HAB Remix),37,2023-05-18,176718,False,https://open.spotify.com/album/4fmXsg4EThVaowu4T9TyFs,https://open.spotify.com/track/31WaFu5eICwTAtKaeplG7y
73,SOPHY,25,4076,https://open.spotify.com/artist/5Hx1PRV6i7vQdc8gAGE8eq,"['chinese electropop', 'chinese indie']",我們的鬼魂,我們的鬼魂,40,2023-06-14,224585,False,https://open.spotify.com/album/2hRcS0qsuqiCxMQel0zivj,https://open.spotify.com/track/59LwPApVp3ay4m1GyQtefy
74,摩登兄弟劉宇寧,46,41346,https://open.spotify.com/artist/5k5iMDK1nWLbb0eqMnpuKl,['mainland chinese pop'],寻一个你 (电视剧《苍兰诀》温情主题曲),寻一个你 (电视剧《苍兰诀》温情主题曲),56,2022-09-16,267857,False,https://open.spotify.com/album/3xVhpxzWuPRaaiWEqLtgHS,https://open.spotify.com/track/2DVft4hFVaFD5d6Pm9Si8P
75,Karencici,45,50722,https://open.spotify.com/artist/6v6qfXRvTRGGsmGfDvtMIK,"['chinese electropop', 'chinese r&b']",Everybody Loves Me (feat. OSN),Everybody Loves Me,46,2023-05-26,211461,True,https://open.spotify.com/album/6RTf5ozeT2yY8r9ulviPK4,https://open.spotify.com/track/4JgKspihSALxCamtUn18ne
76,Jason Zhang,43,193918,https://open.spotify.com/artist/75udD9hen8NeHTe92rUNLa,['mainland chinese pop'],三生三世 - 電視劇《三生三世十里桃花》片頭曲,三生三世,54,2017-01-12,257634,False,https://open.spotify.com/album/2QeM8CdzAazyWpDJ4EYA6o,https://open.spotify.com/track/6vyx2fi4ThuLTvRUlymjmG
77,TIA RAY,44,71566,https://open.spotify.com/artist/70paW48PtCtUjtndElrjrL,"['chinese jazz', 'mainland chinese pop']",界,界,55,2023-04-09,231658,False,https://open.spotify.com/album/12duIf7gC3chMWh0IeJtHR,https://open.spotify.com/track/5F36s25GLYOCyRIblClagi
78,万能青年旅店,38,111253,https://open.spotify.com/artist/4ntvojSPscU3PxselAEeY2,"['chinese indie', 'chinese indie rock']",杀死那个石家庄人,万能青年旅店,50,2010-11-12,344253,False,https://open.spotify.com/album/6gApmv7Klo2uuyTxWkPzXb,https://open.spotify.com/track/2oSyibxNEOnHUYh1J0xNYX
79,Julia Wu,45,176442,https://open.spotify.com/artist/7pSH4sO2lXAxFKF6MkwORv,"['chinese electropop', 'mandopop']",你是不是有點動心 - Original,1:28 (Original),52,2017-09-07,268350,False,https://open.spotify.com/album/39MCCipCiuLjzl76bY7NmU,https://open.spotify.com/track/0FIRHGE4loKAH5o5ByiqG0
80,Masiwei,45,62451,https://open.spotify.com/artist/0fyaEHmSmZs2YWMgbruITA,['chinese hip hop'],Crush On You (feat. step.jad),Prince Charming,50,2020-02-28,229064,False,https://open.spotify.com/album/2ilKV1SbeT2Ldn1ICoJCy2,https://open.spotify.com/track/7Et5YO6MFDDC5XEcwr0nmF
81,新裤子乐队,38,80761,https://open.spotify.com/artist/3asy14alGCZBDd3Y6pbBbp,"['chinese indie', 'chinese indie rock']",你都忘了你有多美,爱 广播 飞机,47,2021-03-18,186364,False,https://open.spotify.com/album/054zOaUDcOk3cJFn1XgkNv,https://open.spotify.com/track/31S6K94QFYNvJ1ZXlBlURk
82,Joshua Band,39,31684,https://open.spotify.com/artist/0i6Ug2VPQVjkTAjxk8wLJK,['chinese worship'],我安然居住,主祢是我們的太陽 (大衛帳幕的榮耀敬拜禱告系列專輯第十輯),41,2017-01-25,282270,False,https://open.spotify.com/album/1RltCmpXo0CONU7csbjBEp,https://open.spotify.com/track/6U4kmEnl48XgeVMiFCEn1s
83,法老,41,35588,https://open.spotify.com/artist/429wOEd8ummnOTS4gw3WcQ,['chinese hip hop'],会魔法的老人,健将mixtape,52,2022-11-11,170666,False,https://open.spotify.com/album/0fdPiZywPcEU8qKAq2qHHz,https://open.spotify.com/track/4dmLrBkBCnIIfbUu6zLxgh
84,Pu Shu,40,68946,https://open.spotify.com/artist/6lJ36ifxOD2oUsdMdLRPN4,"['chinese indie', 'chinese singer-songwriter']",平凡之路,獵戶星座,55,2017-05-09,302119,False,https://open.spotify.com/album/7D2XQNI2pQylrjDB1jsB8J,https://open.spotify.com/track/3YFGh5Kga1K40yUhuCVffM
85,刘增瞳,42,29868,https://open.spotify.com/artist/7gxd7YCz45rcBFHMxiFaHs,"['chinese viral pop', 'mainland chinese pop']",多想留在你身边,多想留在你身边,59,2018-12-01,212713,False,https://open.spotify.com/album/4AbFU2g4Hyh6bbQufO8jWC,https://open.spotify.com/track/64ui3N3QKhhYhnMyBDAbvv
86,9m88,43,112789,https://open.spotify.com/artist/4PjY2961rc0MHE9zHYWEnH,"['chinese r&b', 'mandopop', 'taiwan pop']",Black Out,Black Out,36,2018-07-10,237406,False,https://open.spotify.com/album/42QJ1OGLP0D2ODchfQcLnA,https://open.spotify.com/track/7pyQunCBNLEykFag9Nkud0
87,等什么君,43,26624,https://open.spotify.com/artist/6stPrcreG671w8jLivyFQ6,"['chinese drama ost', 'chinese viral pop']",赤伶,赤伶,53,2020-03-12,282171,False,https://open.spotify.com/album/5Nxp5JijvfFNuKXM5BrLQu,https://open.spotify.com/track/4YilnAap88OI3fu3pQ2fN8
