,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
37,PATEKO,39,26525,https://open.spotify.com/artist/0J372uvAXbRjLFSoAVE2lp,['korean underground rap'],"Rainy day (Feat. ASH ISLAND, Skinny Brown)",Rainy day,54,2020-07-19,218250,False,https://open.spotify.com/album/7lLMwJuLck4Rnd5GUi81j2,https://open.spotify.com/track/4LxFRsy3TZjqAtAgIsjkez
38,"Car, the garden",47,143682,https://open.spotify.com/artist/7c1HgFDe8ogy5NOZ1ANCJQ,"['k-indie', 'korean pop']",Scars leave beautiful trace,"Alchemy of Souls, Pt. 1 (Original Television Soundtrack)",60,2022-06-26,213946,False,https://open.spotify.com/album/5suBD7aDfNiIkbUvYaHtfR,https://open.spotify.com/track/1y6dEjheBdnopNo0xDXJ9P
39,HYUKOH,48,493903,https://open.spotify.com/artist/57okaLdCtv3nVBSn5otJkp,"['korean indie folk', 'korean r&b']",Wi Ing Wi Ing,20,60,2014-09-18,194866,False,https://open.spotify.com/album/6bzkEKKOMT3I3jaIrUtEaO,https://open.spotify.com/track/66UcQu5LBo2A7AC0A5r0lI
40,GroovyRoom,50,135749,https://open.spotify.com/artist/29HqjVbJr3vsc2l6BTI4eB,"['k-rap', 'korean r&b']",Can′t Slow Me Down,VALORANT / Can′t Slow Me Down,64,2022-02-15,138960,False,https://open.spotify.com/album/0KcTPJHY7Icv9WYHXmcun1,https://open.spotify.com/track/66wSpvsxSBGBBnHax8VB9S
41,MeloMance,51,245657,https://open.spotify.com/artist/6k4r73Wq8nhkCDoUsECL1e,"['k-pop', 'korean pop']","Love, Maybe","Love, Maybe (A Business Proposal OST Special Track)",69,2022-02-18,185000,False,https://open.spotify.com/album/5lKdnY9bGYUyfaJhcRnHgk,https://open.spotify.com/track/2X45nVBeYzmDlrXji9Av0Q
42,BLASÉ,43,29112,https://open.spotify.com/artist/6XsOOgLCtnkkOv2uhZXuB0,"['k-rap', 'korean drill']",Grrr - Spotify Singles,Spotify Singles,52,2023-03-17,236866,False,https://open.spotify.com/album/2XAl1NxzmOcAgtXNwYjqWn,https://open.spotify.com/track/2UrBX2cG7ZSnN2SbgspmtK
43,Gaeko,55,124104,https://open.spotify.com/artist/0tkHE1pQ5ZCgQb8WZ0ba79,"['k-rap', 'korean r&b']",Wake Up (Prod. CODE KUNST),Show Me The Money 10 Episode 1,50,2021-11-06,370533,False,https://open.spotify.com/album/57an88yn23zGQ4rmor7tkX,https://open.spotify.com/track/3ijq6sRH7PgRabMb83VvQO
44,Jang Beom June,39,142179,https://open.spotify.com/artist/529ZdRwFoSKtQ0LPwKxGiu,"['korean pop', 'korean singer-songwriter']",Your Shampoo Scent In The Flowers,"Be Melodramatic (Original Television Soundtrack), Pt. 3",53,2019-08-23,168492,False,https://open.spotify.com/album/5ceWbG2nV9xM9z9ZYdD3Mg,https://open.spotify.com/track/49jhaFKylisSzgaReEP2Jt
45,WOODZ,55,729945,https://open.spotify.com/artist/6y9nlaoynxSvoTGY09Vdcy,"['k-pop', 'korean r&b']",Drowning,OO-LI,63,2023-04-26,244986,False,https://open.spotify.com/album/06isIi4cIfsaH8ot5UoRD4,https://open.spotify.com/track/4xeugB5MqWh0jwvXZPxahq
46,CODE KUNST,48,255721,https://open.spotify.com/artist/4WnO2VmlwdTX77ANsThWLQ,"['k-rap', 'korean r&b']",rain bird interlude,rain bird,62,2018-06-10,64614,False,https://open.spotify.com/album/6dzkzcIOnVEQMCfLCEgyCv,https://open.spotify.com/track/767c0C0cjoaQuiNl4CGXuL
