,teams,link
92,El Salvador,https://futhead.cursecdn.com/static/img/22/nations/76.png
93,India,https://futhead.cursecdn.com/static/img/22/nations/159.png
94,Angola,https://futhead.cursecdn.com/static/img/22/nations/98.png
95,Burundi,https://futhead.cursecdn.com/static/img/22/nations/102.png
96,Liberia,https://futhead.cursecdn.com/static/img/22/nations/122.png
97,Equatorial Guinea,https://futhead.cursecdn.com/static/img/22/nations/112.png
98,Kenya,https://futhead.cursecdn.com/static/img/22/nations/120.png
99,Andorra,https://futhead.cursecdn.com/static/img/22/nations/2.png
100,Azerbaijan,https://futhead.cursecdn.com/static/img/22/nations/5.png
101,Faroe Islands,https://futhead.cursecdn.com/static/img/22/nations/16.png
102,Moldova,https://futhead.cursecdn.com/static/img/22/nations/33.png
103,Bolivia,https://futhead.cursecdn.com/static/img/22/nations/53.png
104,Guatemala,https://futhead.cursecdn.com/static/img/22/nations/78.png
105,Guyana,https://futhead.cursecdn.com/static/img/22/nations/79.png
106,Haiti,https://futhead.cursecdn.com/static/img/22/nations/80.png
107,Montserrat,https://futhead.cursecdn.com/static/img/22/nations/84.png
108,Netherlands Antilles,https://futhead.cursecdn.com/static/img/22/nations/85.png
109,St Kitts Nevis,https://futhead.cursecdn.com/static/img/22/nations/89.png
110,St Lucia,https://futhead.cursecdn.com/static/img/22/nations/90.png
111,Congo,https://futhead.cursecdn.com/static/img/22/nations/107.png
112,Ethiopia,https://futhead.cursecdn.com/static/img/22/nations/114.png
113,Madagascar,https://futhead.cursecdn.com/static/img/22/nations/124.png
114,Mauritania,https://futhead.cursecdn.com/static/img/22/nations/127.png
115,Mauritius,https://futhead.cursecdn.com/static/img/22/nations/128.png
116,Sierra Leone,https://futhead.cursecdn.com/static/img/22/nations/138.png
117,Sudan,https://futhead.cursecdn.com/static/img/22/nations/141.png
118,Tanzania,https://futhead.cursecdn.com/static/img/22/nations/143.png
119,Uganda,https://futhead.cursecdn.com/static/img/22/nations/146.png
120,Afghanistan,https://futhead.cursecdn.com/static/img/22/nations/149.png
121,China PR,https://futhead.cursecdn.com/static/img/22/nations/155.png
122,Guam,https://futhead.cursecdn.com/static/img/22/nations/157.png
123,Hong Kong,https://futhead.cursecdn.com/static/img/22/nations/158.png
124,Iraq,https://futhead.cursecdn.com/static/img/22/nations/162.png
125,Kazakhstan,https://futhead.cursecdn.com/static/img/22/nations/165.png
126,Korea DPR,https://futhead.cursecdn.com/static/img/22/nations/166.png
127,Lebanon,https://futhead.cursecdn.com/static/img/22/nations/171.png
128,Malaysia,https://futhead.cursecdn.com/static/img/22/nations/173.png
129,Philippines,https://futhead.cursecdn.com/static/img/22/nations/181.png
130,Syria,https://futhead.cursecdn.com/static/img/22/nations/186.png
131,Thailand,https://futhead.cursecdn.com/static/img/22/nations/188.png
132,United Arab Emirates,https://futhead.cursecdn.com/static/img/22/nations/190.png
133,Fiji,https://futhead.cursecdn.com/static/img/22/nations/197.png
134,Papua New Guinea,https://futhead.cursecdn.com/static/img/22/nations/199.png
135,Gibraltar,https://futhead.cursecdn.com/static/img/22/nations/205.png
136,Dominican Republic,https://futhead.cursecdn.com/static/img/22/nations/207.png
137,Estonia,https://futhead.cursecdn.com/static/img/22/nations/208.png
138,Chinese Taipei,https://futhead.cursecdn.com/static/img/22/nations/213.png
139,Comoros,https://futhead.cursecdn.com/static/img/22/nations/214.png
140,South Sudan,https://futhead.cursecdn.com/static/img/22/nations/218.png
